INPUT_TABLE
Variable ID
LN1_Delete

region,LandAllocatorRoot,LandNode1,AEZ
USA,root,AgroForestLandAEZ01,AEZ01
Canada,root,AgroForestLandAEZ01,AEZ01
Western Europe,root,AgroForestLandAEZ01,AEZ01
Japan,root,AgroForestLandAEZ01,AEZ01
Former Soviet Union,root,AgroForestLandAEZ01,AEZ01
China,root,AgroForestLandAEZ01,AEZ01
Eastern Europe,root,AgroForestLandAEZ01,AEZ01
Korea,root,AgroForestLandAEZ01,AEZ01
USA,root,RockIceDesertAEZ01,AEZ01
Canada,root,RockIceDesertAEZ01,AEZ01
Western Europe,root,RockIceDesertAEZ01,AEZ01
Japan,root,RockIceDesertAEZ01,AEZ01
Former Soviet Union,root,RockIceDesertAEZ01,AEZ01
China,root,RockIceDesertAEZ01,AEZ01
Eastern Europe,root,RockIceDesertAEZ01,AEZ01
Korea,root,RockIceDesertAEZ01,AEZ01
USA,root,TundraAEZ01,AEZ01
Canada,root,TundraAEZ01,AEZ01
Western Europe,root,TundraAEZ01,AEZ01
Japan,root,TundraAEZ01,AEZ01
Former Soviet Union,root,TundraAEZ01,AEZ01
China,root,TundraAEZ01,AEZ01
Eastern Europe,root,TundraAEZ01,AEZ01
Korea,root,TundraAEZ01,AEZ01
USA,root,UrbanLandAEZ01,AEZ01
Canada,root,UrbanLandAEZ01,AEZ01
Western Europe,root,UrbanLandAEZ01,AEZ01
Japan,root,UrbanLandAEZ01,AEZ01
Former Soviet Union,root,UrbanLandAEZ01,AEZ01
China,root,UrbanLandAEZ01,AEZ01
Eastern Europe,root,UrbanLandAEZ01,AEZ01
Korea,root,UrbanLandAEZ01,AEZ01
USA,root,AgroForestLandAEZ02,AEZ02
Canada,root,AgroForestLandAEZ02,AEZ02
Western Europe,root,AgroForestLandAEZ02,AEZ02
Japan,root,AgroForestLandAEZ02,AEZ02
Former Soviet Union,root,AgroForestLandAEZ02,AEZ02
China,root,AgroForestLandAEZ02,AEZ02
Southeast Asia,root,AgroForestLandAEZ02,AEZ02
Eastern Europe,root,AgroForestLandAEZ02,AEZ02
Korea,root,AgroForestLandAEZ02,AEZ02
USA,root,RockIceDesertAEZ02,AEZ02
Canada,root,RockIceDesertAEZ02,AEZ02
Western Europe,root,RockIceDesertAEZ02,AEZ02
Japan,root,RockIceDesertAEZ02,AEZ02
Former Soviet Union,root,RockIceDesertAEZ02,AEZ02
China,root,RockIceDesertAEZ02,AEZ02
Southeast Asia,root,RockIceDesertAEZ02,AEZ02
Eastern Europe,root,RockIceDesertAEZ02,AEZ02
Korea,root,RockIceDesertAEZ02,AEZ02
USA,root,TundraAEZ02,AEZ02
Canada,root,TundraAEZ02,AEZ02
Western Europe,root,TundraAEZ02,AEZ02
Japan,root,TundraAEZ02,AEZ02
Former Soviet Union,root,TundraAEZ02,AEZ02
China,root,TundraAEZ02,AEZ02
Southeast Asia,root,TundraAEZ02,AEZ02
Eastern Europe,root,TundraAEZ02,AEZ02
Korea,root,TundraAEZ02,AEZ02
USA,root,UrbanLandAEZ02,AEZ02
Canada,root,UrbanLandAEZ02,AEZ02
Western Europe,root,UrbanLandAEZ02,AEZ02
Japan,root,UrbanLandAEZ02,AEZ02
Former Soviet Union,root,UrbanLandAEZ02,AEZ02
China,root,UrbanLandAEZ02,AEZ02
Southeast Asia,root,UrbanLandAEZ02,AEZ02
Eastern Europe,root,UrbanLandAEZ02,AEZ02
Korea,root,UrbanLandAEZ02,AEZ02
USA,root,AgroForestLandAEZ03,AEZ03
Canada,root,AgroForestLandAEZ03,AEZ03
Western Europe,root,AgroForestLandAEZ03,AEZ03
Japan,root,AgroForestLandAEZ03,AEZ03
Former Soviet Union,root,AgroForestLandAEZ03,AEZ03
China,root,AgroForestLandAEZ03,AEZ03
Eastern Europe,root,AgroForestLandAEZ03,AEZ03
Korea,root,AgroForestLandAEZ03,AEZ03
USA,root,RockIceDesertAEZ03,AEZ03
Canada,root,RockIceDesertAEZ03,AEZ03
Western Europe,root,RockIceDesertAEZ03,AEZ03
Japan,root,RockIceDesertAEZ03,AEZ03
Former Soviet Union,root,RockIceDesertAEZ03,AEZ03
China,root,RockIceDesertAEZ03,AEZ03
Eastern Europe,root,RockIceDesertAEZ03,AEZ03
Korea,root,RockIceDesertAEZ03,AEZ03
USA,root,TundraAEZ03,AEZ03
Canada,root,TundraAEZ03,AEZ03
Western Europe,root,TundraAEZ03,AEZ03
Japan,root,TundraAEZ03,AEZ03
Former Soviet Union,root,TundraAEZ03,AEZ03
China,root,TundraAEZ03,AEZ03
Eastern Europe,root,TundraAEZ03,AEZ03
Korea,root,TundraAEZ03,AEZ03
USA,root,UrbanLandAEZ03,AEZ03
Canada,root,UrbanLandAEZ03,AEZ03
Western Europe,root,UrbanLandAEZ03,AEZ03
Japan,root,UrbanLandAEZ03,AEZ03
Former Soviet Union,root,UrbanLandAEZ03,AEZ03
China,root,UrbanLandAEZ03,AEZ03
Eastern Europe,root,UrbanLandAEZ03,AEZ03
Korea,root,UrbanLandAEZ03,AEZ03
USA,root,AgroForestLandAEZ04,AEZ04
Canada,root,AgroForestLandAEZ04,AEZ04
Japan,root,AgroForestLandAEZ04,AEZ04
Former Soviet Union,root,AgroForestLandAEZ04,AEZ04
Middle East,root,AgroForestLandAEZ04,AEZ04
Eastern Europe,root,AgroForestLandAEZ04,AEZ04
Korea,root,AgroForestLandAEZ04,AEZ04
USA,root,RockIceDesertAEZ04,AEZ04
Canada,root,RockIceDesertAEZ04,AEZ04
Japan,root,RockIceDesertAEZ04,AEZ04
Former Soviet Union,root,RockIceDesertAEZ04,AEZ04
Middle East,root,RockIceDesertAEZ04,AEZ04
Eastern Europe,root,RockIceDesertAEZ04,AEZ04
Korea,root,RockIceDesertAEZ04,AEZ04
