INPUT_TABLE
Variable ID
LN1_HistUnmgdAllocation

region,LandAllocatorRoot,LandNode1,UnmanagedLandLeaf1,year,allocation
USA,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,1700,0
Canada,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,1700,0
Western Europe,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,1700,0
Japan,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,1700,0
Australia_NZ,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,1700,151.584246
Former Soviet Union,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,1700,0
China,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,1700,0
Middle East,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,1700,1.060074
Africa,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,1700,679.323024
Latin America,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,1700,14.663592
Southeast Asia,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,1700,0
Eastern Europe,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,1700,0
Korea,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,1700,0
India,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,1700,0
USA,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1700,0
Canada,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1700,0
Western Europe,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1700,0
Japan,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1700,0
Australia_NZ,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1700,557.442531
Former Soviet Union,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1700,0
China,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1700,0
Middle East,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1700,359.016552
Africa,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1700,1011.571848
Latin America,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1700,87.011451
