INPUT_TABLE
Variable ID
LN1_ValueLogit

region,LandAllocatorRoot,LandNode1,unManagedLandValue,logit.exponent,ID_AEZ,ID_LN1
USA,root,AgroForestLandAEZ01,0,0.5,AEZ01,AgroForestLand
Canada,root,AgroForestLandAEZ01,0,0.5,AEZ01,AgroForestLand
Western Europe,root,AgroForestLandAEZ01,0,0.5,AEZ01,AgroForestLand
Japan,root,AgroForestLandAEZ01,0,0.5,AEZ01,AgroForestLand
Australia_NZ,root,AgroForestLandAEZ01,270152531,0.5,AEZ01,AgroForestLand
Former Soviet Union,root,AgroForestLandAEZ01,0,0.5,AEZ01,AgroForestLand
China,root,AgroForestLandAEZ01,0,0.5,AEZ01,AgroForestLand
Middle East,root,AgroForestLandAEZ01,18157803,0.5,AEZ01,AgroForestLand
Africa,root,AgroForestLandAEZ01,4468308,0.5,AEZ01,AgroForestLand
Latin America,root,AgroForestLandAEZ01,23682957,0.5,AEZ01,AgroForestLand
Southeast Asia,root,AgroForestLandAEZ01,10195575,0.5,AEZ01,AgroForestLand
Eastern Europe,root,AgroForestLandAEZ01,0,0.5,AEZ01,AgroForestLand
Korea,root,AgroForestLandAEZ01,0,0.5,AEZ01,AgroForestLand
India,root,AgroForestLandAEZ01,11436711,0.5,AEZ01,AgroForestLand
USA,root,RockIceDesertAEZ01,0,0,AEZ01,RockIceDesert
Canada,root,RockIceDesertAEZ01,0,0,AEZ01,RockIceDesert
Western Europe,root,RockIceDesertAEZ01,0,0,AEZ01,RockIceDesert
Japan,root,RockIceDesertAEZ01,0,0,AEZ01,RockIceDesert
Australia_NZ,root,RockIceDesertAEZ01,270152531,0,AEZ01,RockIceDesert
Former Soviet Union,root,RockIceDesertAEZ01,0,0,AEZ01,RockIceDesert
China,root,RockIceDesertAEZ01,0,0,AEZ01,RockIceDesert
Middle East,root,RockIceDesertAEZ01,18157803,0,AEZ01,RockIceDesert
Africa,root,RockIceDesertAEZ01,4468308,0,AEZ01,RockIceDesert
Latin America,root,RockIceDesertAEZ01,23682957,0,AEZ01,RockIceDesert
Southeast Asia,root,RockIceDesertAEZ01,10195575,0,AEZ01,RockIceDesert
Eastern Europe,root,RockIceDesertAEZ01,0,0,AEZ01,RockIceDesert
Korea,root,RockIceDesertAEZ01,0,0,AEZ01,RockIceDesert
India,root,RockIceDesertAEZ01,11436711,0,AEZ01,RockIceDesert
USA,root,TundraAEZ01,0,0,AEZ01,Tundra
Canada,root,TundraAEZ01,0,0,AEZ01,Tundra
