Reduces corn nonfood demand by amount that ethanol consumes,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,
30,,,nonfood demands are in Mt,,,,,,,,,,,,,,,,,
,,,base-service,,,2020 fillout,income-elasticity,,,,,,,,,,,Values to subtract,,
region,energy-final-demand,perCapitaBased,1975,1990,2005,price-elasticity,2020,2035,2050,2065,2080,2095,final-energy-consumer,,regionID,,,,1990,2005
USA,NonFoodDemand_Crops,1,1,132.0279116,134.6757071,0,0,0,0,0,0,0,,,1,,,USA,0,38.15659077
Canada,NonFoodDemand_Crops,1,1,9.276304308,8.917726869,0,0,0,0,0,0,0,,,2,,,Canada,0,0
Western Europe,NonFoodDemand_Crops,1,1,307.9823538,232.8129553,0,0,0,0,0,0,0,,,3,,,Western Europe,0,13.76167171
Japan,NonFoodDemand_Crops,1,1,20.31081179,18.01509132,0,0,0,0,0,0,0,,,4,,,Japan,0,0
Australia_NZ,NonFoodDemand_Crops,1,1,25.86707785,42.87653193,0,0,0,0,0,0,0,,,5,,,Australia_NZ,0,0
Former Soviet Union,NonFoodDemand_Crops,1,1,292.1605494,128.6204622,0,0,0,0,0,0,0,,,6,,,Former Soviet Union,0,0
China,NonFoodDemand_Crops,1,1,268.2562105,394.6162602,0,0,0,0,0,0,0,,,7,,,China,0,0
Middle East,NonFoodDemand_Crops,1,1,29.31434504,41.26584974,0,0,0,0,0,0,0,,,8,,,Middle East,0,0
Africa,NonFoodDemand_Crops,1,1,154.6392864,236.3828449,0,0,0,0,0,0,0,,,9,,,Africa,0,0
Latin America,NonFoodDemand_Crops,1,1,514.3677084,631.9283307,0,0,0,0,0,0,0,,,10,,,Latin America,15.99797385,97.89247992
Southeast Asia,NonFoodDemand_Crops,1,1,218.7422414,401.1818321,0,0,0,0,0,0,0,,,11,,,Southeast Asia,0,0
Eastern Europe,NonFoodDemand_Crops,1,1,127.5838999,57.23705468,0,0,0,0,0,0,0,,,12,,,Eastern Europe,0,0
Korea,NonFoodDemand_Crops,1,1,7.828998793,9.707737469,0,0,0,0,0,0,0,,,13,,,Korea,0,0
India,NonFoodDemand_Crops,1,1,245.2427367,308.4650829,0,0,0,0,0,0,0,,,14,,,India,0,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,
2010,,,,CalDataOutput,,subsector,,technology,,,,,,,,,,,,
,,,,calOutputValue,,share-weight,,share-weight,,,,,,,,,,,,
region,supplysector,subsector,technology,1990,2005,1990,2005,1990,2005,,,,,,regionID,lookup,,,1990,2005
USA,NonFoodDemand_Crops,Corn,Corn,34.15289528,59.48542021,1,1,1,1,,,,,,1,1Corn,,USA,0,36.38848012
USA,NonFoodDemand_Crops,FiberCrop,FiberCrop,1.944734089,1.661685103,1,1,1,1,,,,,,1,1FiberCrop,,USA,0,0
USA,NonFoodDemand_Crops,FodderHerb,FodderHerb,30.26928492,0,1,0,1,0,,,,,,1,1FodderHerb,,USA,0,0
USA,NonFoodDemand_Crops,MiscCrop,MiscCrop,3.509989945,4.23230873,1,1,1,1,,,,,,1,1MiscCrop,,USA,0,0
USA,NonFoodDemand_Crops,OilCrop,OilCrop,7.70724168,5.427679962,1,1,1,1,,,,,,1,1OilCrop,,USA,0,1.768110654
USA,NonFoodDemand_Crops,OtherGrain,OtherGrain,3.376636903,5.006419736,1,1,1,1,,,,,,1,1OtherGrain,,USA,0,0
USA,NonFoodDemand_Crops,PalmFruit,PalmFruit,0.539607031,0.988848601,1,1,1,1,,,,,,1,1PalmFruit,,USA,0,0
USA,NonFoodDemand_Crops,Rice,Rice,1.94334813,2.076565312,1,1,1,1,,,,,,1,1Rice,,USA,0,0
USA,NonFoodDemand_Crops,Root_Tuber,Root_Tuber,3.544931891,2.863566225,1,1,1,1,,,,,,1,1Root_Tuber,,USA,0,0
USA,NonFoodDemand_Crops,SugarCrop,SugarCrop,45.03924172,51.86385905,1,1,1,1,,,,,,1,1SugarCrop,,USA,0,0
USA,NonFoodDemand_Crops,Wheat,Wheat,0,1.069354185,0,1,0,1,,,,,,1,1Wheat,,USA,0,0
Canada,NonFoodDemand_Crops,Corn,Corn,2.174432494,2.303747601,1,1,1,1,,,,,,2,2Corn,,Canada,0,0
Canada,NonFoodDemand_Crops,FiberCrop,FiberCrop,0.045242131,0.054847866,1,1,1,1,,,,,,2,2FiberCrop,,Canada,0,0
Canada,NonFoodDemand_Crops,FodderHerb,FodderHerb,0,0,0,0,0,0,,,,,,2,2FodderHerb,,Canada,0,0
Canada,NonFoodDemand_Crops,MiscCrop,MiscCrop,0.102776735,0.724073256,1,1,1,1,,,,,,2,2MiscCrop,,Canada,0,0
Canada,NonFoodDemand_Crops,OilCrop,OilCrop,0.649276002,1.275958391,1,1,1,1,,,,,,2,2OilCrop,,Canada,0,0
Canada,NonFoodDemand_Crops,OtherGrain,OtherGrain,2.134450603,1.39508764,1,1,1,1,,,,,,2,2OtherGrain,,Canada,0,0
Canada,NonFoodDemand_Crops,PalmFruit,PalmFruit,0.03687946,0.056252662,1,1,1,1,,,,,,2,2PalmFruit,,Canada,0,0
Canada,NonFoodDemand_Crops,Rice,Rice,0.021245503,0.062866844,1,1,1,1,,,,,,2,2Rice,,Canada,0,0
Canada,NonFoodDemand_Crops,Root_Tuber,Root_Tuber,0.520911764,0.342396998,1,1,1,1,,,,,,2,2Root_Tuber,,Canada,0,0
Canada,NonFoodDemand_Crops,SugarCrop,SugarCrop,0.658837888,0.601976764,1,1,1,1,,,,,,2,2SugarCrop,,Canada,0,0
Canada,NonFoodDemand_Crops,Wheat,Wheat,2.932251728,2.100518848,1,1,1,1,,,,,,2,2Wheat,,Canada,0,0
Western Europe,NonFoodDemand_Crops,Corn,Corn,11.58741825,14.14827921,1,1,1,1,,,,,,3,3Corn,,Western Europe,0,0
Western Europe,NonFoodDemand_Crops,FiberCrop,FiberCrop,2.232889357,2.295794644,1,1,1,1,,,,,,3,3FiberCrop,,Western Europe,0,0
Western Europe,NonFoodDemand_Crops,FodderHerb,FodderHerb,49.47192515,0,1,0,1,0,,,,,,3,3FodderHerb,,Western Europe,0,0
Western Europe,NonFoodDemand_Crops,MiscCrop,MiscCrop,45.45474967,41.98365011,1,1,1,1,,,,,,3,3MiscCrop,,Western Europe,0,0
Western Europe,NonFoodDemand_Crops,OilCrop,OilCrop,17.75133299,26.66470275,1,1,1,1,,,,,,3,3OilCrop,,Western Europe,0,0
Western Europe,NonFoodDemand_Crops,OtherGrain,OtherGrain,27.54396361,18.9769917,1,1,1,1,,,,,,3,3OtherGrain,,Western Europe,0,0
Western Europe,NonFoodDemand_Crops,PalmFruit,PalmFruit,2.635495844,5.550409587,1,1,1,1,,,,,,3,3PalmFruit,,Western Europe,0,0
Western Europe,NonFoodDemand_Crops,Rice,Rice,0.540963745,0.591927801,1,1,1,1,,,,,,3,3Rice,,Western Europe,0,0
Western Europe,NonFoodDemand_Crops,Root_Tuber,Root_Tuber,18.84697245,11.45254404,1,1,1,1,,,,,,3,3Root_Tuber,,Western Europe,0,0
Western Europe,NonFoodDemand_Crops,SugarCrop,SugarCrop,110.4405366,86.17685148,1,1,1,1,,,,,,3,3SugarCrop,,Western Europe,0,13.76167171
Western Europe,NonFoodDemand_Crops,Wheat,Wheat,21.47610621,24.97180403,1,1,1,1,,,,,,3,3Wheat,,Western Europe,0,0
Japan,NonFoodDemand_Crops,Corn,Corn,4.334265191,5.578337329,1,1,1,1,,,,,,4,4Corn,,Japan,0,0
Japan,NonFoodDemand_Crops,FiberCrop,FiberCrop,0.705815787,0.187473566,1,1,1,1,,,,,,4,4FiberCrop,,Japan,0,0
Japan,NonFoodDemand_Crops,FodderHerb,FodderHerb,0,0,0,0,0,0,,,,,,4,4FodderHerb,,Japan,0,0
Japan,NonFoodDemand_Crops,MiscCrop,MiscCrop,2.246867133,1.728013708,1,1,1,1,,,,,,4,4MiscCrop,,Japan,0,0
Japan,NonFoodDemand_Crops,OilCrop,OilCrop,1.311934867,1.501464485,1,1,1,1,,,,,,4,4OilCrop,,Japan,0,0
Japan,NonFoodDemand_Crops,OtherGrain,OtherGrain,2.31963489,1.612019417,1,1,1,1,,,,,,4,4OtherGrain,,Japan,0,0
Japan,NonFoodDemand_Crops,PalmFruit,PalmFruit,0.509041332,0.464789411,1,1,1,1,,,,,,4,4PalmFruit,,Japan,0,0
Japan,NonFoodDemand_Crops,Rice,Rice,0.722315736,0.658440801,1,1,1,1,,,,,,4,4Rice,,Japan,0,0
Japan,NonFoodDemand_Crops,Root_Tuber,Root_Tuber,2.38804586,1.463424081,1,1,1,1,,,,,,4,4Root_Tuber,,Japan,0,0
Japan,NonFoodDemand_Crops,SugarCrop,SugarCrop,5.303259111,4.698636029,1,1,1,1,,,,,,4,4SugarCrop,,Japan,0,0
Japan,NonFoodDemand_Crops,Wheat,Wheat,0.469631879,0.122492494,1,1,1,1,,,,,,4,4Wheat,,Japan,0,0
Australia_NZ,NonFoodDemand_Crops,Corn,Corn,0.19898147,0.384893509,1,1,1,1,,,,,,5,5Corn,,Australia_NZ,0,0
Australia_NZ,NonFoodDemand_Crops,FiberCrop,FiberCrop,0.084391282,0.006031761,1,1,1,1,,,,,,5,5FiberCrop,,Australia_NZ,0,0
Australia_NZ,NonFoodDemand_Crops,FodderHerb,FodderHerb,0,0,0,0,0,0,,,,,,5,5FodderHerb,,Australia_NZ,0,0
Australia_NZ,NonFoodDemand_Crops,MiscCrop,MiscCrop,1.222658896,2.469671788,1,1,1,1,,,,,,5,5MiscCrop,,Australia_NZ,0,0
Australia_NZ,NonFoodDemand_Crops,OilCrop,OilCrop,0.355979406,0.944433985,1,1,1,1,,,,,,5,5OilCrop,,Australia_NZ,0,0
Australia_NZ,NonFoodDemand_Crops,OtherGrain,OtherGrain,2.50948357,3.279500911,1,1,1,1,,,,,,5,5OtherGrain,,Australia_NZ,0,0
Australia_NZ,NonFoodDemand_Crops,PalmFruit,PalmFruit,0.025855021,0.146533821,1,1,1,1,,,,,,5,5PalmFruit,,Australia_NZ,0,0
Australia_NZ,NonFoodDemand_Crops,Rice,Rice,0.185509658,0.167543902,1,1,1,1,,,,,,5,5Rice,,Australia_NZ,0,0
Australia_NZ,NonFoodDemand_Crops,Root_Tuber,Root_Tuber,0.237745991,0.40485039,1,1,1,1,,,,,,5,5Root_Tuber,,Australia_NZ,0,0
Australia_NZ,NonFoodDemand_Crops,SugarCrop,SugarCrop,20.30497743,32.27989424,1,1,1,1,,,,,,5,5SugarCrop,,Australia_NZ,0,0
Australia_NZ,NonFoodDemand_Crops,Wheat,Wheat,0.741495126,2.793177626,1,1,1,1,,,,,,5,5Wheat,,Australia_NZ,0,0
Former Soviet Union,NonFoodDemand_Crops,Corn,Corn,12.24671659,5.557422097,1,1,1,1,,,,,,6,6Corn,,Former Soviet Union,0,0
Former Soviet Union,NonFoodDemand_Crops,FiberCrop,FiberCrop,2.228263823,1.03777053,1,1,1,1,,,,,,6,6FiberCrop,,Former Soviet Union,0,0
Former Soviet Union,NonFoodDemand_Crops,FodderHerb,FodderHerb,108.2546016,0,1,0,1,0,,,,,,6,6FodderHerb,,Former Soviet Union,0,0
Former Soviet Union,NonFoodDemand_Crops,MiscCrop,MiscCrop,9.253141067,7.21195747,1,1,1,1,,,,,,6,6MiscCrop,,Former Soviet Union,0,0
Former Soviet Union,NonFoodDemand_Crops,OilCrop,OilCrop,6.206591282,6.780759911,1,1,1,1,,,,,,6,6OilCrop,,Former Soviet Union,0,0
Former Soviet Union,NonFoodDemand_Crops,OtherGrain,OtherGrain,29.3363007,19.59420303,1,1,1,1,,,,,,6,6OtherGrain,,Former Soviet Union,0,0
Former Soviet Union,NonFoodDemand_Crops,PalmFruit,PalmFruit,0.247603,0.934774273,1,1,1,1,,,,,,6,6PalmFruit,,Former Soviet Union,0,0
Former Soviet Union,NonFoodDemand_Crops,Rice,Rice,0.325503662,0.146802646,1,1,1,1,,,,,,6,6Rice,,Former Soviet Union,0,0
Former Soviet Union,NonFoodDemand_Crops,Root_Tuber,Root_Tuber,26.31484307,28.72845164,1,1,1,1,,,,,,6,6Root_Tuber,,Former Soviet Union,0,0
Former Soviet Union,NonFoodDemand_Crops,SugarCrop,SugarCrop,66.97206832,37.10440748,1,1,1,1,,,,,,6,6SugarCrop,,Former Soviet Union,0,0
Former Soviet Union,NonFoodDemand_Crops,Wheat,Wheat,30.77491624,21.52391312,1,1,1,1,,,,,,6,6Wheat,,Former Soviet Union,0,0
