Poultry Supply,,,,,,,,,,,,,,,,,,
Units and sector type,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
region,supplysector,output-unit,input-unit,price-unit,sectorType,,,,,,,,,,,,,
ALL,Poultry,Gcal,Gcal,1975$/Gcal,AnimalSupply,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Subsector shareweight scaling,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
700,,,,,,,,,,,,,,,,,,
Source Inputs,,,share-weight,,,interpolation-rule,,,,,,,,,,,,
region,supplysector,subsector,1975,1990,2005,apply-to,from-year,to-year,interpolation-function,,,,,,,,,
USA,Poultry,Mixed,1,1,1,share-weight,2005,2095,fixed,,,,,,,,,
Canada,Poultry,Mixed,1,1,1,share-weight,2005,2095,fixed,,,,,,,,,
Western Europe,Poultry,Mixed,1,1,1,share-weight,2005,2095,fixed,,,,,,,,,
Japan,Poultry,Mixed,1,1,1,share-weight,2005,2095,fixed,,,,,,,,,
Australia_NZ,Poultry,Mixed,1,1,1,share-weight,2005,2095,fixed,,,,,,,,,
Former Soviet Union,Poultry,Mixed,1,1,1,share-weight,2005,2095,fixed,,,,,,,,,
China,Poultry,Mixed,1,1,1,share-weight,2005,2095,fixed,,,,,,,,,
Middle East,Poultry,Mixed,1,1,1,share-weight,2005,2095,fixed,,,,,,,,,
Africa,Poultry,Mixed,1,1,1,share-weight,2005,2095,fixed,,,,,,,,,
Latin America,Poultry,Mixed,1,1,1,share-weight,2005,2095,fixed,,,,,,,,,
Southeast Asia,Poultry,Mixed,1,1,1,share-weight,2005,2095,fixed,,,,,,,,,
Eastern Europe,Poultry,Mixed,1,1,1,share-weight,2005,2095,fixed,,,,,,,,,
Korea,Poultry,Mixed,1,1,1,share-weight,2005,2095,fixed,,,,,,,,,
India,Poultry,Mixed,1,1,1,share-weight,2005,2095,fixed,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Technology Logit Exponent,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
702,,,,,,,,,,,,,,,,,,
Source Inputs,,,1975 fillout,,,,,,,,,,,,,,,
region,supplysector,subsector,logit-exponent,,,,,,,,,,,,,,,
USA,Poultry,Mixed,-1,,,,,,,,,,,,,,,
Canada,Poultry,Mixed,-1,,,,,,,,,,,,,,,
Western Europe,Poultry,Mixed,-1,,,,,,,,,,,,,,,
Japan,Poultry,Mixed,-1,,,,,,,,,,,,,,,
Australia_NZ,Poultry,Mixed,-1,,,,,,,,,,,,,,,
Former Soviet Union,Poultry,Mixed,-1,,,,,,,,,,,,,,,
China,Poultry,Mixed,-1,,,,,,,,,,,,,,,
Middle East,Poultry,Mixed,-1,,,,,,,,,,,,,,,
Africa,Poultry,Mixed,-1,,,,,,,,,,,,,,,
Latin America,Poultry,Mixed,-1,,,,,,,,,,,,,,,
Southeast Asia,Poultry,Mixed,-1,,,,,,,,,,,,,,,
Eastern Europe,Poultry,Mixed,-1,,,,,,,,,,,,,,,
Korea,Poultry,Mixed,-1,,,,,,,,,,,,,,,
India,Poultry,Mixed,-1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Technology shareweight scaling,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
705,,,,,,,,,,,,,,,,,,
,,,,interpolation-rule,,,,,,,,,,,,,,
region,supplysector,subsector,technology,apply-to,from-year,to-year,interpolation-function,,,,,,,,,,,
USA,Poultry,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Canada,Poultry,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Western Europe,Poultry,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Japan,Poultry,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Australia_NZ,Poultry,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Former Soviet Union,Poultry,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
China,Poultry,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Middle East,Poultry,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Africa,Poultry,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Latin America,Poultry,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Southeast Asia,Poultry,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Eastern Europe,Poultry,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Korea,Poultry,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
India,Poultry,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
USA,Poultry,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Canada,Poultry,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Western Europe,Poultry,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Japan,Poultry,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Australia_NZ,Poultry,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Former Soviet Union,Poultry,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
China,Poultry,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Middle East,Poultry,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Africa,Poultry,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Latin America,Poultry,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Southeast Asia,Poultry,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Eastern Europe,Poultry,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Korea,Poultry,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
India,Poultry,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
USA,Poultry,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Canada,Poultry,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Western Europe,Poultry,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Japan,Poultry,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Australia_NZ,Poultry,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Former Soviet Union,Poultry,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
China,Poultry,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Middle East,Poultry,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Africa,Poultry,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Latin America,Poultry,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Southeast Asia,Poultry,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Eastern Europe,Poultry,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Korea,Poultry,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
India,Poultry,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
USA,Poultry,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Canada,Poultry,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Western Europe,Poultry,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Japan,Poultry,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Australia_NZ,Poultry,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Former Soviet Union,Poultry,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
China,Poultry,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Middle East,Poultry,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Africa,Poultry,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Latin America,Poultry,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Southeast Asia,Poultry,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Eastern Europe,Poultry,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Korea,Poultry,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
India,Poultry,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
USA,Poultry,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Canada,Poultry,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Western Europe,Poultry,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Japan,Poultry,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Australia_NZ,Poultry,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Former Soviet Union,Poultry,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
China,Poultry,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Middle East,Poultry,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Africa,Poultry,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Latin America,Poultry,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Southeast Asia,Poultry,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Eastern Europe,Poultry,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Korea,Poultry,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
India,Poultry,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
USA,Poultry,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Canada,Poultry,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Western Europe,Poultry,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Japan,Poultry,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Australia_NZ,Poultry,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Former Soviet Union,Poultry,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
China,Poultry,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Middle East,Poultry,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Africa,Poultry,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Latin America,Poultry,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Southeast Asia,Poultry,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Eastern Europe,Poultry,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Korea,Poultry,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
