INPUT_TABLE
Variable ID
ghgCoef_Unmgd

region,AgSupplySector,AgSupplySubsector,UnmanagedLandTechnology,year,generic.ghg,uncontrolled.emiss.coef
Africa,UnmanagedLand,Savannah BurningAEZ01,Savannah BurningAEZ01,1990,BC,0.000253399
Africa,UnmanagedLand,DeforestationAEZ01,DeforestationAEZ01,1990,BC,0.006452441
Africa,UnmanagedLand,Forest FiresAEZ01,Forest FiresAEZ01,1990,BC,1.67e-05
Australia_NZ,UnmanagedLand,Savannah BurningAEZ01,Savannah BurningAEZ01,1990,BC,9.59e-05
Australia_NZ,UnmanagedLand,DeforestationAEZ01,DeforestationAEZ01,1990,BC,0.001180208
Australia_NZ,UnmanagedLand,Forest FiresAEZ01,Forest FiresAEZ01,1990,BC,8.7e-05
Latin America,UnmanagedLand,Savannah BurningAEZ01,Savannah BurningAEZ01,1990,BC,5.72e-05
Latin America,UnmanagedLand,DeforestationAEZ01,DeforestationAEZ01,1990,BC,0.01194629
Latin America,UnmanagedLand,Forest FiresAEZ01,Forest FiresAEZ01,1990,BC,2.05e-05
Middle East,UnmanagedLand,Savannah BurningAEZ01,Savannah BurningAEZ01,1990,BC,1.9e-06
Africa,UnmanagedLand,Savannah BurningAEZ02,Savannah BurningAEZ02,1990,BC,0.000253399
Africa,UnmanagedLand,DeforestationAEZ02,DeforestationAEZ02,1990,BC,0.006452441
Africa,UnmanagedLand,Forest FiresAEZ02,Forest FiresAEZ02,1990,BC,1.67e-05
Australia_NZ,UnmanagedLand,Savannah BurningAEZ02,Savannah BurningAEZ02,1990,BC,9.59e-05
India,UnmanagedLand,Savannah BurningAEZ02,Savannah BurningAEZ02,1990,BC,2.85e-05
India,UnmanagedLand,DeforestationAEZ02,DeforestationAEZ02,1990,BC,0.002432933
India,UnmanagedLand,Forest FiresAEZ02,Forest FiresAEZ02,1990,BC,1.68e-05
Latin America,UnmanagedLand,Savannah BurningAEZ02,Savannah BurningAEZ02,1990,BC,5.72e-05
Latin America,UnmanagedLand,DeforestationAEZ02,DeforestationAEZ02,1990,BC,0.01194629
Latin America,UnmanagedLand,Forest FiresAEZ02,Forest FiresAEZ02,1990,BC,2.05e-05
