Dairy Supply,,,,,,,,,,,,,,,,,,
Units and sector type,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
region,supplysector,output-unit,input-unit,price-unit,sectorType,,,,,,,,,,,,,
ALL,Dairy,Gcal,Gcal,1975$/Gcal,AnimalSupply,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Subsector logit exponent,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,
,,1975 fillout,,,,,,,,,,,,,,,,
region,supplysector,logit-exponent,,,,,,,,,,,,,,,,
USA,Dairy,-3,,,,,,,,,,,,,,,,
Canada,Dairy,-3,,,,,,,,,,,,,,,,
Western Europe,Dairy,-3,,,,,,,,,,,,,,,,
Japan,Dairy,-3,,,,,,,,,,,,,,,,
Australia_NZ,Dairy,-3,,,,,,,,,,,,,,,,
Former Soviet Union,Dairy,-3,,,,,,,,,,,,,,,,
China,Dairy,-3,,,,,,,,,,,,,,,,
Middle East,Dairy,-3,,,,,,,,,,,,,,,,
Africa,Dairy,-3,,,,,,,,,,,,,,,,
Latin America,Dairy,-3,,,,,,,,,,,,,,,,
Southeast Asia,Dairy,-3,,,,,,,,,,,,,,,,
Eastern Europe,Dairy,-3,,,,,,,,,,,,,,,,
Korea,Dairy,-3,,,,,,,,,,,,,,,,
India,Dairy,-3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Scale Year,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
700,,,,,,,,,,,,,,,,,,
Source Inputs,,,share-weight,interpolation-rule,,,,,,,,,,,,,,
region,supplysector,subsector,1975 fillout,apply-to,from-year,to-year,interpolation-function,,,,,,,,,,,
USA,Dairy,Mixed,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Canada,Dairy,Mixed,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Western Europe,Dairy,Mixed,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Japan,Dairy,Mixed,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Australia_NZ,Dairy,Mixed,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Former Soviet Union,Dairy,Mixed,1,share-weight,2005,2095,fixed,,,,,,,,,,,
China,Dairy,Mixed,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Middle East,Dairy,Mixed,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Africa,Dairy,Mixed,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Latin America,Dairy,Mixed,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Southeast Asia,Dairy,Mixed,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Eastern Europe,Dairy,Mixed,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Korea,Dairy,Mixed,1,share-weight,2005,2095,fixed,,,,,,,,,,,
India,Dairy,Mixed,1,share-weight,2005,2095,fixed,,,,,,,,,,,
USA,Dairy,Pastoral,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Canada,Dairy,Pastoral,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Western Europe,Dairy,Pastoral,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Japan,Dairy,Pastoral,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Australia_NZ,Dairy,Pastoral,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Former Soviet Union,Dairy,Pastoral,1,share-weight,2005,2095,fixed,,,,,,,,,,,
China,Dairy,Pastoral,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Middle East,Dairy,Pastoral,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Africa,Dairy,Pastoral,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Latin America,Dairy,Pastoral,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Southeast Asia,Dairy,Pastoral,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Eastern Europe,Dairy,Pastoral,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Korea,Dairy,Pastoral,1,share-weight,2005,2095,fixed,,,,,,,,,,,
India,Dairy,Pastoral,1,share-weight,2005,2095,fixed,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Technology logit exponent,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
702,,,,,,,,,,,,,,,,,,
Source Inputs,,,,,,,,,,,,,,,,,,
region,supplysector,subsector,logit-exponent,,,,,,,,,,,,,,,
USA,Dairy,Mixed,-6,,,,,,,,,,,,,,,
Canada,Dairy,Mixed,-6,,,,,,,,,,,,,,,
Western Europe,Dairy,Mixed,-6,,,,,,,,,,,,,,,
Japan,Dairy,Mixed,-6,,,,,,,,,,,,,,,
Australia_NZ,Dairy,Mixed,-6,,,,,,,,,,,,,,,
Former Soviet Union,Dairy,Mixed,-6,,,,,,,,,,,,,,,
China,Dairy,Mixed,-6,,,,,,,,,,,,,,,
Middle East,Dairy,Mixed,-6,,,,,,,,,,,,,,,
Africa,Dairy,Mixed,-6,,,,,,,,,,,,,,,
Latin America,Dairy,Mixed,-6,,,,,,,,,,,,,,,
Southeast Asia,Dairy,Mixed,-6,,,,,,,,,,,,,,,
Eastern Europe,Dairy,Mixed,-6,,,,,,,,,,,,,,,
Korea,Dairy,Mixed,-6,,,,,,,,,,,,,,,
India,Dairy,Mixed,-6,,,,,,,,,,,,,,,
USA,Dairy,Pastoral,-6,,,,,,,,,,,,,,,
Canada,Dairy,Pastoral,-6,,,,,,,,,,,,,,,
Western Europe,Dairy,Pastoral,-6,,,,,,,,,,,,,,,
Japan,Dairy,Pastoral,-6,,,,,,,,,,,,,,,
Australia_NZ,Dairy,Pastoral,-6,,,,,,,,,,,,,,,
Former Soviet Union,Dairy,Pastoral,-6,,,,,,,,,,,,,,,
China,Dairy,Pastoral,-6,,,,,,,,,,,,,,,
Middle East,Dairy,Pastoral,-6,,,,,,,,,,,,,,,
Africa,Dairy,Pastoral,-6,,,,,,,,,,,,,,,
Latin America,Dairy,Pastoral,-6,,,,,,,,,,,,,,,
Southeast Asia,Dairy,Pastoral,-6,,,,,,,,,,,,,,,
Eastern Europe,Dairy,Pastoral,-6,,,,,,,,,,,,,,,
Korea,Dairy,Pastoral,-6,,,,,,,,,,,,,,,
India,Dairy,Pastoral,-6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Technology shareweight scaling,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
705,,,,,,,,,,,,,,,,,,
,,,,interpolation-rule,,,,,,,,,,,,,,
region,supplysector,subsector,technology,apply-to,from-year,to-year,interpolation-function,,,,,,,,,,,
USA,Dairy,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Canada,Dairy,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Western Europe,Dairy,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Japan,Dairy,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Australia_NZ,Dairy,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Former Soviet Union,Dairy,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
China,Dairy,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Middle East,Dairy,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Africa,Dairy,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Latin America,Dairy,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Southeast Asia,Dairy,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Eastern Europe,Dairy,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Korea,Dairy,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
India,Dairy,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
USA,Dairy,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Canada,Dairy,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Western Europe,Dairy,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
