INPUT_TABLE
Variable ID
GDPControl_Ag

region,AgSupplySector,AgSupplySubsector,AgProductionTechnology,year,generic.ghg,gdp.mid.control,gdp.control.range,final.emiss.coef
Africa,Corn,CornAEZ01,CornAEZ01,1990,CH4_AWB,10,7.5,9.13962e-05
Africa,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1990,CH4_AWB,10,7.5,-1
Africa,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1990,CH4_AWB,10,7.5,-1
Africa,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1990,CH4_AWB,10,7.5,-1
Africa,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1990,CH4_AWB,10,7.5,2.49443e-05
Africa,OilCrop,OilCropAEZ01,OilCropAEZ01,1990,CH4_AWB,10,7.5,0.000192256
Africa,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1990,CH4_AWB,10,7.5,0.000148863
Africa,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1990,CH4_AWB,10,7.5,0.000149595
Africa,Rice,RiceAEZ01,RiceAEZ01,1990,CH4_AWB,10,7.5,0.000143698
Africa,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1990,CH4_AWB,10,7.5,8.68733e-05
Africa,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,1990,CH4_AWB,10,7.5,4.0864e-05
Africa,Wheat,WheatAEZ01,WheatAEZ01,1990,CH4_AWB,10,7.5,0.000219645
Africa,Corn,CornAEZ01,CornAEZ01,1990,N2O_AWB,10,7.5,2.23422e-06
Africa,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1990,N2O_AWB,10,7.5,-1
Africa,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1990,N2O_AWB,10,7.5,-1
Africa,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1990,N2O_AWB,10,7.5,-1
Africa,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1990,N2O_AWB,10,7.5,6.09774e-07
Africa,OilCrop,OilCropAEZ01,OilCropAEZ01,1990,N2O_AWB,10,7.5,4.69979e-06
