INPUT_TABLE
Variable ID
FixedOutput

region,supplysector,subsector,technology,year,fixedOutput
Africa,Exports_fertilizer,N fertilizer,N fertilizer,1990,0.063943
Australia_NZ,Exports_fertilizer,N fertilizer,N fertilizer,1990,0
Canada,Exports_fertilizer,N fertilizer,N fertilizer,1990,1.462104
China,Exports_fertilizer,N fertilizer,N fertilizer,1990,0
Eastern Europe,Exports_fertilizer,N fertilizer,N fertilizer,1990,1.428622
Former Soviet Union,Exports_fertilizer,N fertilizer,N fertilizer,1990,3.501728
India,Exports_fertilizer,N fertilizer,N fertilizer,1990,0
Japan,Exports_fertilizer,N fertilizer,N fertilizer,1990,0.2681
Korea,Exports_fertilizer,N fertilizer,N fertilizer,1990,0.092153
Latin America,Exports_fertilizer,N fertilizer,N fertilizer,1990,0
Middle East,Exports_fertilizer,N fertilizer,N fertilizer,1990,0.769279
Southeast Asia,Exports_fertilizer,N fertilizer,N fertilizer,1990,0
USA,Exports_fertilizer,N fertilizer,N fertilizer,1990,2.140441
Western Europe,Exports_fertilizer,N fertilizer,N fertilizer,1990,0
Africa,Exports_fertilizer,N fertilizer,N fertilizer,2005,0.134508
Australia_NZ,Exports_fertilizer,N fertilizer,N fertilizer,2005,0
Canada,Exports_fertilizer,N fertilizer,N fertilizer,2005,1.302292
China,Exports_fertilizer,N fertilizer,N fertilizer,2005,0
Eastern Europe,Exports_fertilizer,N fertilizer,N fertilizer,2005,1.261841
Former Soviet Union,Exports_fertilizer,N fertilizer,N fertilizer,2005,8.532884
India,Exports_fertilizer,N fertilizer,N fertilizer,2005,0
Japan,Exports_fertilizer,N fertilizer,N fertilizer,2005,0.209884
Korea,Exports_fertilizer,N fertilizer,N fertilizer,2005,0
Latin America,Exports_fertilizer,N fertilizer,N fertilizer,2005,0
Middle East,Exports_fertilizer,N fertilizer,N fertilizer,2005,3.189449
Southeast Asia,Exports_fertilizer,N fertilizer,N fertilizer,2005,0
USA,Exports_fertilizer,N fertilizer,N fertilizer,2005,0
Western Europe,Exports_fertilizer,N fertilizer,N fertilizer,2005,0
Africa,Exports_fertilizer,N fertilizer,N fertilizer,2020,0.134508
Australia_NZ,Exports_fertilizer,N fertilizer,N fertilizer,2020,0
Canada,Exports_fertilizer,N fertilizer,N fertilizer,2020,1.302292
China,Exports_fertilizer,N fertilizer,N fertilizer,2020,0
Eastern Europe,Exports_fertilizer,N fertilizer,N fertilizer,2020,1.261841
Former Soviet Union,Exports_fertilizer,N fertilizer,N fertilizer,2020,8.532884
India,Exports_fertilizer,N fertilizer,N fertilizer,2020,0
Japan,Exports_fertilizer,N fertilizer,N fertilizer,2020,0.209884
Korea,Exports_fertilizer,N fertilizer,N fertilizer,2020,0
Latin America,Exports_fertilizer,N fertilizer,N fertilizer,2020,0
Middle East,Exports_fertilizer,N fertilizer,N fertilizer,2020,3.189449
Southeast Asia,Exports_fertilizer,N fertilizer,N fertilizer,2020,0
USA,Exports_fertilizer,N fertilizer,N fertilizer,2020,0
Western Europe,Exports_fertilizer,N fertilizer,N fertilizer,2020,0
Africa,Exports_fertilizer,N fertilizer,N fertilizer,2035,0.134508
Australia_NZ,Exports_fertilizer,N fertilizer,N fertilizer,2035,0
Canada,Exports_fertilizer,N fertilizer,N fertilizer,2035,1.302292
China,Exports_fertilizer,N fertilizer,N fertilizer,2035,0
Eastern Europe,Exports_fertilizer,N fertilizer,N fertilizer,2035,1.261841
Former Soviet Union,Exports_fertilizer,N fertilizer,N fertilizer,2035,8.532884
India,Exports_fertilizer,N fertilizer,N fertilizer,2035,0
Japan,Exports_fertilizer,N fertilizer,N fertilizer,2035,0.209884
Korea,Exports_fertilizer,N fertilizer,N fertilizer,2035,0
Latin America,Exports_fertilizer,N fertilizer,N fertilizer,2035,0
Middle East,Exports_fertilizer,N fertilizer,N fertilizer,2035,3.189449
Southeast Asia,Exports_fertilizer,N fertilizer,N fertilizer,2035,0
USA,Exports_fertilizer,N fertilizer,N fertilizer,2035,0
Western Europe,Exports_fertilizer,N fertilizer,N fertilizer,2035,0
Africa,Exports_fertilizer,N fertilizer,N fertilizer,2050,0.134508
Australia_NZ,Exports_fertilizer,N fertilizer,N fertilizer,2050,0
Canada,Exports_fertilizer,N fertilizer,N fertilizer,2050,1.302292
China,Exports_fertilizer,N fertilizer,N fertilizer,2050,0
Eastern Europe,Exports_fertilizer,N fertilizer,N fertilizer,2050,1.261841
Former Soviet Union,Exports_fertilizer,N fertilizer,N fertilizer,2050,8.532884
India,Exports_fertilizer,N fertilizer,N fertilizer,2050,0
Japan,Exports_fertilizer,N fertilizer,N fertilizer,2050,0.209884
Korea,Exports_fertilizer,N fertilizer,N fertilizer,2050,0
Latin America,Exports_fertilizer,N fertilizer,N fertilizer,2050,0
Middle East,Exports_fertilizer,N fertilizer,N fertilizer,2050,3.189449
Southeast Asia,Exports_fertilizer,N fertilizer,N fertilizer,2050,0
USA,Exports_fertilizer,N fertilizer,N fertilizer,2050,0
Western Europe,Exports_fertilizer,N fertilizer,N fertilizer,2050,0
Africa,Exports_fertilizer,N fertilizer,N fertilizer,2065,0.134508
Australia_NZ,Exports_fertilizer,N fertilizer,N fertilizer,2065,0
Canada,Exports_fertilizer,N fertilizer,N fertilizer,2065,1.302292
China,Exports_fertilizer,N fertilizer,N fertilizer,2065,0
Eastern Europe,Exports_fertilizer,N fertilizer,N fertilizer,2065,1.261841
Former Soviet Union,Exports_fertilizer,N fertilizer,N fertilizer,2065,8.532884
India,Exports_fertilizer,N fertilizer,N fertilizer,2065,0
Japan,Exports_fertilizer,N fertilizer,N fertilizer,2065,0.209884
Korea,Exports_fertilizer,N fertilizer,N fertilizer,2065,0
Latin America,Exports_fertilizer,N fertilizer,N fertilizer,2065,0
Middle East,Exports_fertilizer,N fertilizer,N fertilizer,2065,3.189449
Southeast Asia,Exports_fertilizer,N fertilizer,N fertilizer,2065,0
USA,Exports_fertilizer,N fertilizer,N fertilizer,2065,0
Western Europe,Exports_fertilizer,N fertilizer,N fertilizer,2065,0
Africa,Exports_fertilizer,N fertilizer,N fertilizer,2080,0.134508
Australia_NZ,Exports_fertilizer,N fertilizer,N fertilizer,2080,0
Canada,Exports_fertilizer,N fertilizer,N fertilizer,2080,1.302292
China,Exports_fertilizer,N fertilizer,N fertilizer,2080,0
Eastern Europe,Exports_fertilizer,N fertilizer,N fertilizer,2080,1.261841
Former Soviet Union,Exports_fertilizer,N fertilizer,N fertilizer,2080,8.532884
India,Exports_fertilizer,N fertilizer,N fertilizer,2080,0
Japan,Exports_fertilizer,N fertilizer,N fertilizer,2080,0.209884
Korea,Exports_fertilizer,N fertilizer,N fertilizer,2080,0
Latin America,Exports_fertilizer,N fertilizer,N fertilizer,2080,0
Middle East,Exports_fertilizer,N fertilizer,N fertilizer,2080,3.189449
Southeast Asia,Exports_fertilizer,N fertilizer,N fertilizer,2080,0
USA,Exports_fertilizer,N fertilizer,N fertilizer,2080,0
Western Europe,Exports_fertilizer,N fertilizer,N fertilizer,2080,0
Africa,Exports_fertilizer,N fertilizer,N fertilizer,2095,0.134508
Australia_NZ,Exports_fertilizer,N fertilizer,N fertilizer,2095,0
Canada,Exports_fertilizer,N fertilizer,N fertilizer,2095,1.302292
China,Exports_fertilizer,N fertilizer,N fertilizer,2095,0
Eastern Europe,Exports_fertilizer,N fertilizer,N fertilizer,2095,1.261841
Former Soviet Union,Exports_fertilizer,N fertilizer,N fertilizer,2095,8.532884
India,Exports_fertilizer,N fertilizer,N fertilizer,2095,0
Japan,Exports_fertilizer,N fertilizer,N fertilizer,2095,0.209884
Korea,Exports_fertilizer,N fertilizer,N fertilizer,2095,0
Latin America,Exports_fertilizer,N fertilizer,N fertilizer,2095,0
Middle East,Exports_fertilizer,N fertilizer,N fertilizer,2095,3.189449
Southeast Asia,Exports_fertilizer,N fertilizer,N fertilizer,2095,0
USA,Exports_fertilizer,N fertilizer,N fertilizer,2095,0
Western Europe,Exports_fertilizer,N fertilizer,N fertilizer,2095,0
