INPUT_TABLE
Variable ID
AgProduction

region,AgSupplySector,AgSupplySubsector,AgProductionTechnology,year,calOutputValue,share.weight.year,subs.share.weight,tech.share.weight
USA,Corn,CornAEZ01,CornAEZ01,1990,0,1990,0,0
Canada,Corn,CornAEZ01,CornAEZ01,1990,0,1990,0,0
Western Europe,Corn,CornAEZ01,CornAEZ01,1990,0,1990,0,0
Japan,Corn,CornAEZ01,CornAEZ01,1990,0,1990,0,0
Australia_NZ,Corn,CornAEZ01,CornAEZ01,1990,0.002549,1990,1,1
Former Soviet Union,Corn,CornAEZ01,CornAEZ01,1990,0,1990,0,0
China,Corn,CornAEZ01,CornAEZ01,1990,0,1990,0,0
Middle East,Corn,CornAEZ01,CornAEZ01,1990,0.022043,1990,1,1
Africa,Corn,CornAEZ01,CornAEZ01,1990,4.9803,1990,1,1
Latin America,Corn,CornAEZ01,CornAEZ01,1990,0.28254,1990,1,1
Southeast Asia,Corn,CornAEZ01,CornAEZ01,1990,0.000259,1990,1,1
Eastern Europe,Corn,CornAEZ01,CornAEZ01,1990,0,1990,0,0
Korea,Corn,CornAEZ01,CornAEZ01,1990,0,1990,0,0
India,Corn,CornAEZ01,CornAEZ01,1990,0.000499,1990,1,1
USA,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1990,0,1990,0,0
Canada,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1990,0,1990,0,0
Western Europe,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1990,0,1990,0,0
Japan,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1990,0,1990,0,0
Australia_NZ,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1990,1e-05,1990,1,1
Former Soviet Union,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1990,0,1990,0,0
China,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1990,0,1990,0,0
Middle East,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1990,0.005431,1990,1,1
Africa,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1990,0.244246,1990,1,1
Latin America,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1990,0.019037,1990,1,1
Southeast Asia,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1990,0.199465,1990,1,1
Eastern Europe,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1990,0,1990,0,0
Korea,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1990,0,1990,0,0
India,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1990,0.04749,1990,1,1
USA,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1990,0,1990,0,0
Canada,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1990,0,1990,0,0
Western Europe,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1990,0,1990,0,0
Japan,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1990,0,1990,0,0
Australia_NZ,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1990,0.008868,1990,1,1
Former Soviet Union,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1990,0,1990,0,0
China,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1990,0,1990,0,0
Middle East,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1990,0.534617,1990,1,1
