INPUT_TABLE,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,
7020,,,,,,,,,,,fract-harvested,,,,,,
,,,,,,Mt/Mt,,kg/m2,GJ/kg,,price,,,,,,
region,AgSupplySector,AgSupplySubsector,AgProductionTechnology,period,residue-biomass-production,mass-conversion,harvest-index,eros-ctrl,mass-to-energy,water-content,0,1.2,1.5,10,,,GCAM_region_ID
USA,Corn,CornAEZ1,CornAEZ1,BASE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.2000,0.8000,1.0000,,,1
USA,Corn,CornAEZ2,CornAEZ2,BASE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.2000,0.8000,1.0000,,,1
USA,Corn,CornAEZ3,CornAEZ3,BASE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.2000,0.8000,1.0000,,,1
USA,Corn,CornAEZ4,CornAEZ4,BASE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.2000,0.8000,1.0000,,,1
USA,Corn,CornAEZ5,CornAEZ5,BASE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.2000,0.8000,1.0000,,,1
USA,Corn,CornAEZ6,CornAEZ6,BASE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.2000,0.8000,1.0000,,,1
USA,Corn,CornAEZ7,CornAEZ7,BASE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.2000,0.8000,1.0000,,,1
USA,Corn,CornAEZ8,CornAEZ8,BASE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.2000,0.8000,1.0000,,,1
USA,Corn,CornAEZ9,CornAEZ9,BASE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.2000,0.8000,1.0000,,,1
USA,Corn,CornAEZ10,CornAEZ10,BASE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.2000,0.8000,1.0000,,,1
USA,Corn,CornAEZ11,CornAEZ11,BASE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.2000,0.8000,1.0000,,,1
USA,Corn,CornAEZ12,CornAEZ12,BASE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.2000,0.8000,1.0000,,,1
USA,Corn,CornAEZ13,CornAEZ13,BASE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.2000,0.8000,1.0000,,,1
USA,Corn,CornAEZ14,CornAEZ14,BASE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.2000,0.8000,1.0000,,,1
USA,Corn,CornAEZ15,CornAEZ15,BASE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.2000,0.8000,1.0000,,,1
USA,Corn,CornAEZ16,CornAEZ16,BASE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.2000,0.8000,1.0000,,,1
USA,Corn,CornAEZ17,CornAEZ17,BASE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.2000,0.8000,1.0000,,,1
USA,Corn,CornAEZ18,CornAEZ18,BASE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.2000,0.8000,1.0000,,,1
USA,MiscCrop,MiscCropAEZ1,MiscCropAEZ1,BASE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.2000,0.8000,1.0000,,,1
USA,MiscCrop,MiscCropAEZ2,MiscCropAEZ2,BASE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.2000,0.8000,1.0000,,,1
USA,MiscCrop,MiscCropAEZ3,MiscCropAEZ3,BASE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.2000,0.8000,1.0000,,,1
USA,MiscCrop,MiscCropAEZ4,MiscCropAEZ4,BASE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.2000,0.8000,1.0000,,,1
USA,MiscCrop,MiscCropAEZ5,MiscCropAEZ5,BASE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.2000,0.8000,1.0000,,,1
USA,MiscCrop,MiscCropAEZ6,MiscCropAEZ6,BASE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.2000,0.8000,1.0000,,,1
USA,MiscCrop,MiscCropAEZ7,MiscCropAEZ7,BASE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.2000,0.8000,1.0000,,,1
USA,MiscCrop,MiscCropAEZ8,MiscCropAEZ8,BASE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.2000,0.8000,1.0000,,,1
USA,MiscCrop,MiscCropAEZ9,MiscCropAEZ9,BASE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.2000,0.8000,1.0000,,,1
USA,MiscCrop,MiscCropAEZ10,MiscCropAEZ10,BASE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.2000,0.8000,1.0000,,,1
USA,MiscCrop,MiscCropAEZ11,MiscCropAEZ11,BASE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.2000,0.8000,1.0000,,,1
USA,MiscCrop,MiscCropAEZ12,MiscCropAEZ12,BASE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.2000,0.8000,1.0000,,,1
USA,MiscCrop,MiscCropAEZ13,MiscCropAEZ13,BASE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.2000,0.8000,1.0000,,,1
USA,MiscCrop,MiscCropAEZ14,MiscCropAEZ14,BASE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.2000,0.8000,1.0000,,,1
USA,MiscCrop,MiscCropAEZ15,MiscCropAEZ15,BASE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.2000,0.8000,1.0000,,,1
USA,MiscCrop,MiscCropAEZ16,MiscCropAEZ16,BASE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.2000,0.8000,1.0000,,,1
USA,MiscCrop,MiscCropAEZ17,MiscCropAEZ17,BASE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.2000,0.8000,1.0000,,,1
USA,MiscCrop,MiscCropAEZ18,MiscCropAEZ18,BASE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.2000,0.8000,1.0000,,,1
USA,OilCrop,OilCropAEZ1,OilCropAEZ1,BASE YEARS,biomass,1,0.41,0.17,0.0083,0.0806,0,0.2000,0.8000,1.0000,,,1
USA,OilCrop,OilCropAEZ2,OilCropAEZ2,BASE YEARS,biomass,1,0.41,0.17,0.0083,0.0806,0,0.2000,0.8000,1.0000,,,1
