INPUT_TABLE
Variable ID
LN1_HistUnmgdAllocation

region,LandAllocatorRoot,LandNode1,UnmanagedLandLeaf1,year,allocation
USA,root,RockIceDesertAEZ01,RockIceDesertAEZ01,1700,0
Canada,root,RockIceDesertAEZ01,RockIceDesertAEZ01,1700,0
Western Europe,root,RockIceDesertAEZ01,RockIceDesertAEZ01,1700,0
Japan,root,RockIceDesertAEZ01,RockIceDesertAEZ01,1700,0
Australia_NZ,root,RockIceDesertAEZ01,RockIceDesertAEZ01,1700,2.3096
Former Soviet Union,root,RockIceDesertAEZ01,RockIceDesertAEZ01,1700,0
China,root,RockIceDesertAEZ01,RockIceDesertAEZ01,1700,0
Middle East,root,RockIceDesertAEZ01,RockIceDesertAEZ01,1700,1352.7481
Africa,root,RockIceDesertAEZ01,RockIceDesertAEZ01,1700,4153.39075
Latin America,root,RockIceDesertAEZ01,RockIceDesertAEZ01,1700,67.88084
Southeast Asia,root,RockIceDesertAEZ01,RockIceDesertAEZ01,1700,32.60841
Eastern Europe,root,RockIceDesertAEZ01,RockIceDesertAEZ01,1700,0
Korea,root,RockIceDesertAEZ01,RockIceDesertAEZ01,1700,0
India,root,RockIceDesertAEZ01,RockIceDesertAEZ01,1700,14.60428
USA,root,TundraAEZ01,TundraAEZ01,1700,0
Canada,root,TundraAEZ01,TundraAEZ01,1700,0
Western Europe,root,TundraAEZ01,TundraAEZ01,1700,0
Japan,root,TundraAEZ01,TundraAEZ01,1700,0
Australia_NZ,root,TundraAEZ01,TundraAEZ01,1700,0
Former Soviet Union,root,TundraAEZ01,TundraAEZ01,1700,0
China,root,TundraAEZ01,TundraAEZ01,1700,0
Middle East,root,TundraAEZ01,TundraAEZ01,1700,0
Africa,root,TundraAEZ01,TundraAEZ01,1700,0
Latin America,root,TundraAEZ01,TundraAEZ01,1700,2.53401
Southeast Asia,root,TundraAEZ01,TundraAEZ01,1700,0
Eastern Europe,root,TundraAEZ01,TundraAEZ01,1700,0
Korea,root,TundraAEZ01,TundraAEZ01,1700,0
India,root,TundraAEZ01,TundraAEZ01,1700,0
USA,root,UrbanLandAEZ01,UrbanLandAEZ01,1700,0
Canada,root,UrbanLandAEZ01,UrbanLandAEZ01,1700,0
Western Europe,root,UrbanLandAEZ01,UrbanLandAEZ01,1700,0
Japan,root,UrbanLandAEZ01,UrbanLandAEZ01,1700,0
Australia_NZ,root,UrbanLandAEZ01,UrbanLandAEZ01,1700,0.00013
Former Soviet Union,root,UrbanLandAEZ01,UrbanLandAEZ01,1700,0
China,root,UrbanLandAEZ01,UrbanLandAEZ01,1700,0
Middle East,root,UrbanLandAEZ01,UrbanLandAEZ01,1700,0.06286
Africa,root,UrbanLandAEZ01,UrbanLandAEZ01,1700,0.07826
Latin America,root,UrbanLandAEZ01,UrbanLandAEZ01,1700,0.0525
Southeast Asia,root,UrbanLandAEZ01,UrbanLandAEZ01,1700,0.01308
Eastern Europe,root,UrbanLandAEZ01,UrbanLandAEZ01,1700,0
Korea,root,UrbanLandAEZ01,UrbanLandAEZ01,1700,0
India,root,UrbanLandAEZ01,UrbanLandAEZ01,1700,0
USA,root,RockIceDesertAEZ02,RockIceDesertAEZ02,1700,0
Canada,root,RockIceDesertAEZ02,RockIceDesertAEZ02,1700,0
Western Europe,root,RockIceDesertAEZ02,RockIceDesertAEZ02,1700,0
Japan,root,RockIceDesertAEZ02,RockIceDesertAEZ02,1700,0
Australia_NZ,root,RockIceDesertAEZ02,RockIceDesertAEZ02,1700,0
Former Soviet Union,root,RockIceDesertAEZ02,RockIceDesertAEZ02,1700,0
China,root,RockIceDesertAEZ02,RockIceDesertAEZ02,1700,0
Middle East,root,RockIceDesertAEZ02,RockIceDesertAEZ02,1700,0.73258
Africa,root,RockIceDesertAEZ02,RockIceDesertAEZ02,1700,22.67411
Latin America,root,RockIceDesertAEZ02,RockIceDesertAEZ02,1700,5.89879
Southeast Asia,root,RockIceDesertAEZ02,RockIceDesertAEZ02,1700,0
Eastern Europe,root,RockIceDesertAEZ02,RockIceDesertAEZ02,1700,0
Korea,root,RockIceDesertAEZ02,RockIceDesertAEZ02,1700,0
India,root,RockIceDesertAEZ02,RockIceDesertAEZ02,1700,9.79322
USA,root,TundraAEZ02,TundraAEZ02,1700,0
Canada,root,TundraAEZ02,TundraAEZ02,1700,0
Western Europe,root,TundraAEZ02,TundraAEZ02,1700,0
Japan,root,TundraAEZ02,TundraAEZ02,1700,0
Australia_NZ,root,TundraAEZ02,TundraAEZ02,1700,0
Former Soviet Union,root,TundraAEZ02,TundraAEZ02,1700,0
China,root,TundraAEZ02,TundraAEZ02,1700,0
Middle East,root,TundraAEZ02,TundraAEZ02,1700,0
Africa,root,TundraAEZ02,TundraAEZ02,1700,0
Latin America,root,TundraAEZ02,TundraAEZ02,1700,1.34096
