INPUT_TABLE
Variable ID
LN3_MgdAllocation

region,LandAllocatorRoot,LandNode1,LandNode2,LandNode3,LandLeaf3,year,allocation
USA,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,ForestAEZ01,1975,0
Canada,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,ForestAEZ01,1975,0
Western Europe,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,ForestAEZ01,1975,0
Japan,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,ForestAEZ01,1975,0
Australia_NZ,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,ForestAEZ01,1975,0.00325
Former Soviet Union,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,ForestAEZ01,1975,0
China,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,ForestAEZ01,1975,0
Middle East,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,ForestAEZ01,1975,0
Africa,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,ForestAEZ01,1975,0.10567
Latin America,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,ForestAEZ01,1975,0.28826
Southeast Asia,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,ForestAEZ01,1975,0
Eastern Europe,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,ForestAEZ01,1975,0
Korea,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,ForestAEZ01,1975,0
India,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,ForestAEZ01,1975,0
USA,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,ForestAEZ02,1975,0
Canada,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,ForestAEZ02,1975,0
Western Europe,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,ForestAEZ02,1975,0
Japan,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,ForestAEZ02,1975,0
Australia_NZ,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,ForestAEZ02,1975,0
Former Soviet Union,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,ForestAEZ02,1975,0
China,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,ForestAEZ02,1975,0
Middle East,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,ForestAEZ02,1975,0
Africa,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,ForestAEZ02,1975,0.46957
Latin America,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,ForestAEZ02,1975,0.44919
Southeast Asia,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,ForestAEZ02,1975,0
Eastern Europe,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,ForestAEZ02,1975,0
Korea,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,ForestAEZ02,1975,0
India,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,ForestAEZ02,1975,6.87292
USA,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,ForestAEZ03,1975,0
Canada,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,ForestAEZ03,1975,0
Western Europe,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,ForestAEZ03,1975,0
Japan,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,ForestAEZ03,1975,0
Australia_NZ,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,ForestAEZ03,1975,0.05931
Former Soviet Union,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,ForestAEZ03,1975,0
China,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,ForestAEZ03,1975,0
Middle East,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,ForestAEZ03,1975,0
Africa,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,ForestAEZ03,1975,4.27756
Latin America,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,ForestAEZ03,1975,1.65621
Southeast Asia,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,ForestAEZ03,1975,0.14381
Eastern Europe,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,ForestAEZ03,1975,0
Korea,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,ForestAEZ03,1975,0
India,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,ForestAEZ03,1975,49.54747
USA,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,ForestAEZ04,1975,0
Canada,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,ForestAEZ04,1975,0
Western Europe,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,ForestAEZ04,1975,0
Japan,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,ForestAEZ04,1975,0
Australia_NZ,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,ForestAEZ04,1975,0.66439
Former Soviet Union,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,ForestAEZ04,1975,0
China,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,ForestAEZ04,1975,4.99339
Middle East,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,ForestAEZ04,1975,0
Africa,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,ForestAEZ04,1975,34.45405
Latin America,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,ForestAEZ04,1975,5.74889
Southeast Asia,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,ForestAEZ04,1975,11.3306
Eastern Europe,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,ForestAEZ04,1975,0
Korea,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,ForestAEZ04,1975,0
India,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,ForestAEZ04,1975,25.70575
USA,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,ForestAEZ05,1975,0
Canada,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,ForestAEZ05,1975,0
Western Europe,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,ForestAEZ05,1975,0
Japan,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,ForestAEZ05,1975,0
Australia_NZ,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,ForestAEZ05,1975,0.46105
Former Soviet Union,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,ForestAEZ05,1975,0
China,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,ForestAEZ05,1975,27.65642
Middle East,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,ForestAEZ05,1975,0
Africa,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,ForestAEZ05,1975,37.43385
Latin America,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,ForestAEZ05,1975,27.12308
Southeast Asia,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,ForestAEZ05,1975,24.98056
Eastern Europe,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,ForestAEZ05,1975,0
Korea,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,ForestAEZ05,1975,0
India,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,ForestAEZ05,1975,10.26781
USA,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06,ForestAEZ06,1975,0
Canada,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06,ForestAEZ06,1975,0
Western Europe,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06,ForestAEZ06,1975,0
Japan,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06,ForestAEZ06,1975,0
Australia_NZ,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06,ForestAEZ06,1975,0.26029
Former Soviet Union,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06,ForestAEZ06,1975,0
China,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06,ForestAEZ06,1975,14.78042
Middle East,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06,ForestAEZ06,1975,0
Africa,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06,ForestAEZ06,1975,73.28054
Latin America,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06,ForestAEZ06,1975,86.60698
