INPUT_TABLE
Variable ID
LN2_UnmgdCarbon

region,LandAllocatorRoot,LandNode1,LandNode2,UnmanagedLandLeaf2,hist.veg.carbon.density,hist.soil.carbon.density,veg.carbon.density,soil.carbon.density,mature.age,min.veg.carbon.density,min.soil.carbon.density,Land_Type,AEZ,Cdensity_LT
USA,root,AgroForestLandAEZ01,AllPastureLandAEZ01,UnmanagedPastureAEZ01,0.4,6,0.4,6,10,0,0,UnmanagedPasture,AEZ01,Pasture
Canada,root,AgroForestLandAEZ01,AllPastureLandAEZ01,UnmanagedPastureAEZ01,0.4,6,0.4,6,10,0,0,UnmanagedPasture,AEZ01,Pasture
Western Europe,root,AgroForestLandAEZ01,AllPastureLandAEZ01,UnmanagedPastureAEZ01,0.4,6,0.4,6,10,0,0,UnmanagedPasture,AEZ01,Pasture
Japan,root,AgroForestLandAEZ01,AllPastureLandAEZ01,UnmanagedPastureAEZ01,0.4,6,0.4,6,10,0,0,UnmanagedPasture,AEZ01,Pasture
Australia_NZ,root,AgroForestLandAEZ01,AllPastureLandAEZ01,UnmanagedPastureAEZ01,0.4,7.2,0.4,7.2,10,0,0,UnmanagedPasture,AEZ01,Pasture
Former Soviet Union,root,AgroForestLandAEZ01,AllPastureLandAEZ01,UnmanagedPastureAEZ01,0.4,6,0.4,6,10,0,0,UnmanagedPasture,AEZ01,Pasture
China,root,AgroForestLandAEZ01,AllPastureLandAEZ01,UnmanagedPastureAEZ01,0.4,6,0.4,6,10,0,0,UnmanagedPasture,AEZ01,Pasture
Middle East,root,AgroForestLandAEZ01,AllPastureLandAEZ01,UnmanagedPastureAEZ01,0.4,6.2,0.4,6.2,10,0,0,UnmanagedPasture,AEZ01,Pasture
Africa,root,AgroForestLandAEZ01,AllPastureLandAEZ01,UnmanagedPastureAEZ01,0.4,7.1,0.4,7.1,10,0,0,UnmanagedPasture,AEZ01,Pasture
Latin America,root,AgroForestLandAEZ01,AllPastureLandAEZ01,UnmanagedPastureAEZ01,0.4,6.2,0.4,6.2,10,0,0,UnmanagedPasture,AEZ01,Pasture
Southeast Asia,root,AgroForestLandAEZ01,AllPastureLandAEZ01,UnmanagedPastureAEZ01,0.4,6,0.4,6,10,0,0,UnmanagedPasture,AEZ01,Pasture
Eastern Europe,root,AgroForestLandAEZ01,AllPastureLandAEZ01,UnmanagedPastureAEZ01,0.4,6,0.4,6,10,0,0,UnmanagedPasture,AEZ01,Pasture
Korea,root,AgroForestLandAEZ01,AllPastureLandAEZ01,UnmanagedPastureAEZ01,0.4,6,0.4,6,10,0,0,UnmanagedPasture,AEZ01,Pasture
