INPUT_TABLE
Variable ID
LN1_UnmgdCarbon

region,LandAllocatorRoot,LandNode1,UnmanagedLandLeaf1,hist.veg.carbon.density,hist.soil.carbon.density,veg.carbon.density,soil.carbon.density,mature.age,min.veg.carbon.density,min.soil.carbon.density,Land_Type,AEZ,Cdensity_LT
USA,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,0.4,6,0.4,6,10,0,0,UnmanagedPasture,AEZ01,Pasture
Canada,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,0.4,6,0.4,6,10,0,0,UnmanagedPasture,AEZ01,Pasture
Western Europe,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,0.4,6,0.4,6,10,0,0,UnmanagedPasture,AEZ01,Pasture
Japan,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,0.4,6,0.4,6,10,0,0,UnmanagedPasture,AEZ01,Pasture
Australia_NZ,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,0.4,7.2,0.4,7.2,10,0,0,UnmanagedPasture,AEZ01,Pasture
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,0.4,6,0.4,6,10,0,0,UnmanagedPasture,AEZ01,Pasture
China,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,0.4,6,0.4,6,10,0,0,UnmanagedPasture,AEZ01,Pasture
Middle East,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,0.4,6.2,0.4,6.2,10,0,0,UnmanagedPasture,AEZ01,Pasture
Africa,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,0.4,7.1,0.4,7.1,10,0,0,UnmanagedPasture,AEZ01,Pasture
Latin America,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,0.4,6.2,0.4,6.2,10,0,0,UnmanagedPasture,AEZ01,Pasture
Southeast Asia,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,0.4,6,0.4,6,10,0,0,UnmanagedPasture,AEZ01,Pasture
Eastern Europe,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,0.4,6,0.4,6,10,0,0,UnmanagedPasture,AEZ01,Pasture
Korea,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,0.4,6,0.4,6,10,0,0,UnmanagedPasture,AEZ01,Pasture
India,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,0.4,6,0.4,6,10,0,0,UnmanagedPasture,AEZ01,Pasture
USA,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,0.7,7.5,0.7,7.5,10,0,0,UnmanagedPasture,AEZ02,Pasture
Canada,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,0.7,7.5,0.7,7.5,10,0,0,UnmanagedPasture,AEZ02,Pasture
Western Europe,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,0.7,7.5,0.7,7.5,10,0,0,UnmanagedPasture,AEZ02,Pasture
Japan,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,0.7,7.5,0.7,7.5,10,0,0,UnmanagedPasture,AEZ02,Pasture
Australia_NZ,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,0.7,9.2,0.7,9.2,10,0,0,UnmanagedPasture,AEZ02,Pasture
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,0.7,7.5,0.7,7.5,10,0,0,UnmanagedPasture,AEZ02,Pasture
China,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,0.7,7.5,0.7,7.5,10,0,0,UnmanagedPasture,AEZ02,Pasture
