INPUT_TABLE
Variable ID
AgCost

region,AgSupplySector,AgSupplySubsector,AgProductionTechnology,year,NonLandVariableCost,AEZ,GCAM_commodity
USA,biomass,biomassAEZ01,biomassAEZ01,1990,6,AEZ01,biomass
Canada,biomass,biomassAEZ01,biomassAEZ01,1990,6,AEZ01,biomass
Western Europe,biomass,biomassAEZ01,biomassAEZ01,1990,6,AEZ01,biomass
Japan,biomass,biomassAEZ01,biomassAEZ01,1990,6,AEZ01,biomass
Australia_NZ,biomass,biomassAEZ01,biomassAEZ01,1990,6,AEZ01,biomass
Former Soviet Union,biomass,biomassAEZ01,biomassAEZ01,1990,6,AEZ01,biomass
China,biomass,biomassAEZ01,biomassAEZ01,1990,6,AEZ01,biomass
Middle East,biomass,biomassAEZ01,biomassAEZ01,1990,6,AEZ01,biomass
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,1990,10.368,AEZ01,Jatropha
Latin America,biomass,eucalyptusAEZ01,eucalyptusAEZ01,1990,5.92,AEZ01,eucalyptus
Southeast Asia,biomass,biomassAEZ01,biomassAEZ01,1990,6,AEZ01,biomass
Eastern Europe,biomass,biomassAEZ01,biomassAEZ01,1990,6,AEZ01,biomass
Korea,biomass,biomassAEZ01,biomassAEZ01,1990,6,AEZ01,biomass
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,1990,10.368,AEZ01,Jatropha
USA,biomass,biomassAEZ02,biomassAEZ02,1990,0.75,AEZ02,biomass
Canada,biomass,biomassAEZ02,biomassAEZ02,1990,0.75,AEZ02,biomass
Western Europe,biomass,biomassAEZ02,biomassAEZ02,1990,0.75,AEZ02,biomass
Japan,biomass,biomassAEZ02,biomassAEZ02,1990,0.75,AEZ02,biomass
Australia_NZ,biomass,biomassAEZ02,biomassAEZ02,1990,0.75,AEZ02,biomass
Former Soviet Union,biomass,biomassAEZ02,biomassAEZ02,1990,0.75,AEZ02,biomass
China,biomass,biomassAEZ02,biomassAEZ02,1990,0.75,AEZ02,biomass
Middle East,biomass,biomassAEZ02,biomassAEZ02,1990,0.75,AEZ02,biomass
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,1990,1.296,AEZ02,Jatropha
Latin America,biomass,eucalyptusAEZ02,eucalyptusAEZ02,1990,0.74,AEZ02,eucalyptus
Southeast Asia,biomass,biomassAEZ02,biomassAEZ02,1990,0.75,AEZ02,biomass
Eastern Europe,biomass,biomassAEZ02,biomassAEZ02,1990,0.75,AEZ02,biomass
Korea,biomass,biomassAEZ02,biomassAEZ02,1990,0.75,AEZ02,biomass
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,1990,1.296,AEZ02,Jatropha
USA,biomass,biomassAEZ03,biomassAEZ03,1990,0.75,AEZ03,biomass
Canada,biomass,biomassAEZ03,biomassAEZ03,1990,0.75,AEZ03,biomass
Western Europe,biomass,biomassAEZ03,biomassAEZ03,1990,0.75,AEZ03,biomass
Japan,biomass,biomassAEZ03,biomassAEZ03,1990,0.75,AEZ03,biomass
Australia_NZ,biomass,biomassAEZ03,biomassAEZ03,1990,0.75,AEZ03,biomass
Former Soviet Union,biomass,biomassAEZ03,biomassAEZ03,1990,0.75,AEZ03,biomass
China,biomass,biomassAEZ03,biomassAEZ03,1990,0.75,AEZ03,biomass
