INPUT_TABLE
Variable ID
MAC_12pt

region,supplysector,subsector,technology,year,generic.ghg,X0,X10,X20,X30,X40,X50,X75,X100,X125,X150,X175,X200,final.reduction
Africa,Beef,Mixed,FodderHerb_Residue,2020,CH4_AGR,0.0111,0.082,0.0898,0.0989,0.1029,0.1029,0.1029,0.1029,0.1029,0.1029,0.1126,0.1126,0.1126
Africa,Beef,Mixed,Pasture_FodderGrass,2020,CH4_AGR,0.0111,0.082,0.0898,0.0989,0.1029,0.1029,0.1029,0.1029,0.1029,0.1029,0.1126,0.1126,0.1126
Africa,Beef,Mixed,FeedCrops,2020,CH4_AGR,0.0111,0.082,0.0898,0.0989,0.1029,0.1029,0.1029,0.1029,0.1029,0.1029,0.1126,0.1126,0.1126
Africa,Beef,Mixed,Scavenging_Other,2020,CH4_AGR,0.0111,0.082,0.0898,0.0989,0.1029,0.1029,0.1029,0.1029,0.1029,0.1029,0.1126,0.1126,0.1126
Africa,Beef,Pastoral,FodderHerb_Residue,2020,CH4_AGR,0.0111,0.082,0.0898,0.0989,0.1029,0.1029,0.1029,0.1029,0.1029,0.1029,0.1126,0.1126,0.1126
Africa,Beef,Pastoral,Pasture_FodderGrass,2020,CH4_AGR,0.0111,0.082,0.0898,0.0989,0.1029,0.1029,0.1029,0.1029,0.1029,0.1029,0.1126,0.1126,0.1126
Africa,Beef,Pastoral,FeedCrops,2020,CH4_AGR,0.0111,0.082,0.0898,0.0989,0.1029,0.1029,0.1029,0.1029,0.1029,0.1029,0.1126,0.1126,0.1126
Africa,Beef,Pastoral,Scavenging_Other,2020,CH4_AGR,0.0111,0.082,0.0898,0.0989,0.1029,0.1029,0.1029,0.1029,0.1029,0.1029,0.1126,0.1126,0.1126
Africa,Dairy,Mixed,FodderHerb_Residue,2020,CH4_AGR,0.0111,0.082,0.0898,0.0989,0.1029,0.1029,0.1029,0.1029,0.1029,0.1029,0.1126,0.1126,0.1126
Africa,Dairy,Mixed,Pasture_FodderGrass,2020,CH4_AGR,0.0111,0.082,0.0898,0.0989,0.1029,0.1029,0.1029,0.1029,0.1029,0.1029,0.1126,0.1126,0.1126
Africa,Dairy,Mixed,FeedCrops,2020,CH4_AGR,0.0111,0.082,0.0898,0.0989,0.1029,0.1029,0.1029,0.1029,0.1029,0.1029,0.1126,0.1126,0.1126
