INPUT_TABLE
Variable ID
LN1_HistUnmgdAllocation

region,LandAllocatorRoot,LandNode1,UnmanagedLandLeaf1,year,allocation
USA,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1700,0
Canada,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1700,0
Western Europe,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1700,0
Japan,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1700,0
Australia_NZ,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1700,0
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1700,0
China,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1700,0
Middle East,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1700,51.695559
Africa,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1700,199.77399
Latin America,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1700,4.643703
Southeast Asia,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1700,0.566766
Eastern Europe,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1700,0
Korea,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1700,0
India,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1700,0.318114
USA,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,1700,0
Canada,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,1700,0
Western Europe,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,1700,0
Japan,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,1700,0
Australia_NZ,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,1700,0
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,1700,0
China,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,1700,0
Middle East,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,1700,0.004608
Africa,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,1700,146.721447
Latin America,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,1700,2.323773
Southeast Asia,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,1700,0
Eastern Europe,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,1700,0
Korea,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,1700,0
India,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,1700,0.839376
USA,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,1700,0
Canada,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,1700,0
Western Europe,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,1700,0
Japan,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,1700,0
Australia_NZ,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,1700,0
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,1700,0
China,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,1700,0
Middle East,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,1700,0.013167
Africa,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,1700,155.246922
Latin America,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,1700,7.369263
Southeast Asia,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,1700,0.050859
Eastern Europe,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,1700,0
Korea,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,1700,0
India,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,1700,4.000032
USA,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,1700,0
Canada,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,1700,0
Western Europe,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,1700,0.065475
Japan,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,1700,0
Australia_NZ,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,1700,0
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,1700,0
