Forest,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,
7020,,,,,,,,,,,fract-harvested,,,,,
,,,,,,kg/m3,,kg/m2,GJ/kg,,price,,,,,
region,AgSupplySector,AgSupplySubsector,AgProductionTechnology,period,residue-biomass-production,mass-conversion,harvest-index,eros-ctrl,mass-to-energy,water-content,0,0.623,3,10,,GCAM_region_ID
USA,Forest,ForestAEZ1,ForestAEZ1,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,1
USA,Forest,ForestAEZ2,ForestAEZ2,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,1
USA,Forest,ForestAEZ3,ForestAEZ3,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,1
USA,Forest,ForestAEZ4,ForestAEZ4,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,1
USA,Forest,ForestAEZ5,ForestAEZ5,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,1
USA,Forest,ForestAEZ6,ForestAEZ6,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,1
USA,Forest,ForestAEZ7,ForestAEZ7,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,1
USA,Forest,ForestAEZ8,ForestAEZ8,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,1
USA,Forest,ForestAEZ9,ForestAEZ9,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,1
USA,Forest,ForestAEZ10,ForestAEZ10,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,1
USA,Forest,ForestAEZ11,ForestAEZ11,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,1
USA,Forest,ForestAEZ12,ForestAEZ12,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,1
USA,Forest,ForestAEZ13,ForestAEZ13,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,1
USA,Forest,ForestAEZ14,ForestAEZ14,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,1
USA,Forest,ForestAEZ15,ForestAEZ15,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,1
