INPUT_TABLE
Variable ID
PerCapitaBased

region,energy.final.demand,perCapitaBased
USA,Exports_fertilizer,0
Canada,Exports_fertilizer,0
Western Europe,Exports_fertilizer,0
Japan,Exports_fertilizer,0
Australia_NZ,Exports_fertilizer,0
Former Soviet Union,Exports_fertilizer,0
China,Exports_fertilizer,0
Middle East,Exports_fertilizer,0
Africa,Exports_fertilizer,0
Latin America,Exports_fertilizer,0
Southeast Asia,Exports_fertilizer,0
Eastern Europe,Exports_fertilizer,0
Korea,Exports_fertilizer,0
India,Exports_fertilizer,0
