INPUT_TABLE
Variable ID
AgResBioCurve

region,AgSupplySector,AgSupplySubsector,AgProductionTechnology,year,residue.biomass.production,price,fract.harvested
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,1990,biomass,0,0
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,1990,biomass,0,0
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,1990,biomass,0,0
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,1990,biomass,0,0
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,1990,biomass,0,0
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,1990,biomass,0,0
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,1990,biomass,0,0
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,1990,biomass,0,0
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2005,biomass,0,0
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2005,biomass,0,0
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2005,biomass,0,0
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2005,biomass,0,0
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,2005,biomass,0,0
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,2005,biomass,0,0
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,2005,biomass,0,0
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,2005,biomass,0,0
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2020,biomass,0,0
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2020,biomass,0,0
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2020,biomass,0,0
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2020,biomass,0,0
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,2020,biomass,0,0
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,2020,biomass,0,0
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,2020,biomass,0,0
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,2020,biomass,0,0
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2035,biomass,0,0
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2035,biomass,0,0
