INPUT_TABLE
Variable ID
RsrcCurve3pt

region,renewresource,sub.renewable.resource,maxSubResource,grade.1.cost,grade.2.available,grade.2.cost,grade.3.available,grade.3.cost
USA,Residue,Residue,0,0.001,1,0.002,1.5,0.01
Canada,Residue,Residue,0.3607381,0.001,1,0.002,1.5,0.01
Western Europe,Residue,Residue,0,0.001,1,0.002,1.5,0.01
Japan,Residue,Residue,0.6752498,0.001,1,0.002,1.5,0.01
Australia_NZ,Residue,Residue,0,0.001,1,0.002,1.5,0.01
Former Soviet Union,Residue,Residue,0,0.001,1,0.002,1.5,0.01
China,Residue,Residue,199.2738711,0.001,1,0.002,1.5,0.01
Middle East,Residue,Residue,0,0.001,1,0.002,1.5,0.01
Africa,Residue,Residue,5.9594831,0.001,1,0.002,1.5,0.01
Latin America,Residue,Residue,31.4741471,0.001,1,0.002,1.5,0.01
Southeast Asia,Residue,Residue,48.1881524,0.001,1,0.002,1.5,0.01
Eastern Europe,Residue,Residue,0,0.001,1,0.002,1.5,0.01
Korea,Residue,Residue,2.9566881,0.001,1,0.002,1.5,0.01
India,Residue,Residue,48.2451219,0.001,1,0.002,1.5,0.01
USA,Scavenging_Other_Rsrc,Scavenging_Other,0.3841852,0.001,1,0.002,1.5,0.01
Canada,Scavenging_Other_Rsrc,Scavenging_Other,0.0591895,0.001,1,0.002,1.5,0.01
Western Europe,Scavenging_Other_Rsrc,Scavenging_Other,4.3186388,0.001,1,0.002,1.5,0.01
Japan,Scavenging_Other_Rsrc,Scavenging_Other,0.1945394,0.001,1,0.002,1.5,0.01
Australia_NZ,Scavenging_Other_Rsrc,Scavenging_Other,4.187715,0.001,1,0.002,1.5,0.01
Former Soviet Union,Scavenging_Other_Rsrc,Scavenging_Other,6.8444748,0.001,1,0.002,1.5,0.01
China,Scavenging_Other_Rsrc,Scavenging_Other,21.1652243,0.001,1,0.002,1.5,0.01
Middle East,Scavenging_Other_Rsrc,Scavenging_Other,3.3486314,0.001,1,0.002,1.5,0.01
Africa,Scavenging_Other_Rsrc,Scavenging_Other,28.8432016,0.001,1,0.002,1.5,0.01
Latin America,Scavenging_Other_Rsrc,Scavenging_Other,54.037288,0.001,1,0.002,1.5,0.01
Southeast Asia,Scavenging_Other_Rsrc,Scavenging_Other,51.2688301,0.001,1,0.002,1.5,0.01
Eastern Europe,Scavenging_Other_Rsrc,Scavenging_Other,5.0099579,0.001,1,0.002,1.5,0.01
Korea,Scavenging_Other_Rsrc,Scavenging_Other,0.4861524,0.001,1,0.002,1.5,0.01
India,Scavenging_Other_Rsrc,Scavenging_Other,223.2466756,0.001,1,0.002,1.5,0.01
