INPUT_TABLE
Variable ID
TechInput

region,supplysector,subsector,technology,apply.to,from.year,to.year,interpolation.function,CO2,share.weight,minicam.energy.input,coefficient,input.cost
Africa,FodderHerb_Residue,FodderHerb,FodderHerb,share-weight,2005,9999,fixed,CO2,1,FodderHerb,1,0
Africa,FodderHerb_Residue,Residue,Residue,share-weight,2005,9999,fixed,CO2,1,Residue,1,0
Africa,Pasture_FodderGrass,Pasture,Pasture,share-weight,2005,9999,fixed,CO2,1,Pasture,1,0
Africa,Pasture_FodderGrass,FodderGrass,FodderGrass,share-weight,2005,9999,fixed,CO2,1,FodderGrass,1,0
Africa,FeedCrops,Corn,Corn,share-weight,2005,9999,fixed,CO2,1,Corn,1,0
Africa,FeedCrops,MiscCrop,MiscCrop,share-weight,2005,9999,fixed,CO2,1,MiscCrop,1,0
Africa,FeedCrops,OilCrop,OilCrop,share-weight,2005,9999,fixed,CO2,1,OilCrop,1,0
Africa,FeedCrops,OtherGrain,OtherGrain,share-weight,2005,9999,fixed,CO2,1,OtherGrain,1,0
Africa,FeedCrops,PalmFruit,PalmFruit,share-weight,2005,9999,fixed,CO2,1,PalmFruit,1,0
Africa,FeedCrops,Rice,Rice,share-weight,2005,9999,fixed,CO2,1,Rice,1,0
Africa,FeedCrops,Root_Tuber,Root_Tuber,share-weight,2005,9999,fixed,CO2,1,Root_Tuber,1,0
Africa,FeedCrops,SugarCrop,SugarCrop,share-weight,2005,9999,fixed,CO2,1,SugarCrop,1,0
Africa,FeedCrops,Wheat,Wheat,share-weight,2005,9999,fixed,CO2,1,Wheat,1,0
Africa,Scavenging_Other,Scavenging_Other,Scavenging_Other,share-weight,2005,9999,fixed,CO2,1,Scavenging_Other_Rsrc,1,0
Australia_NZ,FodderHerb_Residue,FodderHerb,FodderHerb,share-weight,2005,9999,fixed,CO2,1,FodderHerb,1,0
Australia_NZ,FodderHerb_Residue,Residue,Residue,share-weight,2005,9999,fixed,CO2,1,Residue,1,0
Australia_NZ,Pasture_FodderGrass,Pasture,Pasture,share-weight,2005,9999,fixed,CO2,1,Pasture,1,0
Australia_NZ,Pasture_FodderGrass,FodderGrass,FodderGrass,share-weight,2005,9999,fixed,CO2,1,FodderGrass,1,0
Australia_NZ,FeedCrops,Corn,Corn,share-weight,2005,9999,fixed,CO2,1,Corn,1,0
Australia_NZ,FeedCrops,MiscCrop,MiscCrop,share-weight,2005,9999,fixed,CO2,1,MiscCrop,1,0
Australia_NZ,FeedCrops,OilCrop,OilCrop,share-weight,2005,9999,fixed,CO2,1,OilCrop,1,0
Australia_NZ,FeedCrops,OtherGrain,OtherGrain,share-weight,2005,9999,fixed,CO2,1,OtherGrain,1,0
Australia_NZ,FeedCrops,PalmFruit,PalmFruit,share-weight,2005,9999,fixed,CO2,1,PalmFruit,1,0
Australia_NZ,FeedCrops,Rice,Rice,share-weight,2005,9999,fixed,CO2,1,Rice,1,0
Australia_NZ,FeedCrops,Root_Tuber,Root_Tuber,share-weight,2005,9999,fixed,CO2,1,Root_Tuber,1,0
Australia_NZ,FeedCrops,SugarCrop,SugarCrop,share-weight,2005,9999,fixed,CO2,1,SugarCrop,1,0
Australia_NZ,FeedCrops,Wheat,Wheat,share-weight,2005,9999,fixed,CO2,1,Wheat,1,0
