INPUT_TABLE
Variable ID
BaseService

region,energy.final.demand,year,base.service
USA,Exports_fertilizer,1975,1
Canada,Exports_fertilizer,1975,1
Western Europe,Exports_fertilizer,1975,1
Japan,Exports_fertilizer,1975,1
Australia_NZ,Exports_fertilizer,1975,1
Former Soviet Union,Exports_fertilizer,1975,1
China,Exports_fertilizer,1975,1
Middle East,Exports_fertilizer,1975,1
Africa,Exports_fertilizer,1975,1
Latin America,Exports_fertilizer,1975,1
Southeast Asia,Exports_fertilizer,1975,1
Eastern Europe,Exports_fertilizer,1975,1
Korea,Exports_fertilizer,1975,1
India,Exports_fertilizer,1975,1
USA,Exports_fertilizer,1990,2.1404414
Canada,Exports_fertilizer,1990,1.462104
Western Europe,Exports_fertilizer,1990,0
Japan,Exports_fertilizer,1990,0.2680998
Australia_NZ,Exports_fertilizer,1990,0
Former Soviet Union,Exports_fertilizer,1990,3.5017278
China,Exports_fertilizer,1990,0
Middle East,Exports_fertilizer,1990,0.7692791
Africa,Exports_fertilizer,1990,0.0639433
Latin America,Exports_fertilizer,1990,0
Southeast Asia,Exports_fertilizer,1990,0
Eastern Europe,Exports_fertilizer,1990,1.4286221
Korea,Exports_fertilizer,1990,0.0921535
India,Exports_fertilizer,1990,0
USA,Exports_fertilizer,2005,0
Canada,Exports_fertilizer,2005,1.3022923
Western Europe,Exports_fertilizer,2005,0
Japan,Exports_fertilizer,2005,0.2098836
Australia_NZ,Exports_fertilizer,2005,0
Former Soviet Union,Exports_fertilizer,2005,8.5328835
China,Exports_fertilizer,2005,0
Middle East,Exports_fertilizer,2005,3.189449
Africa,Exports_fertilizer,2005,0.134508
Latin America,Exports_fertilizer,2005,0
Southeast Asia,Exports_fertilizer,2005,0
Eastern Europe,Exports_fertilizer,2005,1.2618409
Korea,Exports_fertilizer,2005,0
India,Exports_fertilizer,2005,0
