INPUT_TABLE
Variable ID
TechInput

region,supplysector,subsector,technology,apply.to,from.year,to.year,interpolation.function,CO2,share.weight,minicam.energy.input,coefficient,input.cost
Africa,Exports_Meat,Beef,Beef,share-weight,2005,9999,fixed,CO2,0,Beef,1,0
Africa,Exports_Meat,Dairy,Dairy,share-weight,2005,9999,fixed,CO2,0,Dairy,1,0
Africa,Exports_Meat,Pork,Pork,share-weight,2005,9999,fixed,CO2,0,Pork,1,0
Africa,Exports_Meat,Poultry,Poultry,share-weight,2005,9999,fixed,CO2,0,Poultry,1,0
Africa,Exports_Meat,SheepGoat,SheepGoat,share-weight,2005,9999,fixed,CO2,0,SheepGoat,1,0
Australia_NZ,Exports_Meat,Beef,Beef,share-weight,2005,9999,fixed,CO2,0,Beef,1,0
Australia_NZ,Exports_Meat,Dairy,Dairy,share-weight,2005,9999,fixed,CO2,0,Dairy,1,0
Australia_NZ,Exports_Meat,Pork,Pork,share-weight,2005,9999,fixed,CO2,0,Pork,1,0
Australia_NZ,Exports_Meat,Poultry,Poultry,share-weight,2005,9999,fixed,CO2,0,Poultry,1,0
Australia_NZ,Exports_Meat,SheepGoat,SheepGoat,share-weight,2005,9999,fixed,CO2,0,SheepGoat,1,0
Canada,Exports_Meat,Beef,Beef,share-weight,2005,9999,fixed,CO2,0,Beef,1,0
Canada,Exports_Meat,Dairy,Dairy,share-weight,2005,9999,fixed,CO2,0,Dairy,1,0
Canada,Exports_Meat,Pork,Pork,share-weight,2005,9999,fixed,CO2,0,Pork,1,0
Canada,Exports_Meat,Poultry,Poultry,share-weight,2005,9999,fixed,CO2,0,Poultry,1,0
Canada,Exports_Meat,SheepGoat,SheepGoat,share-weight,2005,9999,fixed,CO2,0,SheepGoat,1,0
China,Exports_Meat,Beef,Beef,share-weight,2005,9999,fixed,CO2,0,Beef,1,0
China,Exports_Meat,Dairy,Dairy,share-weight,2005,9999,fixed,CO2,0,Dairy,1,0
China,Exports_Meat,Pork,Pork,share-weight,2005,9999,fixed,CO2,0,Pork,1,0
China,Exports_Meat,Poultry,Poultry,share-weight,2005,9999,fixed,CO2,0,Poultry,1,0
China,Exports_Meat,SheepGoat,SheepGoat,share-weight,2005,9999,fixed,CO2,0,SheepGoat,1,0
Eastern Europe,Exports_Meat,Beef,Beef,share-weight,2005,9999,fixed,CO2,0,Beef,1,0
Eastern Europe,Exports_Meat,Dairy,Dairy,share-weight,2005,9999,fixed,CO2,0,Dairy,1,0
Eastern Europe,Exports_Meat,Pork,Pork,share-weight,2005,9999,fixed,CO2,0,Pork,1,0
Eastern Europe,Exports_Meat,Poultry,Poultry,share-weight,2005,9999,fixed,CO2,0,Poultry,1,0
Eastern Europe,Exports_Meat,SheepGoat,SheepGoat,share-weight,2005,9999,fixed,CO2,0,SheepGoat,1,0
Former Soviet Union,Exports_Meat,Beef,Beef,share-weight,2005,9999,fixed,CO2,0,Beef,1,0
Former Soviet Union,Exports_Meat,Dairy,Dairy,share-weight,2005,9999,fixed,CO2,0,Dairy,1,0
Former Soviet Union,Exports_Meat,Pork,Pork,share-weight,2005,9999,fixed,CO2,0,Pork,1,0
Former Soviet Union,Exports_Meat,Poultry,Poultry,share-weight,2005,9999,fixed,CO2,0,Poultry,1,0
Former Soviet Union,Exports_Meat,SheepGoat,SheepGoat,share-weight,2005,9999,fixed,CO2,0,SheepGoat,1,0
India,Exports_Meat,Beef,Beef,share-weight,2005,9999,fixed,CO2,0,Beef,1,0
India,Exports_Meat,Dairy,Dairy,share-weight,2005,9999,fixed,CO2,0,Dairy,1,0
India,Exports_Meat,Pork,Pork,share-weight,2005,9999,fixed,CO2,0,Pork,1,0
India,Exports_Meat,Poultry,Poultry,share-weight,2005,9999,fixed,CO2,0,Poultry,1,0
India,Exports_Meat,SheepGoat,SheepGoat,share-weight,2005,9999,fixed,CO2,0,SheepGoat,1,0
Japan,Exports_Meat,Beef,Beef,share-weight,2005,9999,fixed,CO2,0,Beef,1,0
Japan,Exports_Meat,Dairy,Dairy,share-weight,2005,9999,fixed,CO2,0,Dairy,1,0
