INPUT_TABLE
Variable ID
CalorieContent

region,supplysector,subsector,technology,year,minicam.energy.input,efficiency
China,FoodDemand_Crops,OtherGrain,OtherGrain,1990,OtherGrain,3.398405
China,FoodDemand_Crops,PalmFruit,PalmFruit,1990,PalmFruit,7.7044466
China,FoodDemand_Crops,Rice,Rice,1990,Rice,2.8032118
China,FoodDemand_Crops,Root_Tuber,Root_Tuber,1990,Root_Tuber,0.8730497
China,FoodDemand_Crops,SugarCrop,SugarCrop,1990,SugarCrop,3.4733658
China,FoodDemand_Crops,Wheat,Wheat,1990,Wheat,3.34
Eastern Europe,FoodDemand_Crops,Corn,Corn,1990,Corn,3.5931398
Eastern Europe,FoodDemand_Crops,FiberCrop,FiberCrop,1990,FiberCrop,8.84
Eastern Europe,FoodDemand_Crops,MiscCrop,MiscCrop,1990,MiscCrop,0.3948153
Eastern Europe,FoodDemand_Crops,OilCrop,OilCrop,1990,OilCrop,8.4963123
Eastern Europe,FoodDemand_Crops,OtherGrain,OtherGrain,1990,OtherGrain,3.2309033
Eastern Europe,FoodDemand_Crops,PalmFruit,PalmFruit,1990,PalmFruit,5.4601366
Eastern Europe,FoodDemand_Crops,Rice,Rice,1990,Rice,2.8
Eastern Europe,FoodDemand_Crops,Root_Tuber,Root_Tuber,1990,Root_Tuber,0.6700108
Eastern Europe,FoodDemand_Crops,SugarCrop,SugarCrop,1990,SugarCrop,3.73
Eastern Europe,FoodDemand_Crops,Wheat,Wheat,1990,Wheat,3.34
Former Soviet Union,FoodDemand_Crops,Corn,Corn,1990,Corn,3.7839965
Former Soviet Union,FoodDemand_Crops,FiberCrop,FiberCrop,1990,FiberCrop,8.84
Former Soviet Union,FoodDemand_Crops,MiscCrop,MiscCrop,1990,MiscCrop,0.3681364
Former Soviet Union,FoodDemand_Crops,OilCrop,OilCrop,1990,OilCrop,7.8653289
Former Soviet Union,FoodDemand_Crops,OtherGrain,OtherGrain,1990,OtherGrain,3.3593674
Former Soviet Union,FoodDemand_Crops,PalmFruit,PalmFruit,1990,PalmFruit,1.84
Former Soviet Union,FoodDemand_Crops,Rice,Rice,1990,Rice,2.8
Former Soviet Union,FoodDemand_Crops,Root_Tuber,Root_Tuber,1990,Root_Tuber,0.67
Former Soviet Union,FoodDemand_Crops,SugarCrop,SugarCrop,1990,SugarCrop,3.73
Former Soviet Union,FoodDemand_Crops,Wheat,Wheat,1990,Wheat,3.34
India,FoodDemand_Crops,Corn,Corn,1990,Corn,3.5632512
India,FoodDemand_Crops,FiberCrop,FiberCrop,1990,FiberCrop,8.84
India,FoodDemand_Crops,MiscCrop,MiscCrop,1990,MiscCrop,0.7936881
India,FoodDemand_Crops,OilCrop,OilCrop,1990,OilCrop,8.0941145
India,FoodDemand_Crops,OtherGrain,OtherGrain,1990,OtherGrain,3.4095761
India,FoodDemand_Crops,PalmFruit,PalmFruit,1990,PalmFruit,2.5148704
India,FoodDemand_Crops,Rice,Rice,1990,Rice,2.8143386
India,FoodDemand_Crops,Root_Tuber,Root_Tuber,1990,Root_Tuber,0.8080417
India,FoodDemand_Crops,SugarCrop,SugarCrop,1990,SugarCrop,2.2285576
India,FoodDemand_Crops,Wheat,Wheat,1990,Wheat,3.34
Japan,FoodDemand_Crops,Corn,Corn,1990,Corn,3.7760117
Japan,FoodDemand_Crops,FiberCrop,FiberCrop,1990,FiberCrop,8.84
Japan,FoodDemand_Crops,MiscCrop,MiscCrop,1990,MiscCrop,0.372696
Japan,FoodDemand_Crops,OilCrop,OilCrop,1990,OilCrop,6.3179142
Japan,FoodDemand_Crops,OtherGrain,OtherGrain,1990,OtherGrain,3.3947324
Japan,FoodDemand_Crops,PalmFruit,PalmFruit,1990,PalmFruit,7.5600469
Japan,FoodDemand_Crops,Rice,Rice,1990,Rice,2.8220035
Japan,FoodDemand_Crops,Root_Tuber,Root_Tuber,1990,Root_Tuber,0.7514885
Japan,FoodDemand_Crops,SugarCrop,SugarCrop,1990,SugarCrop,3.73
Japan,FoodDemand_Crops,Wheat,Wheat,1990,Wheat,3.34
Korea,FoodDemand_Crops,Corn,Corn,1990,Corn,3.6368414
Korea,FoodDemand_Crops,FiberCrop,FiberCrop,1990,FiberCrop,8.84
Korea,FoodDemand_Crops,MiscCrop,MiscCrop,1990,MiscCrop,0.3107448
Korea,FoodDemand_Crops,OilCrop,OilCrop,1990,OilCrop,5.2991974
Korea,FoodDemand_Crops,OtherGrain,OtherGrain,1990,OtherGrain,3.3241431
Korea,FoodDemand_Crops,PalmFruit,PalmFruit,1990,PalmFruit,8.8187908
Korea,FoodDemand_Crops,Rice,Rice,1990,Rice,2.8126836
Korea,FoodDemand_Crops,Root_Tuber,Root_Tuber,1990,Root_Tuber,0.7614701
Korea,FoodDemand_Crops,SugarCrop,SugarCrop,1990,SugarCrop,3.73
Korea,FoodDemand_Crops,Wheat,Wheat,1990,Wheat,3.34
Latin America,FoodDemand_Crops,Corn,Corn,1990,Corn,3.5907536
Latin America,FoodDemand_Crops,FiberCrop,FiberCrop,1990,FiberCrop,8.84
Latin America,FoodDemand_Crops,MiscCrop,MiscCrop,1990,MiscCrop,0.6277055
Latin America,FoodDemand_Crops,OilCrop,OilCrop,1990,OilCrop,8.0763838
Latin America,FoodDemand_Crops,OtherGrain,OtherGrain,1990,OtherGrain,3.5288969
Latin America,FoodDemand_Crops,PalmFruit,PalmFruit,1990,PalmFruit,4.7351498
Latin America,FoodDemand_Crops,Rice,Rice,1990,Rice,2.8034626
Latin America,FoodDemand_Crops,Root_Tuber,Root_Tuber,1990,Root_Tuber,0.9015404
Latin America,FoodDemand_Crops,SugarCrop,SugarCrop,1990,SugarCrop,3.5783718
Latin America,FoodDemand_Crops,Wheat,Wheat,1990,Wheat,3.34
Middle East,FoodDemand_Crops,Corn,Corn,1990,Corn,4.4140492
Middle East,FoodDemand_Crops,FiberCrop,FiberCrop,1990,FiberCrop,8.84
Middle East,FoodDemand_Crops,MiscCrop,MiscCrop,1990,MiscCrop,0.4647999
Middle East,FoodDemand_Crops,OilCrop,OilCrop,1990,OilCrop,7.5581306
Middle East,FoodDemand_Crops,OtherGrain,OtherGrain,1990,OtherGrain,3.4164711
Middle East,FoodDemand_Crops,PalmFruit,PalmFruit,1990,PalmFruit,7.4540263
Middle East,FoodDemand_Crops,Rice,Rice,1990,Rice,2.8
Middle East,FoodDemand_Crops,Root_Tuber,Root_Tuber,1990,Root_Tuber,0.6707826
Middle East,FoodDemand_Crops,SugarCrop,SugarCrop,1990,SugarCrop,3.7263987
Middle East,FoodDemand_Crops,Wheat,Wheat,1990,Wheat,3.34
Southeast Asia,FoodDemand_Crops,Corn,Corn,1990,Corn,3.5709276
Southeast Asia,FoodDemand_Crops,FiberCrop,FiberCrop,1990,FiberCrop,8.84
Southeast Asia,FoodDemand_Crops,MiscCrop,MiscCrop,1990,MiscCrop,0.606849
Southeast Asia,FoodDemand_Crops,OilCrop,OilCrop,1990,OilCrop,6.2144949
Southeast Asia,FoodDemand_Crops,OtherGrain,OtherGrain,1990,OtherGrain,3.3917935
Southeast Asia,FoodDemand_Crops,PalmFruit,PalmFruit,1990,PalmFruit,3.6594025
Southeast Asia,FoodDemand_Crops,Rice,Rice,1990,Rice,2.8011518
Southeast Asia,FoodDemand_Crops,Root_Tuber,Root_Tuber,1990,Root_Tuber,0.9852853
Southeast Asia,FoodDemand_Crops,SugarCrop,SugarCrop,1990,SugarCrop,2.5286596
Southeast Asia,FoodDemand_Crops,Wheat,Wheat,1990,Wheat,3.34
USA,FoodDemand_Crops,Corn,Corn,1990,Corn,4.2221256
USA,FoodDemand_Crops,FiberCrop,FiberCrop,1990,FiberCrop,8.84
USA,FoodDemand_Crops,MiscCrop,MiscCrop,1990,MiscCrop,0.4199387
USA,FoodDemand_Crops,OilCrop,OilCrop,1990,OilCrop,7.7489617
USA,FoodDemand_Crops,OtherGrain,OtherGrain,1990,OtherGrain,3.7295118
USA,FoodDemand_Crops,PalmFruit,PalmFruit,1990,PalmFruit,5.29723
USA,FoodDemand_Crops,Rice,Rice,1990,Rice,2.8
USA,FoodDemand_Crops,Root_Tuber,Root_Tuber,1990,Root_Tuber,0.6808234
USA,FoodDemand_Crops,SugarCrop,SugarCrop,1990,SugarCrop,3.73
USA,FoodDemand_Crops,Wheat,Wheat,1990,Wheat,3.34
Western Europe,FoodDemand_Crops,Corn,Corn,1990,Corn,3.9619923
Western Europe,FoodDemand_Crops,FiberCrop,FiberCrop,1990,FiberCrop,8.84
Western Europe,FoodDemand_Crops,MiscCrop,MiscCrop,1990,MiscCrop,0.4435309
Western Europe,FoodDemand_Crops,OilCrop,OilCrop,1990,OilCrop,7.8893495
Western Europe,FoodDemand_Crops,OtherGrain,OtherGrain,1990,OtherGrain,3.3380011
Western Europe,FoodDemand_Crops,PalmFruit,PalmFruit,1990,PalmFruit,7.0188885
Western Europe,FoodDemand_Crops,Rice,Rice,1990,Rice,2.8
Western Europe,FoodDemand_Crops,Root_Tuber,Root_Tuber,1990,Root_Tuber,0.6706511
Western Europe,FoodDemand_Crops,SugarCrop,SugarCrop,1990,SugarCrop,3.7299692
Western Europe,FoodDemand_Crops,Wheat,Wheat,1990,Wheat,3.34
Africa,FoodDemand_Crops,Corn,Corn,2005,Corn,3.5947774
Africa,FoodDemand_Crops,FiberCrop,FiberCrop,2005,FiberCrop,8.84
Africa,FoodDemand_Crops,MiscCrop,MiscCrop,2005,MiscCrop,0.6669426
Africa,FoodDemand_Crops,OilCrop,OilCrop,2005,OilCrop,6.1926413
Africa,FoodDemand_Crops,OtherGrain,OtherGrain,2005,OtherGrain,3.4086069
Africa,FoodDemand_Crops,PalmFruit,PalmFruit,2005,PalmFruit,7.4878537
Africa,FoodDemand_Crops,Rice,Rice,2005,Rice,2.8
Africa,FoodDemand_Crops,Root_Tuber,Root_Tuber,2005,Root_Tuber,1.001946
Africa,FoodDemand_Crops,SugarCrop,SugarCrop,2005,SugarCrop,2.7094404
Africa,FoodDemand_Crops,Wheat,Wheat,2005,Wheat,3.34
Australia_NZ,FoodDemand_Crops,Corn,Corn,2005,Corn,3.7714753
Australia_NZ,FoodDemand_Crops,FiberCrop,FiberCrop,2005,FiberCrop,8.84
Australia_NZ,FoodDemand_Crops,MiscCrop,MiscCrop,2005,MiscCrop,0.4426644
Australia_NZ,FoodDemand_Crops,OilCrop,OilCrop,2005,OilCrop,7.3967413
Australia_NZ,FoodDemand_Crops,OtherGrain,OtherGrain,2005,OtherGrain,3.6995877
Australia_NZ,FoodDemand_Crops,PalmFruit,PalmFruit,2005,PalmFruit,6.7857244
Australia_NZ,FoodDemand_Crops,Rice,Rice,2005,Rice,2.8
Australia_NZ,FoodDemand_Crops,Root_Tuber,Root_Tuber,2005,Root_Tuber,0.6767635
Australia_NZ,FoodDemand_Crops,SugarCrop,SugarCrop,2005,SugarCrop,3.73
Australia_NZ,FoodDemand_Crops,Wheat,Wheat,2005,Wheat,3.34
Canada,FoodDemand_Crops,Corn,Corn,2005,Corn,3.9062264
Canada,FoodDemand_Crops,FiberCrop,FiberCrop,2005,FiberCrop,8.84
Canada,FoodDemand_Crops,MiscCrop,MiscCrop,2005,MiscCrop,0.4596731
Canada,FoodDemand_Crops,OilCrop,OilCrop,2005,OilCrop,7.8810859
Canada,FoodDemand_Crops,OtherGrain,OtherGrain,2005,OtherGrain,3.4455376
Canada,FoodDemand_Crops,PalmFruit,PalmFruit,2005,PalmFruit,3.3169158
Canada,FoodDemand_Crops,Rice,Rice,2005,Rice,2.8
Canada,FoodDemand_Crops,Root_Tuber,Root_Tuber,2005,Root_Tuber,0.674585
Canada,FoodDemand_Crops,SugarCrop,SugarCrop,2005,SugarCrop,3.73
Canada,FoodDemand_Crops,Wheat,Wheat,2005,Wheat,3.34
China,FoodDemand_Crops,Corn,Corn,2005,Corn,3.6094328
China,FoodDemand_Crops,FiberCrop,FiberCrop,2005,FiberCrop,8.84
China,FoodDemand_Crops,MiscCrop,MiscCrop,2005,MiscCrop,0.289244
China,FoodDemand_Crops,OilCrop,OilCrop,2005,OilCrop,5.9511205
China,FoodDemand_Crops,OtherGrain,OtherGrain,2005,OtherGrain,3.4003684
China,FoodDemand_Crops,PalmFruit,PalmFruit,2005,PalmFruit,7.6361351
China,FoodDemand_Crops,Rice,Rice,2005,Rice,2.8031548
China,FoodDemand_Crops,Root_Tuber,Root_Tuber,2005,Root_Tuber,0.80276
China,FoodDemand_Crops,SugarCrop,SugarCrop,2005,SugarCrop,3.3790055
China,FoodDemand_Crops,Wheat,Wheat,2005,Wheat,3.34
Eastern Europe,FoodDemand_Crops,Corn,Corn,2005,Corn,3.6588148
Eastern Europe,FoodDemand_Crops,FiberCrop,FiberCrop,2005,FiberCrop,1
Eastern Europe,FoodDemand_Crops,MiscCrop,MiscCrop,2005,MiscCrop,0.412576
Eastern Europe,FoodDemand_Crops,OilCrop,OilCrop,2005,OilCrop,8.0240564
Eastern Europe,FoodDemand_Crops,OtherGrain,OtherGrain,2005,OtherGrain,3.2415116
Eastern Europe,FoodDemand_Crops,PalmFruit,PalmFruit,2005,PalmFruit,7.1053247
Eastern Europe,FoodDemand_Crops,Rice,Rice,2005,Rice,2.8
Eastern Europe,FoodDemand_Crops,Root_Tuber,Root_Tuber,2005,Root_Tuber,0.6701335
Eastern Europe,FoodDemand_Crops,SugarCrop,SugarCrop,2005,SugarCrop,3.73
Eastern Europe,FoodDemand_Crops,Wheat,Wheat,2005,Wheat,3.34
Former Soviet Union,FoodDemand_Crops,Corn,Corn,2005,Corn,3.7716655
Former Soviet Union,FoodDemand_Crops,FiberCrop,FiberCrop,2005,FiberCrop,8.84
Former Soviet Union,FoodDemand_Crops,MiscCrop,MiscCrop,2005,MiscCrop,0.3538021
Former Soviet Union,FoodDemand_Crops,OilCrop,OilCrop,2005,OilCrop,8.2626152
Former Soviet Union,FoodDemand_Crops,OtherGrain,OtherGrain,2005,OtherGrain,3.3288928
Former Soviet Union,FoodDemand_Crops,PalmFruit,PalmFruit,2005,PalmFruit,2.5247819
Former Soviet Union,FoodDemand_Crops,Rice,Rice,2005,Rice,2.8
Former Soviet Union,FoodDemand_Crops,Root_Tuber,Root_Tuber,2005,Root_Tuber,0.6700033
Former Soviet Union,FoodDemand_Crops,SugarCrop,SugarCrop,2005,SugarCrop,3.73
Former Soviet Union,FoodDemand_Crops,Wheat,Wheat,2005,Wheat,3.34
India,FoodDemand_Crops,Corn,Corn,2005,Corn,3.5754514
India,FoodDemand_Crops,FiberCrop,FiberCrop,2005,FiberCrop,8.84
India,FoodDemand_Crops,MiscCrop,MiscCrop,2005,MiscCrop,0.7013887
India,FoodDemand_Crops,OilCrop,OilCrop,2005,OilCrop,7.6725609
India,FoodDemand_Crops,OtherGrain,OtherGrain,2005,OtherGrain,3.4064704
India,FoodDemand_Crops,PalmFruit,PalmFruit,2005,PalmFruit,3.7209949
India,FoodDemand_Crops,Rice,Rice,2005,Rice,2.8288816
India,FoodDemand_Crops,Root_Tuber,Root_Tuber,2005,Root_Tuber,0.7796003
India,FoodDemand_Crops,SugarCrop,SugarCrop,2005,SugarCrop,2.6022347
India,FoodDemand_Crops,Wheat,Wheat,2005,Wheat,3.34
Japan,FoodDemand_Crops,Corn,Corn,2005,Corn,3.8416401
Japan,FoodDemand_Crops,FiberCrop,FiberCrop,2005,FiberCrop,8.84
Japan,FoodDemand_Crops,MiscCrop,MiscCrop,2005,MiscCrop,0.4048315
Japan,FoodDemand_Crops,OilCrop,OilCrop,2005,OilCrop,6.5527526
Japan,FoodDemand_Crops,OtherGrain,OtherGrain,2005,OtherGrain,3.4571566
Japan,FoodDemand_Crops,PalmFruit,PalmFruit,2005,PalmFruit,8.4398106
Japan,FoodDemand_Crops,Rice,Rice,2005,Rice,2.8316901
Japan,FoodDemand_Crops,Root_Tuber,Root_Tuber,2005,Root_Tuber,0.7533578
Japan,FoodDemand_Crops,SugarCrop,SugarCrop,2005,SugarCrop,3.73
Japan,FoodDemand_Crops,Wheat,Wheat,2005,Wheat,3.34
Korea,FoodDemand_Crops,Corn,Corn,2005,Corn,3.6527901
Korea,FoodDemand_Crops,FiberCrop,FiberCrop,2005,FiberCrop,8.84
Korea,FoodDemand_Crops,MiscCrop,MiscCrop,2005,MiscCrop,0.32359
Korea,FoodDemand_Crops,OilCrop,OilCrop,2005,OilCrop,6.0248907
Korea,FoodDemand_Crops,OtherGrain,OtherGrain,2005,OtherGrain,3.3273275
Korea,FoodDemand_Crops,PalmFruit,PalmFruit,2005,PalmFruit,8.752146
Korea,FoodDemand_Crops,Rice,Rice,2005,Rice,2.813244
Korea,FoodDemand_Crops,Root_Tuber,Root_Tuber,2005,Root_Tuber,0.7427588
Korea,FoodDemand_Crops,SugarCrop,SugarCrop,2005,SugarCrop,3.73
Korea,FoodDemand_Crops,Wheat,Wheat,2005,Wheat,3.34
Latin America,FoodDemand_Crops,Corn,Corn,2005,Corn,3.6032838
Latin America,FoodDemand_Crops,FiberCrop,FiberCrop,2005,FiberCrop,8.84
Latin America,FoodDemand_Crops,MiscCrop,MiscCrop,2005,MiscCrop,0.6039322
Latin America,FoodDemand_Crops,OilCrop,OilCrop,2005,OilCrop,7.7535551
Latin America,FoodDemand_Crops,OtherGrain,OtherGrain,2005,OtherGrain,3.533312
Latin America,FoodDemand_Crops,PalmFruit,PalmFruit,2005,PalmFruit,3.7656577
Latin America,FoodDemand_Crops,Rice,Rice,2005,Rice,2.8041254
Latin America,FoodDemand_Crops,Root_Tuber,Root_Tuber,2005,Root_Tuber,0.8846991
Latin America,FoodDemand_Crops,SugarCrop,SugarCrop,2005,SugarCrop,3.3723156
Latin America,FoodDemand_Crops,Wheat,Wheat,2005,Wheat,3.34
Middle East,FoodDemand_Crops,Corn,Corn,2005,Corn,4.038984
Middle East,FoodDemand_Crops,FiberCrop,FiberCrop,2005,FiberCrop,8.84
Middle East,FoodDemand_Crops,MiscCrop,MiscCrop,2005,MiscCrop,0.4866515
Middle East,FoodDemand_Crops,OilCrop,OilCrop,2005,OilCrop,7.2700423
Middle East,FoodDemand_Crops,OtherGrain,OtherGrain,2005,OtherGrain,3.4258789
Middle East,FoodDemand_Crops,PalmFruit,PalmFruit,2005,PalmFruit,7.5972162
Middle East,FoodDemand_Crops,Rice,Rice,2005,Rice,2.8
Middle East,FoodDemand_Crops,Root_Tuber,Root_Tuber,2005,Root_Tuber,0.6715242
Middle East,FoodDemand_Crops,SugarCrop,SugarCrop,2005,SugarCrop,3.7286391
Middle East,FoodDemand_Crops,Wheat,Wheat,2005,Wheat,3.34
Southeast Asia,FoodDemand_Crops,Corn,Corn,2005,Corn,3.5680644
Southeast Asia,FoodDemand_Crops,FiberCrop,FiberCrop,2005,FiberCrop,8.84
Southeast Asia,FoodDemand_Crops,MiscCrop,MiscCrop,2005,MiscCrop,0.5857672
Southeast Asia,FoodDemand_Crops,OilCrop,OilCrop,2005,OilCrop,6.227973
Southeast Asia,FoodDemand_Crops,OtherGrain,OtherGrain,2005,OtherGrain,3.4084068
Southeast Asia,FoodDemand_Crops,PalmFruit,PalmFruit,2005,PalmFruit,3.9286827
Southeast Asia,FoodDemand_Crops,Rice,Rice,2005,Rice,2.8016238
Southeast Asia,FoodDemand_Crops,Root_Tuber,Root_Tuber,2005,Root_Tuber,0.9156149
Southeast Asia,FoodDemand_Crops,SugarCrop,SugarCrop,2005,SugarCrop,2.4672084
Southeast Asia,FoodDemand_Crops,Wheat,Wheat,2005,Wheat,3.34
USA,FoodDemand_Crops,Corn,Corn,2005,Corn,4.3194244
USA,FoodDemand_Crops,FiberCrop,FiberCrop,2005,FiberCrop,8.84
USA,FoodDemand_Crops,MiscCrop,MiscCrop,2005,MiscCrop,0.447928
USA,FoodDemand_Crops,OilCrop,OilCrop,2005,OilCrop,7.8503526
USA,FoodDemand_Crops,OtherGrain,OtherGrain,2005,OtherGrain,3.6801908
USA,FoodDemand_Crops,PalmFruit,PalmFruit,2005,PalmFruit,3.9504616
USA,FoodDemand_Crops,Rice,Rice,2005,Rice,2.8
USA,FoodDemand_Crops,Root_Tuber,Root_Tuber,2005,Root_Tuber,0.6805552
USA,FoodDemand_Crops,SugarCrop,SugarCrop,2005,SugarCrop,3.73
USA,FoodDemand_Crops,Wheat,Wheat,2005,Wheat,3.34
Western Europe,FoodDemand_Crops,Corn,Corn,2005,Corn,3.9818753
Western Europe,FoodDemand_Crops,FiberCrop,FiberCrop,2005,FiberCrop,8.84
Western Europe,FoodDemand_Crops,MiscCrop,MiscCrop,2005,MiscCrop,0.442726
Western Europe,FoodDemand_Crops,OilCrop,OilCrop,2005,OilCrop,7.7349985
Western Europe,FoodDemand_Crops,OtherGrain,OtherGrain,2005,OtherGrain,3.3924592
Western Europe,FoodDemand_Crops,PalmFruit,PalmFruit,2005,PalmFruit,7.2928036
Western Europe,FoodDemand_Crops,Rice,Rice,2005,Rice,2.8
Western Europe,FoodDemand_Crops,Root_Tuber,Root_Tuber,2005,Root_Tuber,0.6704223
Western Europe,FoodDemand_Crops,SugarCrop,SugarCrop,2005,SugarCrop,3.7299862
Western Europe,FoodDemand_Crops,Wheat,Wheat,2005,Wheat,3.34
Africa,FoodDemand_Crops,Corn,Corn,2020,Corn,3.5947774
Africa,FoodDemand_Crops,FiberCrop,FiberCrop,2020,FiberCrop,8.84
Africa,FoodDemand_Crops,MiscCrop,MiscCrop,2020,MiscCrop,0.6669426
Africa,FoodDemand_Crops,OilCrop,OilCrop,2020,OilCrop,6.1926413
Africa,FoodDemand_Crops,OtherGrain,OtherGrain,2020,OtherGrain,3.4086069
Africa,FoodDemand_Crops,PalmFruit,PalmFruit,2020,PalmFruit,7.4878537
Africa,FoodDemand_Crops,Rice,Rice,2020,Rice,2.8
Africa,FoodDemand_Crops,Root_Tuber,Root_Tuber,2020,Root_Tuber,1.001946
Africa,FoodDemand_Crops,SugarCrop,SugarCrop,2020,SugarCrop,2.7094404
Africa,FoodDemand_Crops,Wheat,Wheat,2020,Wheat,3.34
Australia_NZ,FoodDemand_Crops,Corn,Corn,2020,Corn,3.7714753
Australia_NZ,FoodDemand_Crops,FiberCrop,FiberCrop,2020,FiberCrop,8.84
Australia_NZ,FoodDemand_Crops,MiscCrop,MiscCrop,2020,MiscCrop,0.4426644
Australia_NZ,FoodDemand_Crops,OilCrop,OilCrop,2020,OilCrop,7.3967413
Australia_NZ,FoodDemand_Crops,OtherGrain,OtherGrain,2020,OtherGrain,3.6995877
Australia_NZ,FoodDemand_Crops,PalmFruit,PalmFruit,2020,PalmFruit,6.7857244
Australia_NZ,FoodDemand_Crops,Rice,Rice,2020,Rice,2.8
Australia_NZ,FoodDemand_Crops,Root_Tuber,Root_Tuber,2020,Root_Tuber,0.6767635
Australia_NZ,FoodDemand_Crops,SugarCrop,SugarCrop,2020,SugarCrop,3.73
Australia_NZ,FoodDemand_Crops,Wheat,Wheat,2020,Wheat,3.34
Canada,FoodDemand_Crops,Corn,Corn,2020,Corn,3.9062264
Canada,FoodDemand_Crops,FiberCrop,FiberCrop,2020,FiberCrop,8.84
Canada,FoodDemand_Crops,MiscCrop,MiscCrop,2020,MiscCrop,0.4596731
Canada,FoodDemand_Crops,OilCrop,OilCrop,2020,OilCrop,7.8810859
Canada,FoodDemand_Crops,OtherGrain,OtherGrain,2020,OtherGrain,3.4455376
Canada,FoodDemand_Crops,PalmFruit,PalmFruit,2020,PalmFruit,3.3169158
Canada,FoodDemand_Crops,Rice,Rice,2020,Rice,2.8
Canada,FoodDemand_Crops,Root_Tuber,Root_Tuber,2020,Root_Tuber,0.674585
Canada,FoodDemand_Crops,SugarCrop,SugarCrop,2020,SugarCrop,3.73
Canada,FoodDemand_Crops,Wheat,Wheat,2020,Wheat,3.34
China,FoodDemand_Crops,Corn,Corn,2020,Corn,3.6094328
China,FoodDemand_Crops,FiberCrop,FiberCrop,2020,FiberCrop,8.84
China,FoodDemand_Crops,MiscCrop,MiscCrop,2020,MiscCrop,0.289244
China,FoodDemand_Crops,OilCrop,OilCrop,2020,OilCrop,5.9511205
China,FoodDemand_Crops,OtherGrain,OtherGrain,2020,OtherGrain,3.4003684
China,FoodDemand_Crops,PalmFruit,PalmFruit,2020,PalmFruit,7.6361351
China,FoodDemand_Crops,Rice,Rice,2020,Rice,2.8031548
China,FoodDemand_Crops,Root_Tuber,Root_Tuber,2020,Root_Tuber,0.80276
China,FoodDemand_Crops,SugarCrop,SugarCrop,2020,SugarCrop,3.3790055
China,FoodDemand_Crops,Wheat,Wheat,2020,Wheat,3.34
Eastern Europe,FoodDemand_Crops,Corn,Corn,2020,Corn,3.6588148
Eastern Europe,FoodDemand_Crops,FiberCrop,FiberCrop,2020,FiberCrop,1
Eastern Europe,FoodDemand_Crops,MiscCrop,MiscCrop,2020,MiscCrop,0.412576
