INPUT_TABLE
Variable ID
CalorieContent

region,supplysector,subsector,technology,year,minicam.energy.input,efficiency
Africa,FoodDemand_Crops,Corn,Corn,1990,Corn,3.5883385
Africa,FoodDemand_Crops,FiberCrop,FiberCrop,1990,FiberCrop,8.84
Africa,FoodDemand_Crops,MiscCrop,MiscCrop,1990,MiscCrop,0.6613697
Africa,FoodDemand_Crops,OilCrop,OilCrop,1990,OilCrop,6.3822168
Africa,FoodDemand_Crops,OtherGrain,OtherGrain,1990,OtherGrain,3.4050095
Africa,FoodDemand_Crops,PalmFruit,PalmFruit,1990,PalmFruit,7.3436824
Africa,FoodDemand_Crops,Rice,Rice,1990,Rice,2.8
Africa,FoodDemand_Crops,Root_Tuber,Root_Tuber,1990,Root_Tuber,1.0236431
Africa,FoodDemand_Crops,SugarCrop,SugarCrop,1990,SugarCrop,2.8255195
Africa,FoodDemand_Crops,Wheat,Wheat,1990,Wheat,3.34
Australia_NZ,FoodDemand_Crops,Corn,Corn,1990,Corn,3.7059739
Australia_NZ,FoodDemand_Crops,FiberCrop,FiberCrop,1990,FiberCrop,8.84
Australia_NZ,FoodDemand_Crops,MiscCrop,MiscCrop,1990,MiscCrop,0.4579218
Australia_NZ,FoodDemand_Crops,OilCrop,OilCrop,1990,OilCrop,7.5765673
Australia_NZ,FoodDemand_Crops,OtherGrain,OtherGrain,1990,OtherGrain,3.6189411
Australia_NZ,FoodDemand_Crops,PalmFruit,PalmFruit,1990,PalmFruit,6.0415604
Australia_NZ,FoodDemand_Crops,Rice,Rice,1990,Rice,2.8
Australia_NZ,FoodDemand_Crops,Root_Tuber,Root_Tuber,1990,Root_Tuber,0.674344
Australia_NZ,FoodDemand_Crops,SugarCrop,SugarCrop,1990,SugarCrop,3.73
Australia_NZ,FoodDemand_Crops,Wheat,Wheat,1990,Wheat,3.34
Canada,FoodDemand_Crops,Corn,Corn,1990,Corn,4.7054738
Canada,FoodDemand_Crops,FiberCrop,FiberCrop,1990,FiberCrop,8.84
Canada,FoodDemand_Crops,MiscCrop,MiscCrop,1990,MiscCrop,0.4405728
Canada,FoodDemand_Crops,OilCrop,OilCrop,1990,OilCrop,7.793155
Canada,FoodDemand_Crops,OtherGrain,OtherGrain,1990,OtherGrain,3.7089953
Canada,FoodDemand_Crops,PalmFruit,PalmFruit,1990,PalmFruit,3.9514145
Canada,FoodDemand_Crops,Rice,Rice,1990,Rice,2.8
Canada,FoodDemand_Crops,Root_Tuber,Root_Tuber,1990,Root_Tuber,0.6719612
Canada,FoodDemand_Crops,SugarCrop,SugarCrop,1990,SugarCrop,3.73
Canada,FoodDemand_Crops,Wheat,Wheat,1990,Wheat,3.34
China,FoodDemand_Crops,Corn,Corn,1990,Corn,3.6158881
China,FoodDemand_Crops,FiberCrop,FiberCrop,1990,FiberCrop,8.84
China,FoodDemand_Crops,MiscCrop,MiscCrop,1990,MiscCrop,0.3312594
China,FoodDemand_Crops,OilCrop,OilCrop,1990,OilCrop,5.7433349
