INPUT_TABLE
Variable ID
UnmgdSector

region,AgSupplySector,input.unit,market
USA,UnmanagedLand,thous km2,USA
Canada,UnmanagedLand,thous km2,Canada
Western Europe,UnmanagedLand,thous km2,Western Europe
Japan,UnmanagedLand,thous km2,Japan
Australia_NZ,UnmanagedLand,thous km2,Australia_NZ
Former Soviet Union,UnmanagedLand,thous km2,Former Soviet Union
China,UnmanagedLand,thous km2,China
Middle East,UnmanagedLand,thous km2,Middle East
Africa,UnmanagedLand,thous km2,Africa
Latin America,UnmanagedLand,thous km2,Latin America
Southeast Asia,UnmanagedLand,thous km2,Southeast Asia
Eastern Europe,UnmanagedLand,thous km2,Eastern Europe
Korea,UnmanagedLand,thous km2,Korea
India,UnmanagedLand,thous km2,India
