INPUT_TABLE
Variable ID
LN1_UnmgdAllocation

region,LandAllocatorRoot,LandNode1,UnmanagedLandLeaf1,year,allocation
USA,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,1975,0
Canada,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,1975,0
Western Europe,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,1975,0
Japan,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,1975,0
Australia_NZ,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,1975,46.581273
Former Soviet Union,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,1975,0
China,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,1975,0
Middle East,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,1975,0.791334
Africa,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,1975,213.808401
Latin America,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,1975,9.42516
Southeast Asia,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,1975,0
Eastern Europe,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,1975,0
Korea,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,1975,0
India,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,1975,0
USA,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1975,0
Canada,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1975,0
Western Europe,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1975,0
Japan,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1975,0
Australia_NZ,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1975,173.867886
Former Soviet Union,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1975,0
China,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1975,0
Middle East,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1975,163.882602
Africa,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1975,477.101196
Latin America,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1975,54.718191
Southeast Asia,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1975,45.203733
Eastern Europe,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1975,0
Korea,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1975,0
India,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,1975,25.264449
USA,root,ProtectedUnmanagedForestAEZ01,ProtectedUnmanagedForestAEZ01,1975,0
Canada,root,ProtectedUnmanagedForestAEZ01,ProtectedUnmanagedForestAEZ01,1975,0
Western Europe,root,ProtectedUnmanagedForestAEZ01,ProtectedUnmanagedForestAEZ01,1975,0
Japan,root,ProtectedUnmanagedForestAEZ01,ProtectedUnmanagedForestAEZ01,1975,0
Australia_NZ,root,ProtectedUnmanagedForestAEZ01,ProtectedUnmanagedForestAEZ01,1975,0.031284
