INPUT_TABLE
Variable ID
Tech

region,supplysector,subsector,technology,apply.to,from.year,to.year,interpolation.function,CO2,share.weight,input.cost
Africa,N fertilizer,coal,coal,share-weight,2005,9999,fixed,CO2,1,0.1406
Africa,N fertilizer,coal,coal CCS,share-weight,2005,2035,linear,CO2,1,0.1632
Africa,N fertilizer,gas,gas,share-weight,2005,9999,fixed,CO2,1,0.0901
Africa,N fertilizer,gas,gas CCS,share-weight,2005,2035,linear,CO2,1,0.1043
Africa,N fertilizer,refined liquids,refined liquids,share-weight,2005,9999,fixed,CO2,1,0.0202
Africa,Exports_fertilizer,N fertilizer,N fertilizer,share-weight,2005,9999,fixed,CO2,1,0
Australia_NZ,N fertilizer,coal,coal,share-weight,2005,9999,fixed,CO2,1,0.1406
Australia_NZ,N fertilizer,coal,coal CCS,share-weight,2005,2035,linear,CO2,1,0.1632
Australia_NZ,N fertilizer,gas,gas,share-weight,2005,9999,fixed,CO2,1,0.0901
Australia_NZ,N fertilizer,gas,gas CCS,share-weight,2005,2035,linear,CO2,1,0.1043
Australia_NZ,N fertilizer,refined liquids,refined liquids,share-weight,2005,9999,fixed,CO2,1,0.0202
Australia_NZ,Exports_fertilizer,N fertilizer,N fertilizer,share-weight,2005,9999,fixed,CO2,1,0
Canada,N fertilizer,coal,coal,share-weight,2005,9999,fixed,CO2,1,0.1406
Canada,N fertilizer,coal,coal CCS,share-weight,2005,2035,linear,CO2,1,0.1632
Canada,N fertilizer,gas,gas,share-weight,2005,9999,fixed,CO2,1,0.0901
Canada,N fertilizer,gas,gas CCS,share-weight,2005,2035,linear,CO2,1,0.1043
Canada,N fertilizer,refined liquids,refined liquids,share-weight,2005,9999,fixed,CO2,1,0.0202
Canada,Exports_fertilizer,N fertilizer,N fertilizer,share-weight,2005,9999,fixed,CO2,1,0
China,N fertilizer,coal,coal,share-weight,2005,9999,fixed,CO2,1,0.1406
China,N fertilizer,coal,coal CCS,share-weight,2005,2035,linear,CO2,1,0.1632
China,N fertilizer,gas,gas,share-weight,2005,9999,fixed,CO2,1,0.0901
China,N fertilizer,gas,gas CCS,share-weight,2005,2035,linear,CO2,1,0.1043
China,N fertilizer,refined liquids,refined liquids,share-weight,2005,9999,fixed,CO2,1,0.0202
China,Exports_fertilizer,N fertilizer,N fertilizer,share-weight,2005,9999,fixed,CO2,1,0
Eastern Europe,N fertilizer,coal,coal,share-weight,2005,9999,fixed,CO2,1,0.1406
Eastern Europe,N fertilizer,coal,coal CCS,share-weight,2005,2035,linear,CO2,1,0.1632
Eastern Europe,N fertilizer,gas,gas,share-weight,2005,9999,fixed,CO2,1,0.0901
Eastern Europe,N fertilizer,gas,gas CCS,share-weight,2005,2035,linear,CO2,1,0.1043
Eastern Europe,N fertilizer,refined liquids,refined liquids,share-weight,2005,9999,fixed,CO2,1,0.0202
Eastern Europe,Exports_fertilizer,N fertilizer,N fertilizer,share-weight,2005,9999,fixed,CO2,1,0
Former Soviet Union,N fertilizer,coal,coal,share-weight,2005,9999,fixed,CO2,1,0.1406
Former Soviet Union,N fertilizer,coal,coal CCS,share-weight,2005,2035,linear,CO2,1,0.1632
Former Soviet Union,N fertilizer,gas,gas,share-weight,2005,9999,fixed,CO2,1,0.0901
Former Soviet Union,N fertilizer,gas,gas CCS,share-weight,2005,2035,linear,CO2,1,0.1043
