INPUT_TABLE
Variable ID
LN0_Land

region,LandAllocatorRoot,landAllocation
USA,root,8942.4
Canada,root,8611.39
Western Europe,root,4094.58
Japan,root,324.05
Australia_NZ,root,7834.65
Former Soviet Union,root,21083.13
China,root,11466.13
Middle East,root,5134.13
Africa,root,29520.22
Latin America,root,19934.87
Southeast Asia,root,5765.99
Eastern Europe,root,1147.28
Korea,root,85.07
India,root,2990.87
