INPUT_TABLE
Variable ID
Tech

region,supplysector,subsector,technology,apply.to,from.year,to.year,interpolation.function,CO2,share.weight,input.cost
Africa,Beef,Mixed,FodderHerb_Residue,share-weight,2005,9999,fixed,CO2,1,0.4593
Africa,Beef,Mixed,Pasture_FodderGrass,share-weight,2005,9999,fixed,CO2,1,0.4593
Africa,Beef,Mixed,FeedCrops,share-weight,2005,9999,fixed,CO2,1,0.4593
Africa,Beef,Mixed,Scavenging_Other,share-weight,2005,9999,fixed,CO2,1,0.4593
Africa,Beef,Pastoral,FodderHerb_Residue,share-weight,2005,9999,fixed,CO2,1,0.4593
Africa,Beef,Pastoral,Pasture_FodderGrass,share-weight,2005,9999,fixed,CO2,1,0.4593
Africa,Beef,Pastoral,FeedCrops,share-weight,2005,9999,fixed,CO2,1,0.4593
Africa,Beef,Pastoral,Scavenging_Other,share-weight,2005,9999,fixed,CO2,1,0.4593
Africa,Dairy,Mixed,FodderHerb_Residue,share-weight,2005,9999,fixed,CO2,1,0.0773
Africa,Dairy,Mixed,Pasture_FodderGrass,share-weight,2005,9999,fixed,CO2,1,0.0773
Africa,Dairy,Mixed,FeedCrops,share-weight,2005,9999,fixed,CO2,1,0.0773
Africa,Dairy,Mixed,Scavenging_Other,share-weight,2005,9999,fixed,CO2,1,0.0773
Africa,Dairy,Pastoral,FodderHerb_Residue,share-weight,2005,9999,fixed,CO2,1,0.0773
Africa,Dairy,Pastoral,Pasture_FodderGrass,share-weight,2005,9999,fixed,CO2,1,0.0773
Africa,Dairy,Pastoral,FeedCrops,share-weight,2005,9999,fixed,CO2,1,0.0773
Africa,Dairy,Pastoral,Scavenging_Other,share-weight,2005,9999,fixed,CO2,1,0.0773
Africa,Pork,Mixed,FodderHerb_Residue,share-weight,2005,9999,fixed,CO2,1,0.2141
Africa,Pork,Mixed,Pasture_FodderGrass,share-weight,2005,9999,fixed,CO2,1,0.2141
Africa,Pork,Mixed,FeedCrops,share-weight,2005,9999,fixed,CO2,1,0.2141
Africa,Pork,Mixed,Scavenging_Other,share-weight,2005,9999,fixed,CO2,1,0.2141
Africa,Poultry,Mixed,FodderHerb_Residue,share-weight,2005,9999,fixed,CO2,1,0.2396
Africa,Poultry,Mixed,Pasture_FodderGrass,share-weight,2005,9999,fixed,CO2,1,0.2396
Africa,Poultry,Mixed,FeedCrops,share-weight,2005,9999,fixed,CO2,1,0.2396
Africa,Poultry,Mixed,Scavenging_Other,share-weight,2005,9999,fixed,CO2,1,0.2396
Africa,SheepGoat,Mixed,FodderHerb_Residue,share-weight,2005,9999,fixed,CO2,1,0.05
Africa,SheepGoat,Mixed,Pasture_FodderGrass,share-weight,2005,9999,fixed,CO2,1,0.05
Africa,SheepGoat,Mixed,FeedCrops,share-weight,2005,9999,fixed,CO2,1,0.05
Africa,SheepGoat,Mixed,Scavenging_Other,share-weight,2005,9999,fixed,CO2,1,0.05
Africa,SheepGoat,Pastoral,FodderHerb_Residue,share-weight,2005,9999,fixed,CO2,1,0.05
Africa,SheepGoat,Pastoral,Pasture_FodderGrass,share-weight,2005,9999,fixed,CO2,1,0.05
Africa,SheepGoat,Pastoral,FeedCrops,share-weight,2005,9999,fixed,CO2,1,0.05
Africa,SheepGoat,Pastoral,Scavenging_Other,share-weight,2005,9999,fixed,CO2,1,0.05
Australia_NZ,Beef,Mixed,FodderHerb_Residue,share-weight,2005,9999,fixed,CO2,1,0.4593
Australia_NZ,Beef,Mixed,Pasture_FodderGrass,share-weight,2005,9999,fixed,CO2,1,0.4593
Australia_NZ,Beef,Mixed,FeedCrops,share-weight,2005,9999,fixed,CO2,1,0.4593
Australia_NZ,Beef,Mixed,Scavenging_Other,share-weight,2005,9999,fixed,CO2,1,0.4593
Australia_NZ,Beef,Pastoral,FodderHerb_Residue,share-weight,2005,9999,fixed,CO2,1,0.4593
Australia_NZ,Beef,Pastoral,Pasture_FodderGrass,share-weight,2005,9999,fixed,CO2,1,0.4593
Australia_NZ,Beef,Pastoral,FeedCrops,share-weight,2005,9999,fixed,CO2,1,0.4593
Australia_NZ,Beef,Pastoral,Scavenging_Other,share-weight,2005,9999,fixed,CO2,1,0.4593
