INPUT_TABLE
Variable ID
AgResBio

region,AgSupplySector,AgSupplySubsector,AgProductionTechnology,year,residue.biomass.production,mass.conversion,harvest.index,eros.ctrl,mass.to.energy,water.content
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,1990,biomass,1,0.5,0,2.2,0.1
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,1990,biomass,1,0.5,0,2.2,0.1
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,1990,biomass,1,0.5,0,2.2,0.1
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,1990,biomass,1,0.5,0,2.2,0.1
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,1990,biomass,1,0.5,0,2.2,0.1
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,1990,biomass,1,0.5,0,2.2,0.1
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,1990,biomass,1,0.5,0,2.2,0.1
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,1990,biomass,1,0.5,0,2.2,0.1
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2005,biomass,1,0.5,0,2.2,0.1
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2005,biomass,1,0.5,0,2.2,0.1
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2005,biomass,1,0.5,0,2.2,0.1
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2005,biomass,1,0.5,0,2.2,0.1
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,2005,biomass,1,0.5,0,2.2,0.1
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,2005,biomass,1,0.5,0,2.2,0.1
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,2005,biomass,1,0.5,0,2.2,0.1
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,2005,biomass,1,0.5,0,2.2,0.1
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2020,biomass,1,0.5,0,2.2,0.1
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2020,biomass,1,0.5,0,2.2,0.1
