Note: all values are unlinked except for check for whether region/AEZ combination exists,,,,,,,
INPUT_TABLE,,,,,,,
VariableID,,,,,,,
15,,,,,,,
,,,,,,,
Region,LandAllocatorRoot,LandNode,,,region,AEZ,exists
USA,root,TundraAEZ1,,,1,AEZ1,0
USA,root,TundraAEZ2,,,1,AEZ2,0
USA,root,TundraAEZ3,,,1,AEZ3,0
USA,root,TundraAEZ4,,,1,AEZ4,0
USA,root,TundraAEZ5,,,1,AEZ5,0
USA,root,TundraAEZ6,,,1,AEZ6,0
USA,root,TundraAEZ17,,,1,AEZ17,0
USA,root,TundraAEZ18,,,1,AEZ18,0
Canada,root,TundraAEZ1,,,2,AEZ1,0
Canada,root,TundraAEZ2,,,2,AEZ2,0
Canada,root,TundraAEZ3,,,2,AEZ3,0
Canada,root,TundraAEZ4,,,2,AEZ4,0
Canada,root,TundraAEZ5,,,2,AEZ5,0
Canada,root,TundraAEZ6,,,2,AEZ6,0
Canada,root,TundraAEZ12,,,2,AEZ12,0
Canada,root,TundraAEZ17,,,2,AEZ17,0
Canada,root,TundraAEZ18,,,2,AEZ18,0
Western Europe,root,TundraAEZ1,,,3,AEZ1,0
Western Europe,root,TundraAEZ2,,,3,AEZ2,0
Western Europe,root,TundraAEZ3,,,3,AEZ3,0
Western Europe,root,TundraAEZ5,,,3,AEZ5,0
Western Europe,root,TundraAEZ6,,,3,AEZ6,0
Western Europe,root,TundraAEZ17,,,3,AEZ17,0
Western Europe,root,TundraAEZ18,,,3,AEZ18,0
Japan,root,TundraAEZ1,,,4,AEZ1,0
Japan,root,TundraAEZ2,,,4,AEZ2,0
Japan,root,TundraAEZ3,,,4,AEZ3,0
Japan,root,TundraAEZ4,,,4,AEZ4,0
Japan,root,TundraAEZ5,,,4,AEZ5,0
Japan,root,TundraAEZ6,,,4,AEZ6,0
Japan,root,TundraAEZ7,,,4,AEZ7,0
Japan,root,TundraAEZ8,,,4,AEZ8,0
Japan,root,TundraAEZ13,,,4,AEZ13,0
Japan,root,TundraAEZ14,,,4,AEZ14,0
Japan,root,TundraAEZ16,,,4,AEZ16,0
Japan,root,TundraAEZ17,,,4,AEZ17,0
Japan,root,TundraAEZ18,,,4,AEZ18,0
Australia_NZ,root,TundraAEZ13,,,5,AEZ13,0
Australia_NZ,root,TundraAEZ14,,,5,AEZ14,0
Australia_NZ,root,TundraAEZ18,,,5,AEZ18,0
Former Soviet Union,root,TundraAEZ1,,,6,AEZ1,0
Former Soviet Union,root,TundraAEZ2,,,6,AEZ2,0
Former Soviet Union,root,TundraAEZ3,,,6,AEZ3,0
Former Soviet Union,root,TundraAEZ4,,,6,AEZ4,0
Former Soviet Union,root,TundraAEZ5,,,6,AEZ5,0
Former Soviet Union,root,TundraAEZ6,,,6,AEZ6,0
Former Soviet Union,root,TundraAEZ17,,,6,AEZ17,0
Former Soviet Union,root,TundraAEZ18,,,6,AEZ18,0
China,root,TundraAEZ1,,,7,AEZ1,0
China,root,TundraAEZ2,,,7,AEZ2,0
China,root,TundraAEZ3,,,7,AEZ3,0
China,root,TundraAEZ18,,,7,AEZ18,0
Middle East,root,TundraAEZ4,,,8,AEZ4,0
Middle East,root,TundraAEZ5,,,8,AEZ5,0
Middle East,root,TundraAEZ6,,,8,AEZ6,0
Middle East,root,TundraAEZ11,,,8,AEZ11,0
Middle East,root,TundraAEZ12,,,8,AEZ12,0
Middle East,root,TundraAEZ13,,,8,AEZ13,0
Middle East,root,TundraAEZ14,,,8,AEZ14,0
Middle East,root,TundraAEZ15,,,8,AEZ15,0
