INPUT_TABLE
Variable ID
LN3_MgdCarbon

region,LandAllocatorRoot,LandNode1,LandNode2,LandNode3,LandLeaf3,hist.veg.carbon.density,hist.soil.carbon.density,veg.carbon.density,soil.carbon.density,mature.age,min.veg.carbon.density,min.soil.carbon.density,GCAM_commodity,AEZ,Cdensity_LT,HarvestIndex,WaterContent,Root_Shoot,Yield
USA,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,biomassAEZ01,0.524,6,0.524,6,10,0,0,biomass,AEZ01,Pasture,1,0.15,0.77,1.07826581860165
Canada,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,biomassAEZ01,0.454,6,0.454,6,10,0,0,biomass,AEZ01,Pasture,1,0.15,0.77,0.934018662738406
Western Europe,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,biomassAEZ01,0.524,6,0.524,6,10,0,0,biomass,AEZ01,Pasture,1,0.15,0.77,1.07826581860165
Japan,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,biomassAEZ01,0.524,6,0.524,6,10,0,0,biomass,AEZ01,Pasture,1,0.15,0.77,1.07826581860165
Australia_NZ,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,biomassAEZ01,0.285,7.2,0.285,7.2,10,0,0,biomass,AEZ01,Pasture,1,0.15,0.77,0.586124783212423
Former Soviet Union,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,biomassAEZ01,0.327,6,0.327,6,10,0,0,biomass,AEZ01,Pasture,1,0.15,0.77,0.672856732019114
China,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,biomassAEZ01,0.524,6,0.524,6,10,0,0,biomass,AEZ01,Pasture,1,0.15,0.77,1.07826581860165
Middle East,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,biomassAEZ01,0.371,6.2,0.371,6.2,10,0,0,biomass,AEZ01,Pasture,1,0.15,0.77,0.763673615583628
Africa,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,JatrophaAEZ01,0.223,7.1,0.223,7.1,10,0,0,biomass,AEZ01,Pasture,1,0.15,0.77,0.458380808063784
Latin America,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,eucalyptusAEZ01,0.471,6.2,0.471,6.2,10,0,0,biomass,AEZ01,Pasture,1,0.15,0.77,0.970201727601771
Southeast Asia,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,biomassAEZ01,0.408,6,0.408,6,10,0,0,biomass,AEZ01,Pasture,1,0.15,0.77,0.838936487579954
Eastern Europe,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,biomassAEZ01,0.524,6,0.524,6,10,0,0,biomass,AEZ01,Pasture,1,0.15,0.77,1.07826581860165
Korea,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,biomassAEZ01,0.524,6,0.524,6,10,0,0,biomass,AEZ01,Pasture,1,0.15,0.77,1.07826581860165
India,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,JatrophaAEZ01,0.417,6,0.417,6,10,0,0,biomass,AEZ01,Pasture,1,0.15,0.77,0.857741943658926
USA,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,biomassAEZ02,0.148,7.5,0.148,7.5,10,0,0,biomass,AEZ02,Pasture,1,0.15,0.77,0.305377837073275
Canada,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,biomassAEZ02,0.128,7.5,0.128,7.5,10,0,0,biomass,AEZ02,Pasture,1,0.15,0.77,0.264525309151528
