INPUT_TABLE
Variable ID
LN1_UnmgdAllocation

region,LandAllocatorRoot,LandNode1,UnmanagedLandLeaf1,year,allocation
USA,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1975,0
Canada,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1975,0
Western Europe,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1975,0
Japan,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1975,0
Australia_NZ,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1975,473.686398
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1975,0
China,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1975,0
Middle East,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1975,458.287416
Africa,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1975,1494.489024
Latin America,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1975,44.410824
Southeast Asia,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1975,4.460652
Eastern Europe,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1975,0
Korea,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1975,0
India,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1975,1.923948
USA,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,1975,0
Canada,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,1975,0
Western Europe,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,1975,0
Japan,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,1975,0
Australia_NZ,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,1975,356.847732
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,1975,0
China,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,1975,0
Middle East,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,1975,0.047349
Africa,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,1975,813.842613
Latin America,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,1975,44.31168
Southeast Asia,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,1975,0
Eastern Europe,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,1975,0
Korea,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,1975,0
India,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,1975,4.321746
USA,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,1975,0
Canada,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,1975,0
