INPUT_TABLE
Variable ID
LN2_MgdAllocation

region,LandAllocatorRoot,LandNode1,LandNode2,LandLeaf2,year,allocation
USA,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1975,0
Canada,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1975,0
Western Europe,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1975,0
Japan,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1975,0
Australia_NZ,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1975,11.66061
Former Soviet Union,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1975,0
China,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1975,0
Middle East,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1975,3.61309
Africa,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1975,47.88956
Latin America,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1975,4.21842
Southeast Asia,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1975,1.29853
Eastern Europe,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1975,0
Korea,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1975,0
India,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1975,1.74066
USA,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1975,0
Canada,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1975,0
Western Europe,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1975,0
Japan,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1975,0
Australia_NZ,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1975,8.78442
Former Soviet Union,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1975,0
China,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1975,0
Middle East,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1975,0.00037
