INPUT_TABLE
Variable ID
LN1_UnmgdAllocation

region,LandAllocatorRoot,LandNode1,UnmanagedLandLeaf1,year,allocation
USA,root,RockIceDesertAEZ01,RockIceDesertAEZ01,1975,0
Canada,root,RockIceDesertAEZ01,RockIceDesertAEZ01,1975,0
Western Europe,root,RockIceDesertAEZ01,RockIceDesertAEZ01,1975,0
Japan,root,RockIceDesertAEZ01,RockIceDesertAEZ01,1975,0
Australia_NZ,root,RockIceDesertAEZ01,RockIceDesertAEZ01,1975,2.24371
Former Soviet Union,root,RockIceDesertAEZ01,RockIceDesertAEZ01,1975,0
China,root,RockIceDesertAEZ01,RockIceDesertAEZ01,1975,0
Middle East,root,RockIceDesertAEZ01,RockIceDesertAEZ01,1975,1108.09985
Africa,root,RockIceDesertAEZ01,RockIceDesertAEZ01,1975,3696.04969
Latin America,root,RockIceDesertAEZ01,RockIceDesertAEZ01,1975,61.4928
Southeast Asia,root,RockIceDesertAEZ01,RockIceDesertAEZ01,1975,28.8952
Eastern Europe,root,RockIceDesertAEZ01,RockIceDesertAEZ01,1975,0
Korea,root,RockIceDesertAEZ01,RockIceDesertAEZ01,1975,0
India,root,RockIceDesertAEZ01,RockIceDesertAEZ01,1975,14.216
USA,root,TundraAEZ01,TundraAEZ01,1975,0
Canada,root,TundraAEZ01,TundraAEZ01,1975,0
Western Europe,root,TundraAEZ01,TundraAEZ01,1975,0
Japan,root,TundraAEZ01,TundraAEZ01,1975,0
Australia_NZ,root,TundraAEZ01,TundraAEZ01,1975,0
Former Soviet Union,root,TundraAEZ01,TundraAEZ01,1975,0
China,root,TundraAEZ01,TundraAEZ01,1975,0
Middle East,root,TundraAEZ01,TundraAEZ01,1975,0
Africa,root,TundraAEZ01,TundraAEZ01,1975,0
Latin America,root,TundraAEZ01,TundraAEZ01,1975,1.48135
Southeast Asia,root,TundraAEZ01,TundraAEZ01,1975,0
Eastern Europe,root,TundraAEZ01,TundraAEZ01,1975,0
Korea,root,TundraAEZ01,TundraAEZ01,1975,0
India,root,TundraAEZ01,TundraAEZ01,1975,0
USA,root,UrbanLandAEZ01,UrbanLandAEZ01,1975,0
Canada,root,UrbanLandAEZ01,UrbanLandAEZ01,1975,0
Western Europe,root,UrbanLandAEZ01,UrbanLandAEZ01,1975,0
Japan,root,UrbanLandAEZ01,UrbanLandAEZ01,1975,0
Australia_NZ,root,UrbanLandAEZ01,UrbanLandAEZ01,1975,0.00467
Former Soviet Union,root,UrbanLandAEZ01,UrbanLandAEZ01,1975,0
China,root,UrbanLandAEZ01,UrbanLandAEZ01,1975,0
Middle East,root,UrbanLandAEZ01,UrbanLandAEZ01,1975,0.85651
Africa,root,UrbanLandAEZ01,UrbanLandAEZ01,1975,2.37517
Latin America,root,UrbanLandAEZ01,UrbanLandAEZ01,1975,0.21208
Southeast Asia,root,UrbanLandAEZ01,UrbanLandAEZ01,1975,0.2705
Eastern Europe,root,UrbanLandAEZ01,UrbanLandAEZ01,1975,0
Korea,root,UrbanLandAEZ01,UrbanLandAEZ01,1975,0
India,root,UrbanLandAEZ01,UrbanLandAEZ01,1975,0
USA,root,RockIceDesertAEZ02,RockIceDesertAEZ02,1975,0
Canada,root,RockIceDesertAEZ02,RockIceDesertAEZ02,1975,0
Western Europe,root,RockIceDesertAEZ02,RockIceDesertAEZ02,1975,0
Japan,root,RockIceDesertAEZ02,RockIceDesertAEZ02,1975,0
Australia_NZ,root,RockIceDesertAEZ02,RockIceDesertAEZ02,1975,0
Former Soviet Union,root,RockIceDesertAEZ02,RockIceDesertAEZ02,1975,0
China,root,RockIceDesertAEZ02,RockIceDesertAEZ02,1975,0
Middle East,root,RockIceDesertAEZ02,RockIceDesertAEZ02,1975,0.70457
Africa,root,RockIceDesertAEZ02,RockIceDesertAEZ02,1975,9.82079
Latin America,root,RockIceDesertAEZ02,RockIceDesertAEZ02,1975,2.68456
Southeast Asia,root,RockIceDesertAEZ02,RockIceDesertAEZ02,1975,0
Eastern Europe,root,RockIceDesertAEZ02,RockIceDesertAEZ02,1975,0
Korea,root,RockIceDesertAEZ02,RockIceDesertAEZ02,1975,0
India,root,RockIceDesertAEZ02,RockIceDesertAEZ02,1975,9.24765
USA,root,TundraAEZ02,TundraAEZ02,1975,0
Canada,root,TundraAEZ02,TundraAEZ02,1975,0
Western Europe,root,TundraAEZ02,TundraAEZ02,1975,0
Japan,root,TundraAEZ02,TundraAEZ02,1975,0
Australia_NZ,root,TundraAEZ02,TundraAEZ02,1975,0
Former Soviet Union,root,TundraAEZ02,TundraAEZ02,1975,0
China,root,TundraAEZ02,TundraAEZ02,1975,0
