INPUT_TABLE
Variable ID
FixedOutput

region,supplysector,subsector,technology,year,fixedOutput
Africa,Exports_Meat,Beef,Beef,1990,0
Africa,Exports_Meat,Dairy,Dairy,1990,0
Africa,Exports_Meat,Pork,Pork,1990,0
Africa,Exports_Meat,Poultry,Poultry,1990,0
Africa,Exports_Meat,SheepGoat,SheepGoat,1990,0
Australia_NZ,Exports_Meat,Beef,Beef,1990,1.195275
Australia_NZ,Exports_Meat,Dairy,Dairy,1990,7.938681
Australia_NZ,Exports_Meat,Pork,Pork,1990,0.002168
Australia_NZ,Exports_Meat,Poultry,Poultry,1990,0.005884
Australia_NZ,Exports_Meat,SheepGoat,SheepGoat,1990,0.538354
Canada,Exports_Meat,Beef,Beef,1990,0
Canada,Exports_Meat,Dairy,Dairy,1990,0.500936
Canada,Exports_Meat,Pork,Pork,1990,0.246221
Canada,Exports_Meat,Poultry,Poultry,1990,0
Canada,Exports_Meat,SheepGoat,SheepGoat,1990,0
China,Exports_Meat,Beef,Beef,1990,0.069568
China,Exports_Meat,Dairy,Dairy,1990,0
China,Exports_Meat,Pork,Pork,1990,0.261483
China,Exports_Meat,Poultry,Poultry,1990,0
China,Exports_Meat,SheepGoat,SheepGoat,1990,0
Eastern Europe,Exports_Meat,Beef,Beef,1990,0.03616
Eastern Europe,Exports_Meat,Dairy,Dairy,1990,2.72144
Eastern Europe,Exports_Meat,Pork,Pork,1990,0.234829
Eastern Europe,Exports_Meat,Poultry,Poultry,1990,0.202399
Eastern Europe,Exports_Meat,SheepGoat,SheepGoat,1990,0.012953
Former Soviet Union,Exports_Meat,Beef,Beef,1990,0
Former Soviet Union,Exports_Meat,Dairy,Dairy,1990,0
Former Soviet Union,Exports_Meat,Pork,Pork,1990,0
Former Soviet Union,Exports_Meat,Poultry,Poultry,1990,0
Former Soviet Union,Exports_Meat,SheepGoat,SheepGoat,1990,0
India,Exports_Meat,Beef,Beef,1990,0.06147
India,Exports_Meat,Dairy,Dairy,1990,0
India,Exports_Meat,Pork,Pork,1990,3e-06
India,Exports_Meat,Poultry,Poultry,1990,0.003272
India,Exports_Meat,SheepGoat,SheepGoat,1990,0.006907
Japan,Exports_Meat,Beef,Beef,1990,0
Japan,Exports_Meat,Dairy,Dairy,1990,0
Japan,Exports_Meat,Pork,Pork,1990,0
Japan,Exports_Meat,Poultry,Poultry,1990,0
Japan,Exports_Meat,SheepGoat,SheepGoat,1990,0
Korea,Exports_Meat,Beef,Beef,1990,0
Korea,Exports_Meat,Dairy,Dairy,1990,0
Korea,Exports_Meat,Pork,Pork,1990,0
Korea,Exports_Meat,Poultry,Poultry,1990,0
Korea,Exports_Meat,SheepGoat,SheepGoat,1990,0
Latin America,Exports_Meat,Beef,Beef,1990,0.715194
Latin America,Exports_Meat,Dairy,Dairy,1990,0
Latin America,Exports_Meat,Pork,Pork,1990,0
Latin America,Exports_Meat,Poultry,Poultry,1990,0.081782
Latin America,Exports_Meat,SheepGoat,SheepGoat,1990,0
Middle East,Exports_Meat,Beef,Beef,1990,0
Middle East,Exports_Meat,Dairy,Dairy,1990,0
Middle East,Exports_Meat,Pork,Pork,1990,0
Middle East,Exports_Meat,Poultry,Poultry,1990,0
Middle East,Exports_Meat,SheepGoat,SheepGoat,1990,0
Southeast Asia,Exports_Meat,Beef,Beef,1990,0
Southeast Asia,Exports_Meat,Dairy,Dairy,1990,0
Southeast Asia,Exports_Meat,Pork,Pork,1990,0
Southeast Asia,Exports_Meat,Poultry,Poultry,1990,0.135218
Southeast Asia,Exports_Meat,SheepGoat,SheepGoat,1990,0
USA,Exports_Meat,Beef,Beef,1990,0
USA,Exports_Meat,Dairy,Dairy,1990,0
USA,Exports_Meat,Pork,Pork,1990,0
USA,Exports_Meat,Poultry,Poultry,1990,0.609445
USA,Exports_Meat,SheepGoat,SheepGoat,1990,0
Western Europe,Exports_Meat,Beef,Beef,1990,0.315898
Western Europe,Exports_Meat,Dairy,Dairy,1990,14.056243
Western Europe,Exports_Meat,Pork,Pork,1990,0.366568
Western Europe,Exports_Meat,Poultry,Poultry,1990,0.166661
Western Europe,Exports_Meat,SheepGoat,SheepGoat,1990,0
Africa,Exports_Meat,Beef,Beef,2005,0
Africa,Exports_Meat,Dairy,Dairy,2005,0
Africa,Exports_Meat,Pork,Pork,2005,0
Africa,Exports_Meat,Poultry,Poultry,2005,0
Africa,Exports_Meat,SheepGoat,SheepGoat,2005,0
Australia_NZ,Exports_Meat,Beef,Beef,2005,1.623415
Australia_NZ,Exports_Meat,Dairy,Dairy,2005,16.62755
Australia_NZ,Exports_Meat,Pork,Pork,2005,0
Australia_NZ,Exports_Meat,Poultry,Poultry,2005,0.024239
Australia_NZ,Exports_Meat,SheepGoat,SheepGoat,2005,0.614976
Canada,Exports_Meat,Beef,Beef,2005,0.233392
Canada,Exports_Meat,Dairy,Dairy,2005,0
Canada,Exports_Meat,Pork,Pork,2005,0.86928
Canada,Exports_Meat,Poultry,Poultry,2005,0
Canada,Exports_Meat,SheepGoat,SheepGoat,2005,0
China,Exports_Meat,Beef,Beef,2005,0
China,Exports_Meat,Dairy,Dairy,2005,0
China,Exports_Meat,Pork,Pork,2005,0.065007
China,Exports_Meat,Poultry,Poultry,2005,0
China,Exports_Meat,SheepGoat,SheepGoat,2005,0
Eastern Europe,Exports_Meat,Beef,Beef,2005,0
Eastern Europe,Exports_Meat,Dairy,Dairy,2005,2.600229
Eastern Europe,Exports_Meat,Pork,Pork,2005,0
