INPUT_TABLE
Variable ID
LN2_HistMgdAllocation

region,LandAllocatorRoot,LandNode1,LandNode2,LandLeaf2,year,allocation
USA,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1700,0
Canada,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1700,0
Western Europe,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1700,0
Japan,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1700,0
Australia_NZ,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1700,0
Former Soviet Union,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1700,0
China,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1700,0
Middle East,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1700,0.47303
Africa,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1700,7.09737
Latin America,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1700,0.43403
Southeast Asia,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1700,0.16364
Eastern Europe,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1700,0
Korea,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1700,0
India,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1700,0.25855
USA,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1700,0
Canada,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1700,0
Western Europe,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1700,0
Japan,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1700,0
Australia_NZ,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1700,0
Former Soviet Union,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1700,0
China,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1700,0
Middle East,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1700,4e-05
Africa,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1700,5.21257
Latin America,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1700,0.2172
Southeast Asia,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1700,0
Eastern Europe,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1700,0
Korea,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1700,0
India,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1700,0.67772
USA,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1700,0
Canada,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1700,0
Western Europe,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1700,0
Japan,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1700,0
Australia_NZ,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1700,0
Former Soviet Union,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1700,0
China,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1700,0
Middle East,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1700,0.00012
Africa,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1700,5.51546
Latin America,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1700,0.68878
Southeast Asia,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1700,0.01468
Eastern Europe,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1700,0
Korea,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1700,0
India,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1700,3.22954
USA,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,1700,0
Canada,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,1700,0
Western Europe,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,1700,0.01357
Japan,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,1700,0
Australia_NZ,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,1700,0
Former Soviet Union,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,1700,0
China,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,1700,0.00168
Middle East,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,1700,0
Africa,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,1700,7.00495
Latin America,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,1700,1.12096
Southeast Asia,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,1700,0.60592
Eastern Europe,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,1700,0
Korea,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,1700,0
India,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,1700,1.14707
USA,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,1700,0
Canada,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,1700,0
Western Europe,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,1700,0
Japan,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,1700,0
Australia_NZ,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,1700,0
Former Soviet Union,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,1700,0
