Carbon densities by crop type,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,,,,,
VariableID,,,,,,,,,,,,,,,,,,,,,,,,,,
10006,,,,,,,,,,,,,,,,,,,,,,,,year to use for C contents,,
,,,,,,land-use-history,,land-carbon-densities,,,,,,,,,,,,,,,,2005,,
region,Land Allocator Root,LandNode1,LandNode2,LandNode3,LandLeaf,above-ground-carbon,below-ground-carbon,above-ground-carbon,below-ground-carbon,mature-age,minAboveGroundCDensity,minBelowGroundCDensity,,,Harvest index,Yield (kg/m2),Moisture content,Root:shoot,,region ID,lookup1,lookup2,lookup3,lookup4,,
USA,root,AgroForestLandAEZ1,AgroForest_NonPastureAEZ1,CropLandAEZ1,CornAEZ1,0,3,0,3,1,0,0,,,0.530,0.000,0.130,0.180,,1,1CropLand,AEZ1,Corn,1Corn2005,,
USA,root,AgroForestLandAEZ2,AgroForest_NonPastureAEZ2,CropLandAEZ2,CornAEZ2,0,4,0,4,1,0,0,,,0.530,0.000,0.130,0.180,,1,1CropLand,AEZ2,Corn,1Corn2005,,
USA,root,AgroForestLandAEZ3,AgroForest_NonPastureAEZ3,CropLandAEZ3,CornAEZ3,0,5,0,5,1,0,0,,,0.530,0.000,0.130,0.180,,1,1CropLand,AEZ3,Corn,1Corn2005,,
USA,root,AgroForestLandAEZ4,AgroForest_NonPastureAEZ4,CropLandAEZ4,CornAEZ4,0,6,0,6,1,0,0,,,0.530,0.000,0.130,0.180,,1,1CropLand,AEZ4,Corn,1Corn2005,,
USA,root,AgroForestLandAEZ5,AgroForest_NonPastureAEZ5,CropLandAEZ5,CornAEZ5,0,6,0,6,1,0,0,,,0.530,0.000,0.130,0.180,,1,1CropLand,AEZ5,Corn,1Corn2005,,
USA,root,AgroForestLandAEZ6,AgroForest_NonPastureAEZ6,CropLandAEZ6,CornAEZ6,0,6,0,6,1,0,0,,,0.530,0.000,0.130,0.180,,1,1CropLand,AEZ6,Corn,1Corn2005,,
USA,root,AgroForestLandAEZ7,AgroForest_NonPastureAEZ7,CropLandAEZ7,CornAEZ7,0.503239964,6,0.503239964,6,1,0,0,,,0.530,1.155,0.130,0.180,,1,1CropLand,AEZ7,Corn,1Corn2005,,
USA,root,AgroForestLandAEZ8,AgroForest_NonPastureAEZ8,CropLandAEZ8,CornAEZ8,0.375190125,7,0.375190125,7,1,0,0,,,0.530,0.861,0.130,0.180,,1,1CropLand,AEZ8,Corn,1Corn2005,,
USA,root,AgroForestLandAEZ9,AgroForest_NonPastureAEZ9,CropLandAEZ9,CornAEZ9,0.417021756,8,0.417021756,8,1,0,0,,,0.530,0.957,0.130,0.180,,1,1CropLand,AEZ9,Corn,1Corn2005,,
USA,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,CropLandAEZ10,CornAEZ10,0.433538229,9,0.433538229,9,1,0,0,,,0.530,0.995,0.130,0.180,,1,1CropLand,AEZ10,Corn,1Corn2005,,
USA,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,CropLandAEZ11,CornAEZ11,0.37690371,9,0.37690371,9,1,0,0,,,0.530,0.865,0.130,0.180,,1,1CropLand,AEZ11,Corn,1Corn2005,,
USA,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,CropLandAEZ12,CornAEZ12,0.327037571,9,0.327037571,9,1,0,0,,,0.530,0.750,0.130,0.180,,1,1CropLand,AEZ12,Corn,1Corn2005,,
USA,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,CropLandAEZ13,CornAEZ13,0.414795564,9,0.414795564,9,1,0,0,,,0.530,0.952,0.130,0.180,,1,1CropLand,AEZ13,Corn,1Corn2005,,
USA,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,CropLandAEZ14,CornAEZ14,0.452544804,10,0.452544804,10,1,0,0,,,0.530,1.038,0.130,0.180,,1,1CropLand,AEZ14,Corn,1Corn2005,,
USA,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,CropLandAEZ15,CornAEZ15,0,11,0,11,1,0,0,,,0.530,0.000,0.130,0.180,,1,1CropLand,AEZ15,Corn,1Corn2005,,
USA,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,CropLandAEZ16,CornAEZ16,0,12,0,12,1,0,0,,,0.530,0.000,0.130,0.180,,1,1CropLand,AEZ16,Corn,1Corn2005,,
USA,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,CropLandAEZ17,CornAEZ17,0,12,0,12,1,0,0,,,0.530,0.000,0.130,0.180,,1,1CropLand,AEZ17,Corn,1Corn2005,,
USA,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,CropLandAEZ18,CornAEZ18,0,12,0,12,1,0,0,,,0.530,0.000,0.130,0.180,,1,1CropLand,AEZ18,Corn,1Corn2005,,
Canada,root,AgroForestLandAEZ1,AgroForest_NonPastureAEZ1,CropLandAEZ1,CornAEZ1,0,3,0,3,1,0,0,,,0.530,0.000,0.130,0.180,,2,2CropLand,AEZ1,Corn,2Corn2005,,
Canada,root,AgroForestLandAEZ2,AgroForest_NonPastureAEZ2,CropLandAEZ2,CornAEZ2,0,4,0,4,1,0,0,,,0.530,0.000,0.130,0.180,,2,2CropLand,AEZ2,Corn,2Corn2005,,
Canada,root,AgroForestLandAEZ3,AgroForest_NonPastureAEZ3,CropLandAEZ3,CornAEZ3,0,5,0,5,1,0,0,,,0.530,0.000,0.130,0.180,,2,2CropLand,AEZ3,Corn,2Corn2005,,
Canada,root,AgroForestLandAEZ4,AgroForest_NonPastureAEZ4,CropLandAEZ4,CornAEZ4,0,6,0,6,1,0,0,,,0.530,0.000,0.130,0.180,,2,2CropLand,AEZ4,Corn,2Corn2005,,
Canada,root,AgroForestLandAEZ5,AgroForest_NonPastureAEZ5,CropLandAEZ5,CornAEZ5,0,6,0,6,1,0,0,,,0.530,0.000,0.130,0.180,,2,2CropLand,AEZ5,Corn,2Corn2005,,
Canada,root,AgroForestLandAEZ6,AgroForest_NonPastureAEZ6,CropLandAEZ6,CornAEZ6,0,6,0,6,1,0,0,,,0.530,0.000,0.130,0.180,,2,2CropLand,AEZ6,Corn,2Corn2005,,
Canada,root,AgroForestLandAEZ7,AgroForest_NonPastureAEZ7,CropLandAEZ7,CornAEZ7,0.486741155,6,0.486741155,6,1,0,0,,,0.530,1.117,0.130,0.180,,2,2CropLand,AEZ7,Corn,2Corn2005,,
