INPUT_TABLE
Variable ID
SubRsrc

region,renewresource,sub.renewable.resource,year,cal.production
USA,OtherMeat_Fish,OtherMeat_Fish,1990,12.8442082
Canada,OtherMeat_Fish,OtherMeat_Fish,1990,2.2457628
Western Europe,OtherMeat_Fish,OtherMeat_Fish,1990,19.22071
Japan,OtherMeat_Fish,OtherMeat_Fish,1990,11.6312396
Australia_NZ,OtherMeat_Fish,OtherMeat_Fish,1990,2.2603792
Former Soviet Union,OtherMeat_Fish,OtherMeat_Fish,1990,13.8812018
China,OtherMeat_Fish,OtherMeat_Fish,1990,20.74147
Middle East,OtherMeat_Fish,OtherMeat_Fish,1990,0.9508244
Africa,OtherMeat_Fish,OtherMeat_Fish,1990,7.5440602
Latin America,OtherMeat_Fish,OtherMeat_Fish,1990,21.3797906
Southeast Asia,OtherMeat_Fish,OtherMeat_Fish,1990,12.791289
Eastern Europe,OtherMeat_Fish,OtherMeat_Fish,1990,3.1370306
Korea,OtherMeat_Fish,OtherMeat_Fish,1990,2.9057358
India,OtherMeat_Fish,OtherMeat_Fish,1990,4.5471178
USA,Residue,Residue,1990,0
Canada,Residue,Residue,1990,0
Western Europe,Residue,Residue,1990,0
Japan,Residue,Residue,1990,0
Australia_NZ,Residue,Residue,1990,0
Former Soviet Union,Residue,Residue,1990,0
China,Residue,Residue,1990,0
Middle East,Residue,Residue,1990,0
Africa,Residue,Residue,1990,0
Latin America,Residue,Residue,1990,0
Southeast Asia,Residue,Residue,1990,0
Eastern Europe,Residue,Residue,1990,0
Korea,Residue,Residue,1990,0
India,Residue,Residue,1990,0
USA,Scavenging_Other_Rsrc,Scavenging_Other,1990,0.3841852
Canada,Scavenging_Other_Rsrc,Scavenging_Other,1990,0.0448454
Western Europe,Scavenging_Other_Rsrc,Scavenging_Other,1990,4.3186388
Japan,Scavenging_Other_Rsrc,Scavenging_Other,1990,0.1945394
Australia_NZ,Scavenging_Other_Rsrc,Scavenging_Other,1990,4.119328
Former Soviet Union,Scavenging_Other_Rsrc,Scavenging_Other,1990,6.8444748
China,Scavenging_Other_Rsrc,Scavenging_Other,1990,12.8537709
Middle East,Scavenging_Other_Rsrc,Scavenging_Other,1990,2.3512624
Africa,Scavenging_Other_Rsrc,Scavenging_Other,1990,21.0857585
Latin America,Scavenging_Other_Rsrc,Scavenging_Other,1990,40.5137102
Southeast Asia,Scavenging_Other_Rsrc,Scavenging_Other,1990,38.9191899
Eastern Europe,Scavenging_Other_Rsrc,Scavenging_Other,1990,5.0099579
Korea,Scavenging_Other_Rsrc,Scavenging_Other,1990,0.4861524
India,Scavenging_Other_Rsrc,Scavenging_Other,1990,201.1025055
USA,OtherMeat_Fish,OtherMeat_Fish,2005,13.4288562
Canada,OtherMeat_Fish,OtherMeat_Fish,2005,2.2807882
Western Europe,OtherMeat_Fish,OtherMeat_Fish,2005,20.04896
Japan,OtherMeat_Fish,OtherMeat_Fish,2005,5.6548562
Australia_NZ,OtherMeat_Fish,OtherMeat_Fish,2005,2.972183
Former Soviet Union,OtherMeat_Fish,OtherMeat_Fish,2005,6.3248372
China,OtherMeat_Fish,OtherMeat_Fish,2005,57.3408566
Middle East,OtherMeat_Fish,OtherMeat_Fish,2005,1.6042746
Africa,OtherMeat_Fish,OtherMeat_Fish,2005,11.0119978
Latin America,OtherMeat_Fish,OtherMeat_Fish,2005,24.553445
Southeast Asia,OtherMeat_Fish,OtherMeat_Fish,2005,21.9067716
Eastern Europe,OtherMeat_Fish,OtherMeat_Fish,2005,1.807643
Korea,OtherMeat_Fish,OtherMeat_Fish,2005,2.3728588
India,OtherMeat_Fish,OtherMeat_Fish,2005,7.3680712
USA,Residue,Residue,2005,0
Canada,Residue,Residue,2005,0.3607381
Western Europe,Residue,Residue,2005,0
Japan,Residue,Residue,2005,0.6752498
Australia_NZ,Residue,Residue,2005,0
Former Soviet Union,Residue,Residue,2005,0
China,Residue,Residue,2005,199.2738711
Middle East,Residue,Residue,2005,0
Africa,Residue,Residue,2005,5.9594831
Latin America,Residue,Residue,2005,31.4741471
Southeast Asia,Residue,Residue,2005,48.1881524
Eastern Europe,Residue,Residue,2005,0
Korea,Residue,Residue,2005,2.9566881
India,Residue,Residue,2005,48.2451219
USA,Scavenging_Other_Rsrc,Scavenging_Other,2005,0.2034611
Canada,Scavenging_Other_Rsrc,Scavenging_Other,2005,0.0591895
Western Europe,Scavenging_Other_Rsrc,Scavenging_Other,2005,4.2047234
Japan,Scavenging_Other_Rsrc,Scavenging_Other,2005,0.1565983
Australia_NZ,Scavenging_Other_Rsrc,Scavenging_Other,2005,4.187715
Former Soviet Union,Scavenging_Other_Rsrc,Scavenging_Other,2005,3.596234
China,Scavenging_Other_Rsrc,Scavenging_Other,2005,21.1652243
Middle East,Scavenging_Other_Rsrc,Scavenging_Other,2005,3.3486314
Africa,Scavenging_Other_Rsrc,Scavenging_Other,2005,28.8432016
Latin America,Scavenging_Other_Rsrc,Scavenging_Other,2005,54.037288
Southeast Asia,Scavenging_Other_Rsrc,Scavenging_Other,2005,51.2688301
Eastern Europe,Scavenging_Other_Rsrc,Scavenging_Other,2005,0.4972552
Korea,Scavenging_Other_Rsrc,Scavenging_Other,2005,0.3757896
India,Scavenging_Other_Rsrc,Scavenging_Other,2005,223.2466756
