INPUT_TABLE
Variable ID
LN1_UnmgdCarbon

region,LandAllocatorRoot,LandNode1,UnmanagedLandLeaf1,hist.veg.carbon.density,hist.soil.carbon.density,veg.carbon.density,soil.carbon.density,mature.age,min.veg.carbon.density,min.soil.carbon.density,Land_Type,AEZ,Cdensity_LT
USA,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,0,0,0,0,0,0,0,Grassland,AEZ01,Grassland
Canada,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,0,0,0,0,0,0,0,Grassland,AEZ01,Grassland
Western Europe,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,0,0,0,0,0,0,0,Grassland,AEZ01,Grassland
Japan,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,0,0,0,0,0,0,0,Grassland,AEZ01,Grassland
Australia_NZ,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,1.1,7.2,1.1,7.2,17,0,0,Grassland,AEZ01,Grassland
Former Soviet Union,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,0,0,0,0,0,0,0,Grassland,AEZ01,Grassland
China,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,0,0,0,0,0,0,0,Grassland,AEZ01,Grassland
Middle East,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,0.5,6.2,0.5,6.2,11,0,0,Grassland,AEZ01,Grassland
Africa,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,1.1,7.1,1.1,7.1,16,0,0,Grassland,AEZ01,Grassland
Latin America,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,0.5,6.2,0.5,6.2,11,0,0,Grassland,AEZ01,Grassland
Southeast Asia,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,0,0,0,0,0,0,0,Grassland,AEZ01,Grassland
Eastern Europe,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,0,0,0,0,0,0,0,Grassland,AEZ01,Grassland
Korea,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,0,0,0,0,0,0,0,Grassland,AEZ01,Grassland
India,root,ProtectedGrasslandAEZ01,ProtectedGrasslandAEZ01,0,0,0,0,0,0,0,Grassland,AEZ01,Grassland
USA,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,0,0,0,0,0,0,0,Shrubland,AEZ01,Shrubland
Canada,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,0,0,0,0,0,0,0,Shrubland,AEZ01,Shrubland
Western Europe,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,0,0,0,0,0,0,0,Shrubland,AEZ01,Shrubland
Japan,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,0,0,0,0,0,0,0,Shrubland,AEZ01,Shrubland
Australia_NZ,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,3.6,6.9,3.6,6.9,40,0,0,Shrubland,AEZ01,Shrubland
Former Soviet Union,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,0,0,0,0,0,0,0,Shrubland,AEZ01,Shrubland
China,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,0,0,0,0,0,0,0,Shrubland,AEZ01,Shrubland
Middle East,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,2.7,6.9,2.7,6.9,50,0,0,Shrubland,AEZ01,Shrubland
Africa,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,3.6,6.9,3.6,6.9,40,0,0,Shrubland,AEZ01,Shrubland
Latin America,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,3.6,6.9,3.6,6.9,40,0,0,Shrubland,AEZ01,Shrubland
Southeast Asia,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,3.4,6.9,3.4,6.9,42,0,0,Shrubland,AEZ01,Shrubland
Eastern Europe,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,0,0,0,0,0,0,0,Shrubland,AEZ01,Shrubland
Korea,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,0,0,0,0,0,0,0,Shrubland,AEZ01,Shrubland
India,root,ProtectedShrublandAEZ01,ProtectedShrublandAEZ01,2.7,6.9,2.7,6.9,50,0,0,Shrubland,AEZ01,Shrubland
USA,root,ProtectedUnmanagedForestAEZ01,ProtectedUnmanagedForestAEZ01,0,0,0,0,0,0,0,UnmanagedForest,AEZ01,Forest
Canada,root,ProtectedUnmanagedForestAEZ01,ProtectedUnmanagedForestAEZ01,0,0,0,0,0,0,0,UnmanagedForest,AEZ01,Forest
Western Europe,root,ProtectedUnmanagedForestAEZ01,ProtectedUnmanagedForestAEZ01,0,0,0,0,0,0,0,UnmanagedForest,AEZ01,Forest
Japan,root,ProtectedUnmanagedForestAEZ01,ProtectedUnmanagedForestAEZ01,0,0,0,0,0,0,0,UnmanagedForest,AEZ01,Forest
Australia_NZ,root,ProtectedUnmanagedForestAEZ01,ProtectedUnmanagedForestAEZ01,20,9.8,20,9.8,40,0,0,UnmanagedForest,AEZ01,Forest
Former Soviet Union,root,ProtectedUnmanagedForestAEZ01,ProtectedUnmanagedForestAEZ01,0,0,0,0,0,0,0,UnmanagedForest,AEZ01,Forest
China,root,ProtectedUnmanagedForestAEZ01,ProtectedUnmanagedForestAEZ01,0,0,0,0,0,0,0,UnmanagedForest,AEZ01,Forest
Middle East,root,ProtectedUnmanagedForestAEZ01,ProtectedUnmanagedForestAEZ01,0,0,0,0,0,0,0,UnmanagedForest,AEZ01,Forest
Africa,root,ProtectedUnmanagedForestAEZ01,ProtectedUnmanagedForestAEZ01,14.8,9.8,14.8,9.8,36,0,0,UnmanagedForest,AEZ01,Forest
Latin America,root,ProtectedUnmanagedForestAEZ01,ProtectedUnmanagedForestAEZ01,15.3,9.8,15.3,9.8,36,0,0,UnmanagedForest,AEZ01,Forest
