INPUT_TABLE
Variable ID
PerCapitaBased

region,energy.final.demand,perCapitaBased
Africa,FoodDemand_Crops,1
Africa,FoodDemand_Meat,1
Africa,NonFoodDemand_Crops,1
Africa,NonFoodDemand_Meat,1
Africa,NonFoodDemand_Forest,1
Africa,Exports_Meat,0
Australia_NZ,FoodDemand_Crops,1
Australia_NZ,FoodDemand_Meat,1
Australia_NZ,NonFoodDemand_Crops,1
Australia_NZ,NonFoodDemand_Meat,1
Australia_NZ,NonFoodDemand_Forest,1
Australia_NZ,Exports_Meat,0
Canada,FoodDemand_Crops,1
Canada,FoodDemand_Meat,1
Canada,NonFoodDemand_Crops,1
Canada,NonFoodDemand_Meat,1
Canada,NonFoodDemand_Forest,1
Canada,Exports_Meat,0
China,FoodDemand_Crops,1
China,FoodDemand_Meat,1
China,NonFoodDemand_Crops,1
China,NonFoodDemand_Meat,1
China,NonFoodDemand_Forest,1
China,Exports_Meat,0
Eastern Europe,FoodDemand_Crops,1
Eastern Europe,FoodDemand_Meat,1
Eastern Europe,NonFoodDemand_Crops,1
Eastern Europe,NonFoodDemand_Meat,1
Eastern Europe,NonFoodDemand_Forest,1
Eastern Europe,Exports_Meat,0
Former Soviet Union,FoodDemand_Crops,1
Former Soviet Union,FoodDemand_Meat,1
Former Soviet Union,NonFoodDemand_Crops,1
Former Soviet Union,NonFoodDemand_Meat,1
Former Soviet Union,NonFoodDemand_Forest,1
Former Soviet Union,Exports_Meat,0
India,FoodDemand_Crops,1
India,FoodDemand_Meat,1
India,NonFoodDemand_Crops,1
India,NonFoodDemand_Meat,1
India,NonFoodDemand_Forest,1
India,Exports_Meat,0
Japan,FoodDemand_Crops,1
Japan,FoodDemand_Meat,1
Japan,NonFoodDemand_Crops,1
Japan,NonFoodDemand_Meat,1
Japan,NonFoodDemand_Forest,1
Japan,Exports_Meat,0
Korea,FoodDemand_Crops,1
Korea,FoodDemand_Meat,1
Korea,NonFoodDemand_Crops,1
Korea,NonFoodDemand_Meat,1
Korea,NonFoodDemand_Forest,1
Korea,Exports_Meat,0
Latin America,FoodDemand_Crops,1
Latin America,FoodDemand_Meat,1
Latin America,NonFoodDemand_Crops,1
Latin America,NonFoodDemand_Meat,1
Latin America,NonFoodDemand_Forest,1
Latin America,Exports_Meat,0
Middle East,FoodDemand_Crops,1
Middle East,FoodDemand_Meat,1
Middle East,NonFoodDemand_Crops,1
Middle East,NonFoodDemand_Meat,1
Middle East,NonFoodDemand_Forest,1
Middle East,Exports_Meat,0
Southeast Asia,FoodDemand_Crops,1
Southeast Asia,FoodDemand_Meat,1
Southeast Asia,NonFoodDemand_Crops,1
Southeast Asia,NonFoodDemand_Meat,1
Southeast Asia,NonFoodDemand_Forest,1
Southeast Asia,Exports_Meat,0
USA,FoodDemand_Crops,1
USA,FoodDemand_Meat,1
USA,NonFoodDemand_Crops,1
USA,NonFoodDemand_Meat,1
USA,NonFoodDemand_Forest,1
USA,Exports_Meat,0
Western Europe,FoodDemand_Crops,1
Western Europe,FoodDemand_Meat,1
Western Europe,NonFoodDemand_Crops,1
Western Europe,NonFoodDemand_Meat,1
Western Europe,NonFoodDemand_Forest,1
Western Europe,Exports_Meat,0
