INPUT_TABLE
Variable ID
ItemName_Unmgd

region,AgSupplySector,AgSupplySubsector,UnmanagedLandTechnology,year,itemName
Africa,UnmanagedLand,Savannah BurningAEZ01,Savannah BurningAEZ01,1975,GrasslandAEZ01
Africa,UnmanagedLand,DeforestationAEZ01,DeforestationAEZ01,1975,UnmanagedForestAEZ01
Africa,UnmanagedLand,Forest FiresAEZ01,Forest FiresAEZ01,1975,UnmanagedForestAEZ01
Australia_NZ,UnmanagedLand,Savannah BurningAEZ01,Savannah BurningAEZ01,1975,GrasslandAEZ01
Australia_NZ,UnmanagedLand,DeforestationAEZ01,DeforestationAEZ01,1975,UnmanagedForestAEZ01
Australia_NZ,UnmanagedLand,Forest FiresAEZ01,Forest FiresAEZ01,1975,UnmanagedForestAEZ01
Latin America,UnmanagedLand,Savannah BurningAEZ01,Savannah BurningAEZ01,1975,GrasslandAEZ01
Latin America,UnmanagedLand,DeforestationAEZ01,DeforestationAEZ01,1975,UnmanagedForestAEZ01
Latin America,UnmanagedLand,Forest FiresAEZ01,Forest FiresAEZ01,1975,UnmanagedForestAEZ01
Middle East,UnmanagedLand,Savannah BurningAEZ01,Savannah BurningAEZ01,1975,GrasslandAEZ01
Africa,UnmanagedLand,Savannah BurningAEZ02,Savannah BurningAEZ02,1975,GrasslandAEZ02
Africa,UnmanagedLand,DeforestationAEZ02,DeforestationAEZ02,1975,UnmanagedForestAEZ02
Africa,UnmanagedLand,Forest FiresAEZ02,Forest FiresAEZ02,1975,UnmanagedForestAEZ02
Australia_NZ,UnmanagedLand,Savannah BurningAEZ02,Savannah BurningAEZ02,1975,GrasslandAEZ02
India,UnmanagedLand,Savannah BurningAEZ02,Savannah BurningAEZ02,1975,GrasslandAEZ02
India,UnmanagedLand,DeforestationAEZ02,DeforestationAEZ02,1975,UnmanagedForestAEZ02
India,UnmanagedLand,Forest FiresAEZ02,Forest FiresAEZ02,1975,UnmanagedForestAEZ02
Latin America,UnmanagedLand,Savannah BurningAEZ02,Savannah BurningAEZ02,1975,GrasslandAEZ02
Latin America,UnmanagedLand,DeforestationAEZ02,DeforestationAEZ02,1975,UnmanagedForestAEZ02
Latin America,UnmanagedLand,Forest FiresAEZ02,Forest FiresAEZ02,1975,UnmanagedForestAEZ02
Middle East,UnmanagedLand,Savannah BurningAEZ02,Savannah BurningAEZ02,1975,GrasslandAEZ02
Africa,UnmanagedLand,Savannah BurningAEZ03,Savannah BurningAEZ03,1975,GrasslandAEZ03
Africa,UnmanagedLand,DeforestationAEZ03,DeforestationAEZ03,1975,UnmanagedForestAEZ03
Africa,UnmanagedLand,Forest FiresAEZ03,Forest FiresAEZ03,1975,UnmanagedForestAEZ03
Australia_NZ,UnmanagedLand,Savannah BurningAEZ03,Savannah BurningAEZ03,1975,GrasslandAEZ03
Australia_NZ,UnmanagedLand,DeforestationAEZ03,DeforestationAEZ03,1975,UnmanagedForestAEZ03
Australia_NZ,UnmanagedLand,Forest FiresAEZ03,Forest FiresAEZ03,1975,UnmanagedForestAEZ03
India,UnmanagedLand,Savannah BurningAEZ03,Savannah BurningAEZ03,1975,GrasslandAEZ03
India,UnmanagedLand,DeforestationAEZ03,DeforestationAEZ03,1975,UnmanagedForestAEZ03
India,UnmanagedLand,Forest FiresAEZ03,Forest FiresAEZ03,1975,UnmanagedForestAEZ03
Latin America,UnmanagedLand,Savannah BurningAEZ03,Savannah BurningAEZ03,1975,GrasslandAEZ03
Latin America,UnmanagedLand,DeforestationAEZ03,DeforestationAEZ03,1975,UnmanagedForestAEZ03
Latin America,UnmanagedLand,Forest FiresAEZ03,Forest FiresAEZ03,1975,UnmanagedForestAEZ03
Middle East,UnmanagedLand,Savannah BurningAEZ03,Savannah BurningAEZ03,1975,GrasslandAEZ03
Southeast Asia,UnmanagedLand,Savannah BurningAEZ03,Savannah BurningAEZ03,1975,GrasslandAEZ03
Southeast Asia,UnmanagedLand,DeforestationAEZ03,DeforestationAEZ03,1975,UnmanagedForestAEZ03
Southeast Asia,UnmanagedLand,Forest FiresAEZ03,Forest FiresAEZ03,1975,UnmanagedForestAEZ03
Africa,UnmanagedLand,Savannah BurningAEZ04,Savannah BurningAEZ04,1975,GrasslandAEZ04
Africa,UnmanagedLand,DeforestationAEZ04,DeforestationAEZ04,1975,UnmanagedForestAEZ04
