INPUT_TABLE
Variable ID
FixedOutput

region,supplysector,subsector,technology,year,fixedOutput
Africa,N fertilizer,Imports,Imports,1990,0
Australia_NZ,N fertilizer,Imports,Imports,1990,0.2279177
Canada,N fertilizer,Imports,Imports,1990,0
China,N fertilizer,Imports,Imports,1990,6.0898066
Eastern Europe,N fertilizer,Imports,Imports,1990,0
Former Soviet Union,N fertilizer,Imports,Imports,1990,0
India,N fertilizer,Imports,Imports,1990,1.1321538
Japan,N fertilizer,Imports,Imports,1990,0
Korea,N fertilizer,Imports,Imports,1990,0
Latin America,N fertilizer,Imports,Imports,1990,0.7185055
Middle East,N fertilizer,Imports,Imports,1990,0
Southeast Asia,N fertilizer,Imports,Imports,1990,0.7172224
USA,N fertilizer,Imports,Imports,1990,0
Western Europe,N fertilizer,Imports,Imports,1990,0.8407649
Africa,N fertilizer,Imports,Imports,2005,0
Australia_NZ,N fertilizer,Imports,Imports,2005,0.7624907
Canada,N fertilizer,Imports,Imports,2005,0
China,N fertilizer,Imports,Imports,2005,0.9418198
Eastern Europe,N fertilizer,Imports,Imports,2005,0
Former Soviet Union,N fertilizer,Imports,Imports,2005,0
India,N fertilizer,Imports,Imports,2005,2.2540597
Japan,N fertilizer,Imports,Imports,2005,0
Korea,N fertilizer,Imports,Imports,2005,0.0178799
Latin America,N fertilizer,Imports,Imports,2005,3.0682468
Middle East,N fertilizer,Imports,Imports,2005,0
Southeast Asia,N fertilizer,Imports,Imports,2005,2.1544974
USA,N fertilizer,Imports,Imports,2005,3.194071
Western Europe,N fertilizer,Imports,Imports,2005,2.2377918
Africa,N fertilizer,Imports,Imports,2020,0
Australia_NZ,N fertilizer,Imports,Imports,2020,0.7624907
Canada,N fertilizer,Imports,Imports,2020,0
China,N fertilizer,Imports,Imports,2020,0.9418198
Eastern Europe,N fertilizer,Imports,Imports,2020,0
Former Soviet Union,N fertilizer,Imports,Imports,2020,0
India,N fertilizer,Imports,Imports,2020,2.2540597
Japan,N fertilizer,Imports,Imports,2020,0
Korea,N fertilizer,Imports,Imports,2020,0.0178799
Latin America,N fertilizer,Imports,Imports,2020,3.0682468
Middle East,N fertilizer,Imports,Imports,2020,0
Southeast Asia,N fertilizer,Imports,Imports,2020,2.1544974
USA,N fertilizer,Imports,Imports,2020,3.194071
Western Europe,N fertilizer,Imports,Imports,2020,2.2377918
Africa,N fertilizer,Imports,Imports,2035,0
Australia_NZ,N fertilizer,Imports,Imports,2035,0.7624907
Canada,N fertilizer,Imports,Imports,2035,0
China,N fertilizer,Imports,Imports,2035,0.9418198
Eastern Europe,N fertilizer,Imports,Imports,2035,0
Former Soviet Union,N fertilizer,Imports,Imports,2035,0
India,N fertilizer,Imports,Imports,2035,2.2540597
Japan,N fertilizer,Imports,Imports,2035,0
Korea,N fertilizer,Imports,Imports,2035,0.0178799
Latin America,N fertilizer,Imports,Imports,2035,3.0682468
Middle East,N fertilizer,Imports,Imports,2035,0
Southeast Asia,N fertilizer,Imports,Imports,2035,2.1544974
USA,N fertilizer,Imports,Imports,2035,3.194071
Western Europe,N fertilizer,Imports,Imports,2035,2.2377918
Africa,N fertilizer,Imports,Imports,2050,0
Australia_NZ,N fertilizer,Imports,Imports,2050,0.7624907
Canada,N fertilizer,Imports,Imports,2050,0
China,N fertilizer,Imports,Imports,2050,0.9418198
Eastern Europe,N fertilizer,Imports,Imports,2050,0
Former Soviet Union,N fertilizer,Imports,Imports,2050,0
India,N fertilizer,Imports,Imports,2050,2.2540597
Japan,N fertilizer,Imports,Imports,2050,0
Korea,N fertilizer,Imports,Imports,2050,0.0178799
Latin America,N fertilizer,Imports,Imports,2050,3.0682468
Middle East,N fertilizer,Imports,Imports,2050,0
