INPUT_TABLE
Variable ID
MAC_5pt

region,supplysector,subsector,technology,year,generic.ghg,X0,X55,X110,X165,X220
Africa,Beef,Mixed,FodderHerb_Residue,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,Beef,Mixed,Pasture_FodderGrass,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,Beef,Mixed,FeedCrops,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,Beef,Mixed,Scavenging_Other,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,Beef,Pastoral,FodderHerb_Residue,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,Beef,Pastoral,Pasture_FodderGrass,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,Beef,Pastoral,FeedCrops,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,Beef,Pastoral,Scavenging_Other,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,Dairy,Mixed,FodderHerb_Residue,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,Dairy,Mixed,Pasture_FodderGrass,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,Dairy,Mixed,FeedCrops,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,Dairy,Mixed,Scavenging_Other,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,Dairy,Pastoral,FodderHerb_Residue,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,Dairy,Pastoral,Pasture_FodderGrass,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,Dairy,Pastoral,FeedCrops,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,Dairy,Pastoral,Scavenging_Other,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,Pork,Mixed,FodderHerb_Residue,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,Pork,Mixed,Pasture_FodderGrass,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,Pork,Mixed,FeedCrops,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,Pork,Mixed,Scavenging_Other,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,Poultry,Mixed,FodderHerb_Residue,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,Poultry,Mixed,Pasture_FodderGrass,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,Poultry,Mixed,FeedCrops,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,Poultry,Mixed,Scavenging_Other,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,SheepGoat,Mixed,FodderHerb_Residue,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,SheepGoat,Mixed,Pasture_FodderGrass,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,SheepGoat,Mixed,FeedCrops,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,SheepGoat,Mixed,Scavenging_Other,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,SheepGoat,Pastoral,FodderHerb_Residue,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,SheepGoat,Pastoral,Pasture_FodderGrass,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,SheepGoat,Pastoral,FeedCrops,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Africa,SheepGoat,Pastoral,Scavenging_Other,2020,N2O_AGR,0.111,0.1279,0.1393,0.1447,0.145
Australia_NZ,Beef,Mixed,FodderHerb_Residue,2020,N2O_AGR,0.2118,0.2118,0.2488,0.3471,0.3471
Australia_NZ,Beef,Mixed,Pasture_FodderGrass,2020,N2O_AGR,0.2118,0.2118,0.2488,0.3471,0.3471
Australia_NZ,Beef,Mixed,FeedCrops,2020,N2O_AGR,0.2118,0.2118,0.2488,0.3471,0.3471
Australia_NZ,Beef,Mixed,Scavenging_Other,2020,N2O_AGR,0.2118,0.2118,0.2488,0.3471,0.3471
Australia_NZ,Beef,Pastoral,FodderHerb_Residue,2020,N2O_AGR,0.2118,0.2118,0.2488,0.3471,0.3471
Australia_NZ,Beef,Pastoral,Pasture_FodderGrass,2020,N2O_AGR,0.2118,0.2118,0.2488,0.3471,0.3471
Australia_NZ,Beef,Pastoral,FeedCrops,2020,N2O_AGR,0.2118,0.2118,0.2488,0.3471,0.3471
Australia_NZ,Beef,Pastoral,Scavenging_Other,2020,N2O_AGR,0.2118,0.2118,0.2488,0.3471,0.3471
Australia_NZ,Dairy,Mixed,FodderHerb_Residue,2020,N2O_AGR,0.2118,0.2118,0.2488,0.3471,0.3471
Australia_NZ,Dairy,Mixed,Pasture_FodderGrass,2020,N2O_AGR,0.2118,0.2118,0.2488,0.3471,0.3471
Australia_NZ,Dairy,Mixed,FeedCrops,2020,N2O_AGR,0.2118,0.2118,0.2488,0.3471,0.3471
Australia_NZ,Dairy,Mixed,Scavenging_Other,2020,N2O_AGR,0.2118,0.2118,0.2488,0.3471,0.3471
Australia_NZ,Dairy,Pastoral,FodderHerb_Residue,2020,N2O_AGR,0.2118,0.2118,0.2488,0.3471,0.3471
Australia_NZ,Dairy,Pastoral,Pasture_FodderGrass,2020,N2O_AGR,0.2118,0.2118,0.2488,0.3471,0.3471
Australia_NZ,Dairy,Pastoral,FeedCrops,2020,N2O_AGR,0.2118,0.2118,0.2488,0.3471,0.3471
Australia_NZ,Dairy,Pastoral,Scavenging_Other,2020,N2O_AGR,0.2118,0.2118,0.2488,0.3471,0.3471
