Final demands,,,,,,,,,,,,,,,,,,,,,,,,,,,Kcal/pers/d,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,1990,2000,2005,2020,2030,2035,2050,2065,2080,2095,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,,,,,USA,2393,,2602,2614,,2620,2620,2620,2620,2620,,,,,,,,
30,,,food demands are in Pcal,,,,,,,,,,,,,,,,,,,,,,,Canada,2160,,2670,2684,,2691,2691,2691,2691,2691,,,,,,,,
,,,base-service,,,2020 fillout,income-elasticity,,,,,,,,,,,,,,,,,,,Western Europe,2456,,2568,2578,,2584,2584,2584,2584,2584,,,,,,,,
region,energy-final-demand,perCapitaBased,1975,1990,2005,price-elasticity,2020,2035,2050,2065,2080,2095,final-energy-consumer,,regionID,,,,,,,,,,,Japan,2228,,2128,2135,,2140,2140,2140,2140,2140,,,,,,,,
USA,FoodDemand_Crops,1,1,218.4806895,281.5610821,0,0.02,0.01,0.00,0,0,0,,,1,,,,,,,,,,,Australia_NZ,2028,,2122,2131,,2136,2136,2136,2136,2136,,,,,,,,
Canada,FoodDemand_Crops,1,1,21.83661643,31.45077816,0,0.02,0.01,0.00,0,0,0,,,2,,,,,,,,,,,Former Soviet Union,2509,,2513,2594,,2668,2714,2714,2714,2714,,,,,,,,
Western Europe,FoodDemand_Crops,1,1,389.4056139,444.3343342,0,0.02,0.01,0.00,0,0,0,,,3,,,,,,,,,,,China,2333,,2400,2493,,2552,2552,2552,2552,2552,,,,,,,,
Japan,FoodDemand_Crops,1,1,100.421365,99.21328716,0,0.02,0.01,0.00,0,0,0,,,4,,,,,,,,,,,Middle East,2285,,2341,2372,,2394,2400,2400,2400,2400,,,,,,,,
Australia_NZ,FoodDemand_Crops,1,1,15.19615679,19.03031608,0,0.02,0.01,0.00,0,0,0,,,5,,,,,,,,,,,Africa,2257,,2423,2634,,2832,3005,3005,3005,3005,,,,,,,,
Former Soviet Union,FoodDemand_Crops,1,1,264.7219389,261.3016781,0,0.06,0.06,0.04,0,0,0,,,6,,,,,,,,,,,Latin America,2347,,2431,2509,,2563,2572,2572,2572,2572,,,,,,,,
China,FoodDemand_Crops,1,1,1041.675381,1249.584803,0,0.04,0.03,0.00,0,0,0,,,7,,,,,,,,,,,Southeast Asia,2165,,2269,2408,,2527,2611,2611,2611,2611,,,,,,,,
Middle East,FoodDemand_Crops,1,1,109.6502891,160.0802769,0,0.05,0.04,0.01,0,0,0,,,8,,,,,,,,,,,Eastern Europe,2052,,2466,2546,,2611,2658,2658,2658,2658,,,,,,,,
Africa,FoodDemand_Crops,1,1,519.5646065,790.3940632,0,0.32,0.33,0.27,0,0,0,,,9,,,,,,,,,,,Korea,2599,,2431,2442,,2449,2449,2449,2449,2449,,,,,,,,
Latin America,FoodDemand_Crops,1,1,374.0133686,491.8778133,0,0.15,0.13,0.01,0,0,0,,,10,,,,,,,,,,,India,2317,,2316,2489,,2643,2753,2753,2753,2753,,,,,,,,
Southeast Asia,FoodDemand_Crops,1,1,526.5100864,720.397922,0,0.09,0.09,0.06,0,0,0,,,11,,,,,,,,,,,FAO: industrialized,2598,2724,2727,2739,2747,2750,2762,,,,,,,,,,,
Eastern Europe,FoodDemand_Crops,1,1,92.04830865,105.148969,0,0.06,0.06,0.04,0,0,0,,,12,,,,,,,,,,,FAO: reforming,2698,2454,2480,2559,2613,2628,2673,,,,,,,,,,,
Korea,FoodDemand_Crops,1,1,40.67222161,42.84874964,0,0.02,0.01,0.00,0,0,0,,,13,,,,,,,,,,,FAO: Africa,2017,2108,2167,2354,2487,2537,2694,,,,,,,,,,,
India,FoodDemand_Crops,1,1,718.4529186,925.3061348,0,0.09,0.09,0.06,0,0,0,,,14,,,,,,,,,,,FAO: Middle East,2807,2764,2777,2813,2838,2840,2847,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,FAO: Latin America,2358,2417,2442,2519,2572,2575,2584,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,,,,,FAO: South Asia,2218,2258,2307,2459,2566,2598,2694,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,,,,,FAO: East Asia,2520,2690,2724,2829,2901,2898,2891,,,,,,,,,,,
30,,,food demands are in Pcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,base-service,,,2020 fillout,income-elasticity,,,,,,,,,,,,,,,,,,,,Kcal/pers/d,,,,,,,,,,,,,,,,,
region,energy-final-demand,perCapitaBased,1975,1990,2005,price-elasticity,2020,2035,2050,2065,2080,2095,final-energy-consumer,,regionID,,,,,,,,,,,,1990,2000,2005,2020,2030,2035,2050,2065,2080,2095,,,,,,,,
USA,FoodDemand_Meat,1,1,119.1999196,147.8601121,-0.09,0.17,0.16,0.11,0,0,0,,,1,,,,,,,,,,,USA,1305,,1367,1418,,1456,1486,1486,1486,1486,,,,,,,,
Canada,FoodDemand_Meat,1,1,12.88879757,15.09149717,-0.25,0.17,0.16,0.11,0,0,0,,,2,,,,,,,,,,,Canada,1275,,1281,1338,,1377,1406,1406,1406,1406,,,,,,,,
Western Europe,FoodDemand_Meat,1,1,200.2672032,218.945859,-0.25,0.17,0.16,0.11,0,0,0,,,3,,,,,,,,,,,Western Europe,1263,,1266,1305,,1343,1368,1368,1368,1368,,,,,,,,
Japan,FoodDemand_Meat,1,1,26.88878119,28.85872585,-0.25,0.17,0.16,0.11,0,0,0,,,4,,,,,,,,,,,Japan,597,,619,636,,653,667,667,667,667,,,,,,,,
Australia_NZ,FoodDemand_Meat,1,1,9.74771768,11.24839476,-0.25,0.17,0.16,0.11,0,0,0,,,5,,,,,,,,,,,Australia_NZ,1301,,1254,1298,,1335,1363,1363,1363,1363,,,,,,,,
Former Soviet Union,FoodDemand_Meat,1,1,104.3131441,71.9322092,-0.25,0.17,0.21,0.18,0,0,0,,,6,,,,,,,,,,,Former Soviet Union,989,,692,761,,834,902,902,902,902,,,,,,,,
China,FoodDemand_Meat,1,1,131.9353133,292.9754957,-0.25,0.23,0.25,0.22,0,0,0,,,7,,,,,,,,,,,China,295,,563,713,,849,955,955,955,955,,,,,,,,
Middle East,FoodDemand_Meat,1,1,14.14151103,23.55809521,-0.25,0.58,0.53,0.53,0,0,0,,,8,,,,,,,,,,,Middle East,295,,344,408,,470,529,529,529,529,,,,,,,,
Africa,FoodDemand_Meat,1,1,39.17435945,58.69945768,-0.25,0.56,0.61,0.61,0,0,0,,,9,,,,,,,,,,,Africa,170,,180,208,,238,272,272,272,272,,,,,,,,
Latin America,FoodDemand_Meat,1,1,74.91367712,114.9886653,-0.25,0.65,0.68,0.29,0,0,0,,,10,,,,,,,,,,,Latin America,470,,568,652,,729,795,795,795,795,,,,,,,,
Southeast Asia,FoodDemand_Meat,1,1,39.20917044,70.54752764,-0.25,0.38,0.34,0.32,0,0,0,,,11,,,,,,,,,,,Southeast Asia,161,,222,283,,343,403,403,403,403,,,,,,,,
Eastern Europe,FoodDemand_Meat,1,1,47.99653467,47.23714541,-0.25,0.17,0.21,0.18,0,0,0,,,12,,,,,,,,,,,Eastern Europe,1070,,1108,1219,,1323,1437,1437,1437,1437,,,,,,,,
Korea,FoodDemand_Meat,1,1,5.402591896,10.08920375,-0.25,0.17,0.16,0.11,0,0,0,,,13,,,,,,,,,,,Korea,345,,572,593,,615,633,633,633,633,,,,,,,,
India,FoodDemand_Meat,1,1,41.36957095,75.02608392,-0.25,0.38,0.34,0.32,0,0,0,,,14,,,,,,,,,,,India,133,,188,252,,320,391,391,391,391,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,FAO: industrialized,694,722,731,756,773,779,796,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,,,,,FAO: reforming,582,446,460,505,537,551,597,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,,,,,FAO: Africa,89,86,90,103,113,119,136,,,,,,,,,,,
30,,,nonfood demands are in Mt,,,,,,,,,,,,,,,,,,,,,,,FAO: Middle East,204,210,221,261,292,304,343,,,,,,,,,,,
,,,base-service,,,2020 fillout,income-elasticity,,,,,,,,,,,,,,,,,,,FAO: Latin America,331,419,438,501,548,565,616,,,,,,,,,,,
region,energy-final-demand,perCapitaBased,1975,1990,2005,price-elasticity,2020,2035,2050,2065,2080,2095,final-energy-consumer,,regionID,,,,,,,,,,,FAO: South Asia,111,134,146,188,224,238,286,,,,,,,,,,,
USA,NonFoodDemand_Crops,1,1,132.0279116,172.8322979,0,0,0,0,0,0,0,,,1,,,,,,,,,,,FAO: East Asia,105,182,197,248,289,301,339,,,,,,,,,,,
Canada,NonFoodDemand_Crops,1,1,9.276304308,8.917726869,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,NonFoodDemand_Crops,1,1,307.9823538,246.5746271,0,0,0,0,0,0,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,NonFoodDemand_Crops,1,1,20.31081179,18.01509132,0,0,0,0,0,0,0,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia_NZ,NonFoodDemand_Crops,1,1,25.86707785,42.87653193,0,0,0,0,0,0,0,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Former Soviet Union,NonFoodDemand_Crops,1,1,292.1605494,128.6204622,0,0,0,0,0,0,0,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,NonFoodDemand_Crops,1,1,268.2562105,394.6162602,0,0,0,0,0,0,0,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East,NonFoodDemand_Crops,1,1,29.31434504,41.26584974,0,0,0,0,0,0,0,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,NonFoodDemand_Crops,1,1,154.6392864,236.3828449,0,0,0,0,0,0,0,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America,NonFoodDemand_Crops,1,1,530.3656823,729.8208106,0,0,0,0,0,0,0,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeast Asia,NonFoodDemand_Crops,1,1,218.7422414,401.1818321,0,0,0,0,0,0,0,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe,NonFoodDemand_Crops,1,1,127.5838999,57.23705468,0,0,0,0,0,0,0,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korea,NonFoodDemand_Crops,1,1,7.828998793,9.707737469,0,0,0,0,0,0,0,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,NonFoodDemand_Crops,1,1,245.2427367,308.4650829,0,0,0,0,0,0,0,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,nonfood demands are in Mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,base-service,,,2020 fillout,income-elasticity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
region,energy-final-demand,perCapitaBased,1975,1990,2005,price-elasticity,2020,2035,2050,2065,2080,2095,final-energy-consumer,,regionID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NonFoodDemand_Meat,1,1,18.34219437,26.09850799,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,NonFoodDemand_Meat,1,1,3.443522724,5.325447385,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,NonFoodDemand_Meat,1,1,79.77121191,78.22067827,0,0,0,0,0,0,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,NonFoodDemand_Meat,1,1,7.010578747,4.232341727,0,0,0,0,0,0,0,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia_NZ,NonFoodDemand_Meat,1,1,4.54014951,9.455719711,0,0,0,0,0,0,0,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Former Soviet Union,NonFoodDemand_Meat,1,1,70.31935872,29.2354994,0,0,0,0,0,0,0,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,NonFoodDemand_Meat,1,1,9.277642849,22.89667323,0,0,0,0,0,0,0,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East,NonFoodDemand_Meat,1,1,3.836431389,6.786729642,0,0,0,0,0,0,0,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,NonFoodDemand_Meat,1,1,5.55686885,7.992570205,0,0,0,0,0,0,0,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America,NonFoodDemand_Meat,1,1,15.72032671,24.27557996,0,0,0,0,0,0,0,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeast Asia,NonFoodDemand_Meat,1,1,6.50818429,11.78737935,0,0,0,0,0,0,0,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe,NonFoodDemand_Meat,1,1,22.82102633,13.16292098,0,0,0,0,0,0,0,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korea,NonFoodDemand_Meat,1,1,2.125683734,2.976366569,0,0,0,0,0,0,0,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,NonFoodDemand_Meat,1,1,8.295195473,21.56304698,0,0,0,0,0,0,0,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,Forest products are in billion cubic meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,base-service,,,2020 fillout,income-elasticity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
region,energy-final-demand,perCapitaBased,1975,1990,2005,price-elasticity,2020,2035,2050,2065,2080,2095,final-energy-consumer,,regionID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NonFoodDemand_Forest,1,1,0.475412449,0.444281399,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,NonFoodDemand_Forest,1,1,0.17567242,0.188162346,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,NonFoodDemand_Forest,1,1,0.319804036,0.390161663,0,0,0,0,0,0,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,NonFoodDemand_Forest,1,1,0.056441513,0.027563927,0,0,0,0,0,0,0,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia_NZ,NonFoodDemand_Forest,1,1,0.030234579,0.044780048,0,0,0,0,0,0,0,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Former Soviet Union,NonFoodDemand_Forest,1,1,0.338800825,0.183693436,0,0,0,0,0,0,0,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,NonFoodDemand_Forest,1,1,0.435722683,0.379380178,0,0,0,0,0,0,0,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East,NonFoodDemand_Forest,1,1,0.00234551,0.002303704,0,0,0,0,0,0,0,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,NonFoodDemand_Forest,1,1,0.493908026,0.637974287,0,0,0,0,0,0,0,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America,NonFoodDemand_Forest,1,1,0.356371558,0.45774111,0,0,0,0,0,0,0,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeast Asia,NonFoodDemand_Forest,1,1,0.352681009,0.315542631,0,0,0,0,0,0,0,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe,NonFoodDemand_Forest,1,1,0.072874293,0.093869132,0,0,0,0,0,0,0,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korea,NonFoodDemand_Forest,1,1,0.012319003,0.011132236,0,0,0,0,0,0,0,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,NonFoodDemand_Forest,1,1,0.30182212,0.330258726,0,0,0,0,0,0,0,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,Meat trade is in Mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,base-service,,,2020 fillout,income-elasticity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
