INPUT_TABLE
Variable ID
CalInput

region,supplysector,subsector,technology,year,minicam.energy.input,calibrated.value
USA,industrial feedstocks,biomass,biomass,1990,delivered biomass,0
USA,industrial feedstocks,coal,coal,1990,delivered coal,0
USA,industrial feedstocks,gas,gas,1990,wholesale gas,0.266188
USA,industrial feedstocks,refined liquids,refined liquids,1990,refined liquids industrial,4.2504477
Canada,industrial feedstocks,biomass,biomass,1990,delivered biomass,0
Canada,industrial feedstocks,coal,coal,1990,delivered coal,0.013649
Canada,industrial feedstocks,gas,gas,1990,wholesale gas,0.0726758
Canada,industrial feedstocks,refined liquids,refined liquids,1990,refined liquids industrial,0.4666147
Western Europe,industrial feedstocks,biomass,biomass,1990,delivered biomass,0
Western Europe,industrial feedstocks,coal,coal,1990,delivered coal,0.0516567
Western Europe,industrial feedstocks,gas,gas,1990,wholesale gas,0.2340593
Western Europe,industrial feedstocks,refined liquids,refined liquids,1990,refined liquids industrial,3.236403
Japan,industrial feedstocks,biomass,biomass,1990,delivered biomass,0
Japan,industrial feedstocks,coal,coal,1990,delivered coal,0.0159015
Japan,industrial feedstocks,gas,gas,1990,wholesale gas,0.0013649
Japan,industrial feedstocks,refined liquids,refined liquids,1990,refined liquids industrial,1.4605275
Australia_NZ,industrial feedstocks,biomass,biomass,1990,delivered biomass,0
Australia_NZ,industrial feedstocks,coal,coal,1990,delivered coal,0
Australia_NZ,industrial feedstocks,gas,gas,1990,wholesale gas,0.0339992
Australia_NZ,industrial feedstocks,refined liquids,refined liquids,1990,refined liquids industrial,0.1560085
Former Soviet Union,industrial feedstocks,biomass,biomass,1990,delivered biomass,0
Former Soviet Union,industrial feedstocks,coal,coal,1990,delivered coal,0.0009462
Former Soviet Union,industrial feedstocks,gas,gas,1990,wholesale gas,0.6776567
Former Soviet Union,industrial feedstocks,refined liquids,refined liquids,1990,refined liquids industrial,0.8462904
China,industrial feedstocks,biomass,biomass,1990,delivered biomass,0
China,industrial feedstocks,coal,coal,1990,delivered coal,0.5416947
China,industrial feedstocks,gas,gas,1990,wholesale gas,0.117005
China,industrial feedstocks,refined liquids,refined liquids,1990,refined liquids industrial,0.7567351
Middle East,industrial feedstocks,biomass,biomass,1990,delivered biomass,0
Middle East,industrial feedstocks,coal,coal,1990,delivered coal,0
Middle East,industrial feedstocks,gas,gas,1990,wholesale gas,0.2889009
