INPUT_TABLE
Variable ID
Tech

region,supplysector,subsector,technology,apply.to,from.year,to.year,interpolation.function,CO2,share.weight,input.cost
Africa,FoodDemand_Crops,Corn,Corn,share-weight,2005,9999,fixed,CO2,1,0
Africa,FoodDemand_Crops,FiberCrop,FiberCrop,share-weight,2005,9999,fixed,CO2,1,0
Africa,FoodDemand_Crops,MiscCrop,MiscCrop,share-weight,2005,9999,fixed,CO2,1,0
Africa,FoodDemand_Crops,OilCrop,OilCrop,share-weight,2005,9999,fixed,CO2,1,0
Africa,FoodDemand_Crops,OtherGrain,OtherGrain,share-weight,2005,9999,fixed,CO2,1,0
Africa,FoodDemand_Crops,PalmFruit,PalmFruit,share-weight,2005,9999,fixed,CO2,1,0
Africa,FoodDemand_Crops,Rice,Rice,share-weight,2005,9999,fixed,CO2,1,0
Africa,FoodDemand_Crops,Root_Tuber,Root_Tuber,share-weight,2005,9999,fixed,CO2,1,0
Africa,FoodDemand_Crops,SugarCrop,SugarCrop,share-weight,2005,9999,fixed,CO2,1,0
Africa,FoodDemand_Crops,Wheat,Wheat,share-weight,2005,9999,fixed,CO2,1,0
Africa,FoodDemand_Meat,Beef,Beef,share-weight,2005,9999,fixed,CO2,1,0
Africa,FoodDemand_Meat,Dairy,Dairy,share-weight,2005,9999,fixed,CO2,1,0
Africa,FoodDemand_Meat,Pork,Pork,share-weight,2005,9999,fixed,CO2,1,0
Africa,FoodDemand_Meat,Poultry,Poultry,share-weight,2005,9999,fixed,CO2,1,0
Africa,FoodDemand_Meat,SheepGoat,SheepGoat,share-weight,2005,9999,fixed,CO2,1,0
Africa,FoodDemand_Meat,OtherMeat_Fish,OtherMeat_Fish,share-weight,2005,9999,fixed,CO2,1,0
Australia_NZ,FoodDemand_Crops,Corn,Corn,share-weight,2005,9999,fixed,CO2,1,0
Australia_NZ,FoodDemand_Crops,FiberCrop,FiberCrop,share-weight,2005,9999,fixed,CO2,1,0
Australia_NZ,FoodDemand_Crops,MiscCrop,MiscCrop,share-weight,2005,9999,fixed,CO2,1,0
Australia_NZ,FoodDemand_Crops,OilCrop,OilCrop,share-weight,2005,9999,fixed,CO2,1,0
Australia_NZ,FoodDemand_Crops,OtherGrain,OtherGrain,share-weight,2005,9999,fixed,CO2,1,0
Australia_NZ,FoodDemand_Crops,PalmFruit,PalmFruit,share-weight,2005,9999,fixed,CO2,1,0
Australia_NZ,FoodDemand_Crops,Rice,Rice,share-weight,2005,9999,fixed,CO2,1,0
Australia_NZ,FoodDemand_Crops,Root_Tuber,Root_Tuber,share-weight,2005,9999,fixed,CO2,1,0
Australia_NZ,FoodDemand_Crops,SugarCrop,SugarCrop,share-weight,2005,9999,fixed,CO2,1,0
Australia_NZ,FoodDemand_Crops,Wheat,Wheat,share-weight,2005,9999,fixed,CO2,1,0
Australia_NZ,FoodDemand_Meat,Beef,Beef,share-weight,2005,9999,fixed,CO2,1,0
Australia_NZ,FoodDemand_Meat,Dairy,Dairy,share-weight,2005,9999,fixed,CO2,1,0
Australia_NZ,FoodDemand_Meat,Pork,Pork,share-weight,2005,9999,fixed,CO2,1,0
Australia_NZ,FoodDemand_Meat,Poultry,Poultry,share-weight,2005,9999,fixed,CO2,1,0
Australia_NZ,FoodDemand_Meat,SheepGoat,SheepGoat,share-weight,2005,9999,fixed,CO2,1,0
Australia_NZ,FoodDemand_Meat,OtherMeat_Fish,OtherMeat_Fish,share-weight,2005,9999,fixed,CO2,1,0
Canada,FoodDemand_Crops,Corn,Corn,share-weight,2005,9999,fixed,CO2,1,0
Canada,FoodDemand_Crops,FiberCrop,FiberCrop,share-weight,2005,9999,fixed,CO2,1,0
Canada,FoodDemand_Crops,MiscCrop,MiscCrop,share-weight,2005,9999,fixed,CO2,1,0
Canada,FoodDemand_Crops,OilCrop,OilCrop,share-weight,2005,9999,fixed,CO2,1,0
Canada,FoodDemand_Crops,OtherGrain,OtherGrain,share-weight,2005,9999,fixed,CO2,1,0
Canada,FoodDemand_Crops,PalmFruit,PalmFruit,share-weight,2005,9999,fixed,CO2,1,0
Canada,FoodDemand_Crops,Rice,Rice,share-weight,2005,9999,fixed,CO2,1,0
Canada,FoodDemand_Crops,Root_Tuber,Root_Tuber,share-weight,2005,9999,fixed,CO2,1,0
Canada,FoodDemand_Crops,SugarCrop,SugarCrop,share-weight,2005,9999,fixed,CO2,1,0
Canada,FoodDemand_Crops,Wheat,Wheat,share-weight,2005,9999,fixed,CO2,1,0
Canada,FoodDemand_Meat,Beef,Beef,share-weight,2005,9999,fixed,CO2,1,0
Canada,FoodDemand_Meat,Dairy,Dairy,share-weight,2005,9999,fixed,CO2,1,0
Canada,FoodDemand_Meat,Pork,Pork,share-weight,2005,9999,fixed,CO2,1,0
Canada,FoodDemand_Meat,Poultry,Poultry,share-weight,2005,9999,fixed,CO2,1,0
Canada,FoodDemand_Meat,SheepGoat,SheepGoat,share-weight,2005,9999,fixed,CO2,1,0
Canada,FoodDemand_Meat,OtherMeat_Fish,OtherMeat_Fish,share-weight,2005,9999,fixed,CO2,1,0
China,FoodDemand_Crops,Corn,Corn,share-weight,2005,9999,fixed,CO2,1,0
China,FoodDemand_Crops,FiberCrop,FiberCrop,share-weight,2005,9999,fixed,CO2,1,0
China,FoodDemand_Crops,MiscCrop,MiscCrop,share-weight,2005,9999,fixed,CO2,1,0
China,FoodDemand_Crops,OilCrop,OilCrop,share-weight,2005,9999,fixed,CO2,1,0
China,FoodDemand_Crops,OtherGrain,OtherGrain,share-weight,2005,9999,fixed,CO2,1,0
China,FoodDemand_Crops,PalmFruit,PalmFruit,share-weight,2005,9999,fixed,CO2,1,0
China,FoodDemand_Crops,Rice,Rice,share-weight,2005,9999,fixed,CO2,1,0
China,FoodDemand_Crops,Root_Tuber,Root_Tuber,share-weight,2005,9999,fixed,CO2,1,0
China,FoodDemand_Crops,SugarCrop,SugarCrop,share-weight,2005,9999,fixed,CO2,1,0
China,FoodDemand_Crops,Wheat,Wheat,share-weight,2005,9999,fixed,CO2,1,0
China,FoodDemand_Meat,Beef,Beef,share-weight,2005,9999,fixed,CO2,1,0
China,FoodDemand_Meat,Dairy,Dairy,share-weight,2005,9999,fixed,CO2,1,0
China,FoodDemand_Meat,Pork,Pork,share-weight,2005,9999,fixed,CO2,1,0
China,FoodDemand_Meat,Poultry,Poultry,share-weight,2005,9999,fixed,CO2,1,0
China,FoodDemand_Meat,SheepGoat,SheepGoat,share-weight,2005,9999,fixed,CO2,1,0
China,FoodDemand_Meat,OtherMeat_Fish,OtherMeat_Fish,share-weight,2005,9999,fixed,CO2,1,0
Eastern Europe,FoodDemand_Crops,Corn,Corn,share-weight,2005,9999,fixed,CO2,1,0
Eastern Europe,FoodDemand_Crops,FiberCrop,FiberCrop,share-weight,2005,9999,fixed,CO2,1,0
Eastern Europe,FoodDemand_Crops,MiscCrop,MiscCrop,share-weight,2005,9999,fixed,CO2,1,0
Eastern Europe,FoodDemand_Crops,OilCrop,OilCrop,share-weight,2005,9999,fixed,CO2,1,0
Eastern Europe,FoodDemand_Crops,OtherGrain,OtherGrain,share-weight,2005,9999,fixed,CO2,1,0
Eastern Europe,FoodDemand_Crops,PalmFruit,PalmFruit,share-weight,2005,9999,fixed,CO2,1,0
Eastern Europe,FoodDemand_Crops,Rice,Rice,share-weight,2005,9999,fixed,CO2,1,0
Eastern Europe,FoodDemand_Crops,Root_Tuber,Root_Tuber,share-weight,2005,9999,fixed,CO2,1,0
Eastern Europe,FoodDemand_Crops,SugarCrop,SugarCrop,share-weight,2005,9999,fixed,CO2,1,0
Eastern Europe,FoodDemand_Crops,Wheat,Wheat,share-weight,2005,9999,fixed,CO2,1,0
Eastern Europe,FoodDemand_Meat,Beef,Beef,share-weight,2005,9999,fixed,CO2,1,0
Eastern Europe,FoodDemand_Meat,Dairy,Dairy,share-weight,2005,9999,fixed,CO2,1,0
Eastern Europe,FoodDemand_Meat,Pork,Pork,share-weight,2005,9999,fixed,CO2,1,0
Eastern Europe,FoodDemand_Meat,Poultry,Poultry,share-weight,2005,9999,fixed,CO2,1,0
Eastern Europe,FoodDemand_Meat,SheepGoat,SheepGoat,share-weight,2005,9999,fixed,CO2,1,0
Eastern Europe,FoodDemand_Meat,OtherMeat_Fish,OtherMeat_Fish,share-weight,2005,9999,fixed,CO2,1,0
Former Soviet Union,FoodDemand_Crops,Corn,Corn,share-weight,2005,9999,fixed,CO2,1,0
Former Soviet Union,FoodDemand_Crops,FiberCrop,FiberCrop,share-weight,2005,9999,fixed,CO2,1,0
Former Soviet Union,FoodDemand_Crops,MiscCrop,MiscCrop,share-weight,2005,9999,fixed,CO2,1,0
Former Soviet Union,FoodDemand_Crops,OilCrop,OilCrop,share-weight,2005,9999,fixed,CO2,1,0
Former Soviet Union,FoodDemand_Crops,OtherGrain,OtherGrain,share-weight,2005,9999,fixed,CO2,1,0
Former Soviet Union,FoodDemand_Crops,PalmFruit,PalmFruit,share-weight,2005,9999,fixed,CO2,1,0
Former Soviet Union,FoodDemand_Crops,Rice,Rice,share-weight,2005,9999,fixed,CO2,1,0
Former Soviet Union,FoodDemand_Crops,Root_Tuber,Root_Tuber,share-weight,2005,9999,fixed,CO2,1,0
Former Soviet Union,FoodDemand_Crops,SugarCrop,SugarCrop,share-weight,2005,9999,fixed,CO2,1,0
Former Soviet Union,FoodDemand_Crops,Wheat,Wheat,share-weight,2005,9999,fixed,CO2,1,0
Former Soviet Union,FoodDemand_Meat,Beef,Beef,share-weight,2005,9999,fixed,CO2,1,0
Former Soviet Union,FoodDemand_Meat,Dairy,Dairy,share-weight,2005,9999,fixed,CO2,1,0
Former Soviet Union,FoodDemand_Meat,Pork,Pork,share-weight,2005,9999,fixed,CO2,1,0
Former Soviet Union,FoodDemand_Meat,Poultry,Poultry,share-weight,2005,9999,fixed,CO2,1,0
Former Soviet Union,FoodDemand_Meat,SheepGoat,SheepGoat,share-weight,2005,9999,fixed,CO2,1,0
Former Soviet Union,FoodDemand_Meat,OtherMeat_Fish,OtherMeat_Fish,share-weight,2005,9999,fixed,CO2,1,0
India,FoodDemand_Crops,Corn,Corn,share-weight,2005,9999,fixed,CO2,1,0
India,FoodDemand_Crops,FiberCrop,FiberCrop,share-weight,2005,9999,fixed,CO2,1,0
India,FoodDemand_Crops,MiscCrop,MiscCrop,share-weight,2005,9999,fixed,CO2,1,0
India,FoodDemand_Crops,OilCrop,OilCrop,share-weight,2005,9999,fixed,CO2,1,0
India,FoodDemand_Crops,OtherGrain,OtherGrain,share-weight,2005,9999,fixed,CO2,1,0
India,FoodDemand_Crops,PalmFruit,PalmFruit,share-weight,2005,9999,fixed,CO2,1,0
India,FoodDemand_Crops,Rice,Rice,share-weight,2005,9999,fixed,CO2,1,0
India,FoodDemand_Crops,Root_Tuber,Root_Tuber,share-weight,2005,9999,fixed,CO2,1,0
India,FoodDemand_Crops,SugarCrop,SugarCrop,share-weight,2005,9999,fixed,CO2,1,0
India,FoodDemand_Crops,Wheat,Wheat,share-weight,2005,9999,fixed,CO2,1,0
India,FoodDemand_Meat,Beef,Beef,share-weight,2005,9999,fixed,CO2,1,0
India,FoodDemand_Meat,Dairy,Dairy,share-weight,2005,9999,fixed,CO2,1,0
India,FoodDemand_Meat,Pork,Pork,share-weight,2005,9999,fixed,CO2,1,0
India,FoodDemand_Meat,Poultry,Poultry,share-weight,2005,9999,fixed,CO2,1,0
India,FoodDemand_Meat,SheepGoat,SheepGoat,share-weight,2005,9999,fixed,CO2,1,0
India,FoodDemand_Meat,OtherMeat_Fish,OtherMeat_Fish,share-weight,2005,9999,fixed,CO2,1,0
Japan,FoodDemand_Crops,Corn,Corn,share-weight,2005,9999,fixed,CO2,1,0
Japan,FoodDemand_Crops,FiberCrop,FiberCrop,share-weight,2005,9999,fixed,CO2,1,0
Japan,FoodDemand_Crops,MiscCrop,MiscCrop,share-weight,2005,9999,fixed,CO2,1,0
Japan,FoodDemand_Crops,OilCrop,OilCrop,share-weight,2005,9999,fixed,CO2,1,0
Japan,FoodDemand_Crops,OtherGrain,OtherGrain,share-weight,2005,9999,fixed,CO2,1,0
Japan,FoodDemand_Crops,PalmFruit,PalmFruit,share-weight,2005,9999,fixed,CO2,1,0
Japan,FoodDemand_Crops,Rice,Rice,share-weight,2005,9999,fixed,CO2,1,0
Japan,FoodDemand_Crops,Root_Tuber,Root_Tuber,share-weight,2005,9999,fixed,CO2,1,0
