INPUT_TABLE
Variable ID
LN3_MgdCarbon

region,LandAllocatorRoot,LandNode1,LandNode2,LandNode3,LandLeaf3,hist.veg.carbon.density,hist.soil.carbon.density,veg.carbon.density,soil.carbon.density,mature.age,min.veg.carbon.density,min.soil.carbon.density,GCAM_commodity,AEZ,Cdensity_LT,HarvestIndex,WaterContent,Root_Shoot,Yield
USA,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,biomassAEZ01,1.058,6,1.058,6,10,0,0,biomass,AEZ01,Pasture,1,0.15,0.77,2.17809695357534
Canada,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,biomassAEZ01,0.917,6,0.917,6,10,0,0,biomass,AEZ01,Pasture,1,0.15,0.77,1.88671769873158
Western Europe,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,biomassAEZ01,1.058,6,1.058,6,10,0,0,biomass,AEZ01,Pasture,1,0.15,0.77,2.17809695357534
Japan,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,biomassAEZ01,1.058,6,1.058,6,10,0,0,biomass,AEZ01,Pasture,1,0.15,0.77,2.17809695357534
Australia_NZ,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,biomassAEZ01,0.575,7.2,0.575,7.2,10,0,0,biomass,AEZ01,Pasture,1,0.15,0.77,1.1839720620891
Former Soviet Union,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,biomassAEZ01,0.66,6,0.66,6,10,0,0,biomass,AEZ01,Pasture,1,0.15,0.77,1.35917059867861
China,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,biomassAEZ01,1.058,6,1.058,6,10,0,0,biomass,AEZ01,Pasture,1,0.15,0.77,2.17809695357534
Middle East,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,biomassAEZ01,0.749,6.2,0.749,6.2,10,0,0,biomass,AEZ01,Pasture,1,0.15,0.77,1.54262070347893
Africa,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,JatrophaAEZ01,0.45,7.1,0.45,7.1,10,0,0,biomass,AEZ01,Pasture,1,0.15,0.77,0.925929232288845
Latin America,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,eucalyptusAEZ01,0.952,6.2,0.952,6.2,10,0,0,biomass,AEZ01,Pasture,1,0.15,0.77,1.95980748975558
Southeast Asia,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,biomassAEZ01,0.823,6,0.823,6,10,0,0,biomass,AEZ01,Pasture,1,0.15,0.77,1.69465170491151
Eastern Europe,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,biomassAEZ01,1.058,6,1.058,6,10,0,0,biomass,AEZ01,Pasture,1,0.15,0.77,2.17809695357534
Korea,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,biomassAEZ01,1.058,6,1.058,6,10,0,0,biomass,AEZ01,Pasture,1,0.15,0.77,2.17809695357534
India,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,JatrophaAEZ01,0.842,6,0.842,6,10,0,0,biomass,AEZ01,Pasture,1,0.15,0.77,1.73263872619103
USA,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,biomassAEZ02,0.3,7.5,0.3,7.5,10,0,0,biomass,AEZ02,Pasture,1,0.15,0.77,0.616863230888017
Canada,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,biomassAEZ02,0.26,7.5,0.26,7.5,10,0,0,biomass,AEZ02,Pasture,1,0.15,0.77,0.534341124486086
Western Europe,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,biomassAEZ02,0.3,7.5,0.3,7.5,10,0,0,biomass,AEZ02,Pasture,1,0.15,0.77,0.616863230888017
Japan,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,biomassAEZ02,0.3,7.5,0.3,7.5,10,0,0,biomass,AEZ02,Pasture,1,0.15,0.77,0.616863230888017
Australia_NZ,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,biomassAEZ02,0.163,9.2,0.163,9.2,10,0,0,biomass,AEZ02,Pasture,1,0.15,0.77,0.335315115473883
Former Soviet Union,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,biomassAEZ02,0.187,7.5,0.187,7.5,10,0,0,biomass,AEZ02,Pasture,1,0.15,0.77,0.384933446352157
China,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,biomassAEZ02,0.3,7.5,0.3,7.5,10,0,0,biomass,AEZ02,Pasture,1,0.15,0.77,0.616863230888017
Middle East,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,biomassAEZ02,0.212,9.5,0.212,9.5,10,0,0,biomass,AEZ02,Pasture,1,0.15,0.77,0.436888720504721
Africa,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,JatrophaAEZ02,0.127,9,0.127,9,10,0,0,biomass,AEZ02,Pasture,1,0.15,0.77,0.26223428523959
Latin America,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,eucalyptusAEZ02,0.27,8.9,0.27,8.9,10,0,0,biomass,AEZ02,Pasture,1,0.15,0.77,0.555041031605459
