INPUT_TABLE
Variable ID
BaseService

region,energy.final.demand,year,base.service
Africa,industry,1990,2.8337632
Australia_NZ,industry,1990,1.3103804
Canada,industry,1990,2.7939323
China,industry,1990,12.546299
Eastern Europe,industry,1990,5.2109873
Former Soviet Union,industry,1990,20.2061782
India,industry,1990,2.2612288
Japan,industry,1990,6.3288646
Korea,industry,1990,1.3092127
Latin America,industry,1990,6.7235524
Middle East,industry,1990,2.6068988
Southeast Asia,industry,1990,3.8331012
USA,industry,1990,18.6091911
Western Europe,industry,1990,15.7441814
Africa,industry,2005,5.275998
Australia_NZ,industry,2005,1.6333943
Canada,industry,2005,3.5141031
China,industry,2005,25.2144999
Eastern Europe,industry,2005,3.2372375
Former Soviet Union,industry,2005,13.7186275
India,industry,2005,5.2942384
Japan,industry,2005,6.4583849
Korea,industry,2005,3.1474624
Latin America,industry,2005,9.1310563
Middle East,industry,2005,5.2139415
Southeast Asia,industry,2005,7.5961238
USA,industry,2005,19.4143453
Western Europe,industry,2005,17.7971217
