adjustments to account for zeroes in the data,,,,,
put in 1 kha of land at the lowest yield of the regions that produce,,,,,


calYield,,,,,
INPUT_TABLE,,,,,
Variable ID,,,,,
2005,,,,Gcal per thousand hectares,
,,,,calYield,calYield
region,FoodSupplySector,FoodSupplySubsector,FoodProductionTechnology,1990,2005
Japan,Corn,Corn,Corn,1,1
Canada,Rice,Rice,Rice,1,1
Korea,SugarCrop,SugarCrop,SugarCrop,1,1
Korea,Wheat,Wheat,Wheat,1,1
Canada,FiberCrop,FiberCrop,FiberCrop,1,1
Japan,FiberCrop,FiberCrop,FiberCrop,1,1
Korea,FiberCrop,FiberCrop,FiberCrop,1,1,,,,,,,


variableCost,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
2006,,,,,,,,,,,,

region,FoodSupplySector,FoodSupplySubsector,FoodProductionTechnology,1975,1990,2005,2020,2035,2050,2065,2080,2095
Japan,Corn,Corn,Corn,1000,1000,1000,1000,1000,1000,1000,1000,1000
Canada,Rice,Rice,Rice,1000,1000,1000,1000,1000,1000,1000,1000,1000
Korea,SugarCrop,SugarCrop,SugarCrop,1000,1000,1000,1000,1000,1000,1000,1000,1000
Korea,Wheat,Wheat,Wheat,1000,1000,1000,1000,1000,1000,1000,1000,1000
Canada,FiberCrop,FiberCrop,FiberCrop,1000,1000,1000,1000,1000,1000,1000,1000,1000
Japan,FiberCrop,FiberCrop,FiberCrop,1000,1000,1000,1000,1000,1000,1000,1000,1000
Korea,FiberCrop,FiberCrop,FiberCrop,1000,1000,1000,1000,1000,1000,1000,1000,1000

"In case we want to delete sectors altogether--careful, sectors may get inadvertently re-created later on",,,
not read,,,
not read,,,
1999,,,

region,FoodSupplySector,FoodSupplySubsector,FoodProductionTechnology
Japan,Corn,Corn,Corn
Canada,Rice,Rice,Rice
Korea,SugarCrop,SugarCrop,SugarCrop
Korea,Wheat,Wheat,Wheat
Canada,FiberCrop,FiberCrop,FiberCrop
Japan,FiberCrop,FiberCrop,FiberCrop
Korea,FiberCrop,FiberCrop,FiberCrop



not read,,,
not read,,,
4999,,,

region,supplysector,subsector,technology
Japan,CornDemand,CornDemand,CornDemand
Canada,RiceDemand,RiceDemand,RiceDemand
Korea,SugarCropDemand,SugarCropDemand,SugarCropDemand
Korea,WheatDemand,WheatDemand,WheatDemand
Canada,FiberCropDemand,FiberCropDemand,FiberCropDemand
Japan,FiberCropDemand,FiberCropDemand,FiberCropDemand
Korea,FiberCropDemand,FiberCropDemand,FiberCropDemand

not read,,,
not read,,,
59,,,

region,supplysector,subsector,technology
Japan,CornDemand,CornDemand,CornDemand
Canada,RiceDemand,RiceDemand,RiceDemand
Korea,SugarCropDemand,SugarCropDemand,SugarCropDemand
Korea,WheatDemand,WheatDemand,WheatDemand
Canada,FiberCropDemand,FiberCropDemand,FiberCropDemand
Japan,FiberCropDemand,FiberCropDemand,FiberCropDemand
Korea,FiberCropDemand,FiberCropDemand,FiberCropDemand
