SheepGoat Supply,,,,,,,,,,,,,,,,,,
Units and sector type,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
region,supplysector,output-unit,input-unit,price-unit,sectorType,,,,,,,,,,,,,
ALL,SheepGoat,Gcal,Gcal,1975$/Gcal,AnimalSupply,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Subsector logit exponent,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,
,,1975 fillout,,,,,,,,,,,,,,,,
region,supplysector,logit-exponent,,,,,,,,,,,,,,,,
USA,SheepGoat,-3,,,,,,,,,,,,,,,,
Canada,SheepGoat,-3,,,,,,,,,,,,,,,,
Western Europe,SheepGoat,-3,,,,,,,,,,,,,,,,
Japan,SheepGoat,-3,,,,,,,,,,,,,,,,
Australia_NZ,SheepGoat,-3,,,,,,,,,,,,,,,,
Former Soviet Union,SheepGoat,-3,,,,,,,,,,,,,,,,
China,SheepGoat,-3,,,,,,,,,,,,,,,,
Middle East,SheepGoat,-3,,,,,,,,,,,,,,,,
Africa,SheepGoat,-3,,,,,,,,,,,,,,,,
Latin America,SheepGoat,-3,,,,,,,,,,,,,,,,
Southeast Asia,SheepGoat,-3,,,,,,,,,,,,,,,,
Eastern Europe,SheepGoat,-3,,,,,,,,,,,,,,,,
Korea,SheepGoat,-3,,,,,,,,,,,,,,,,
India,SheepGoat,-3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Subsector scaling,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
700,,,,,,,,,,,,,,,,,,
Source Inputs,,,share-weight,interpolation-rule,,,,,,,,,,,,,,
region,supplysector,subsector,1975 fillout,apply-to,from-year,to-year,interpolation-function,,,,,,,,,,,
USA,SheepGoat,Mixed,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Canada,SheepGoat,Mixed,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Western Europe,SheepGoat,Mixed,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Japan,SheepGoat,Mixed,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Australia_NZ,SheepGoat,Mixed,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Former Soviet Union,SheepGoat,Mixed,1,share-weight,2005,2095,fixed,,,,,,,,,,,
China,SheepGoat,Mixed,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Middle East,SheepGoat,Mixed,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Africa,SheepGoat,Mixed,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Latin America,SheepGoat,Mixed,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Southeast Asia,SheepGoat,Mixed,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Eastern Europe,SheepGoat,Mixed,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Korea,SheepGoat,Mixed,1,share-weight,2005,2095,fixed,,,,,,,,,,,
India,SheepGoat,Mixed,1,share-weight,2005,2095,fixed,,,,,,,,,,,
USA,SheepGoat,Pastoral,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Canada,SheepGoat,Pastoral,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Western Europe,SheepGoat,Pastoral,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Japan,SheepGoat,Pastoral,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Australia_NZ,SheepGoat,Pastoral,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Former Soviet Union,SheepGoat,Pastoral,1,share-weight,2005,2095,fixed,,,,,,,,,,,
China,SheepGoat,Pastoral,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Middle East,SheepGoat,Pastoral,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Africa,SheepGoat,Pastoral,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Latin America,SheepGoat,Pastoral,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Southeast Asia,SheepGoat,Pastoral,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Eastern Europe,SheepGoat,Pastoral,1,share-weight,2005,2095,fixed,,,,,,,,,,,
Korea,SheepGoat,Pastoral,1,share-weight,2005,2095,fixed,,,,,,,,,,,
India,SheepGoat,Pastoral,1,share-weight,2005,2095,fixed,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Technology Logit Exponent,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
702,,,,,,,,,,,,,,,,,,
Source Inputs,,,1975 fillout,,,,,,,,,,,,,,,
region,supplysector,subsector,logit-exponent,,,,,,,,,,,,,,,
USA,SheepGoat,Mixed,-6,,,,,,,,,,,,,,,
Canada,SheepGoat,Mixed,-6,,,,,,,,,,,,,,,
Western Europe,SheepGoat,Mixed,-6,,,,,,,,,,,,,,,
Japan,SheepGoat,Mixed,-6,,,,,,,,,,,,,,,
Australia_NZ,SheepGoat,Mixed,-6,,,,,,,,,,,,,,,
Former Soviet Union,SheepGoat,Mixed,-6,,,,,,,,,,,,,,,
China,SheepGoat,Mixed,-6,,,,,,,,,,,,,,,
Middle East,SheepGoat,Mixed,-6,,,,,,,,,,,,,,,
Africa,SheepGoat,Mixed,-6,,,,,,,,,,,,,,,
Latin America,SheepGoat,Mixed,-6,,,,,,,,,,,,,,,
Southeast Asia,SheepGoat,Mixed,-6,,,,,,,,,,,,,,,
Eastern Europe,SheepGoat,Mixed,-6,,,,,,,,,,,,,,,
Korea,SheepGoat,Mixed,-6,,,,,,,,,,,,,,,
India,SheepGoat,Mixed,-6,,,,,,,,,,,,,,,
USA,SheepGoat,Pastoral,-6,,,,,,,,,,,,,,,
Canada,SheepGoat,Pastoral,-6,,,,,,,,,,,,,,,
Western Europe,SheepGoat,Pastoral,-6,,,,,,,,,,,,,,,
Japan,SheepGoat,Pastoral,-6,,,,,,,,,,,,,,,
Australia_NZ,SheepGoat,Pastoral,-6,,,,,,,,,,,,,,,
Former Soviet Union,SheepGoat,Pastoral,-6,,,,,,,,,,,,,,,
China,SheepGoat,Pastoral,-6,,,,,,,,,,,,,,,
Middle East,SheepGoat,Pastoral,-6,,,,,,,,,,,,,,,
Africa,SheepGoat,Pastoral,-6,,,,,,,,,,,,,,,
Latin America,SheepGoat,Pastoral,-6,,,,,,,,,,,,,,,
Southeast Asia,SheepGoat,Pastoral,-6,,,,,,,,,,,,,,,
Eastern Europe,SheepGoat,Pastoral,-6,,,,,,,,,,,,,,,
Korea,SheepGoat,Pastoral,-6,,,,,,,,,,,,,,,
India,SheepGoat,Pastoral,-6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Technology shareweight scaling,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
705,,,,,,,,,,,,,,,,,,
,,,,interpolation-rule,,,,,,,,,,,,,,
region,supplysector,subsector,technology,apply-to,from-year,to-year,interpolation-function,,,,,,,,,,,
USA,SheepGoat,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Canada,SheepGoat,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Western Europe,SheepGoat,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Japan,SheepGoat,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Australia_NZ,SheepGoat,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Former Soviet Union,SheepGoat,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
China,SheepGoat,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Middle East,SheepGoat,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Africa,SheepGoat,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Latin America,SheepGoat,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Southeast Asia,SheepGoat,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Eastern Europe,SheepGoat,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
Korea,SheepGoat,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
India,SheepGoat,Mixed,Corn,share-weight,2005,2095,fixed,,,,,,,,,,,
USA,SheepGoat,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Canada,SheepGoat,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Western Europe,SheepGoat,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Japan,SheepGoat,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Australia_NZ,SheepGoat,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Former Soviet Union,SheepGoat,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
China,SheepGoat,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Middle East,SheepGoat,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Africa,SheepGoat,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Latin America,SheepGoat,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
