INPUT_TABLE
Variable ID
Supplysector

region,supplysector,output.unit,input.unit,price.unit,price,logit.exponent
Africa,N fertilizer,Mt N,EJ,1975$/kgN,0.1397,-3
Africa,Exports_fertilizer,Mt N,Mt N,1975$/kgN,0.1397,-3
Australia_NZ,N fertilizer,Mt N,EJ,1975$/kgN,0.1397,-3
Australia_NZ,Exports_fertilizer,Mt N,Mt N,1975$/kgN,0.1397,-3
Canada,N fertilizer,Mt N,EJ,1975$/kgN,0.1397,-3
Canada,Exports_fertilizer,Mt N,Mt N,1975$/kgN,0.1397,-3
China,N fertilizer,Mt N,EJ,1975$/kgN,0.1397,-3
China,Exports_fertilizer,Mt N,Mt N,1975$/kgN,0.1397,-3
Eastern Europe,N fertilizer,Mt N,EJ,1975$/kgN,0.1397,-3
Eastern Europe,Exports_fertilizer,Mt N,Mt N,1975$/kgN,0.1397,-3
Former Soviet Union,N fertilizer,Mt N,EJ,1975$/kgN,0.1397,-3
Former Soviet Union,Exports_fertilizer,Mt N,Mt N,1975$/kgN,0.1397,-3
India,N fertilizer,Mt N,EJ,1975$/kgN,0.1397,-3
India,Exports_fertilizer,Mt N,Mt N,1975$/kgN,0.1397,-3
Japan,N fertilizer,Mt N,EJ,1975$/kgN,0.1397,-3
Japan,Exports_fertilizer,Mt N,Mt N,1975$/kgN,0.1397,-3
Korea,N fertilizer,Mt N,EJ,1975$/kgN,0.1397,-3
Korea,Exports_fertilizer,Mt N,Mt N,1975$/kgN,0.1397,-3
Latin America,N fertilizer,Mt N,EJ,1975$/kgN,0.1397,-3
Latin America,Exports_fertilizer,Mt N,Mt N,1975$/kgN,0.1397,-3
Middle East,N fertilizer,Mt N,EJ,1975$/kgN,0.1397,-3
Middle East,Exports_fertilizer,Mt N,Mt N,1975$/kgN,0.1397,-3
Southeast Asia,N fertilizer,Mt N,EJ,1975$/kgN,0.1397,-3
Southeast Asia,Exports_fertilizer,Mt N,Mt N,1975$/kgN,0.1397,-3
USA,N fertilizer,Mt N,EJ,1975$/kgN,0.1397,-3
USA,Exports_fertilizer,Mt N,Mt N,1975$/kgN,0.1397,-3
Western Europe,N fertilizer,Mt N,EJ,1975$/kgN,0.1397,-3
Western Europe,Exports_fertilizer,Mt N,Mt N,1975$/kgN,0.1397,-3
