INPUT_TABLE
Variable ID
MAC_12pt_Ag

region,AgSupplySector,AgSupplySubsector,AgProductionTechnology,year,generic.ghg,X0,X10,X20,X30,X40,X50,X75,X100,X125,X150,X175,X200,final.reduction
Africa,Rice,RiceAEZ01,RiceAEZ01,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Australia_NZ,Rice,RiceAEZ01,RiceAEZ01,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
India,Rice,RiceAEZ01,RiceAEZ01,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Latin America,Rice,RiceAEZ01,RiceAEZ01,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Middle East,Rice,RiceAEZ01,RiceAEZ01,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Southeast Asia,Rice,RiceAEZ01,RiceAEZ01,2020,CH4_AGR,0.1337,0.1337,0.1701,0.1701,0.1845,0.1845,0.2254,0.2555,0.2659,0.3349,0.3402,0.3402,0.377
Africa,Rice,RiceAEZ02,RiceAEZ02,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Australia_NZ,Rice,RiceAEZ02,RiceAEZ02,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
India,Rice,RiceAEZ02,RiceAEZ02,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Latin America,Rice,RiceAEZ02,RiceAEZ02,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Middle East,Rice,RiceAEZ02,RiceAEZ02,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Africa,Rice,RiceAEZ03,RiceAEZ03,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Australia_NZ,Rice,RiceAEZ03,RiceAEZ03,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
