INPUT_TABLE
Variable ID
AgProduction

region,AgSupplySector,AgSupplySubsector,AgProductionTechnology,year,calOutputValue,share.weight.year,subs.share.weight,tech.share.weight
USA,Forest,ForestAEZ01,ForestAEZ01,1990,0,1990,0,0
Canada,Forest,ForestAEZ01,ForestAEZ01,1990,0,1990,0,0
Western Europe,Forest,ForestAEZ01,ForestAEZ01,1990,0,1990,0,0
Japan,Forest,ForestAEZ01,ForestAEZ01,1990,0,1990,0,0
Australia_NZ,Forest,ForestAEZ01,ForestAEZ01,1990,7.7e-06,1990,1,1
Former Soviet Union,Forest,ForestAEZ01,ForestAEZ01,1990,0,1990,0,0
China,Forest,ForestAEZ01,ForestAEZ01,1990,0,1990,0,0
Middle East,Forest,ForestAEZ01,ForestAEZ01,1990,0,1990,0,0
Africa,Forest,ForestAEZ01,ForestAEZ01,1990,0.0002931,1990,1,1
Latin America,Forest,ForestAEZ01,ForestAEZ01,1990,0.0006862,1990,1,1
Southeast Asia,Forest,ForestAEZ01,ForestAEZ01,1990,0,1990,0,0
Eastern Europe,Forest,ForestAEZ01,ForestAEZ01,1990,0,1990,0,0
Korea,Forest,ForestAEZ01,ForestAEZ01,1990,0,1990,0,0
India,Forest,ForestAEZ01,ForestAEZ01,1990,0,1990,0,0
USA,Forest,ForestAEZ02,ForestAEZ02,1990,0,1990,0,0
Canada,Forest,ForestAEZ02,ForestAEZ02,1990,0,1990,0,0
Western Europe,Forest,ForestAEZ02,ForestAEZ02,1990,0,1990,0,0
Japan,Forest,ForestAEZ02,ForestAEZ02,1990,0,1990,0,0
Australia_NZ,Forest,ForestAEZ02,ForestAEZ02,1990,0,1990,0,0
Former Soviet Union,Forest,ForestAEZ02,ForestAEZ02,1990,0,1990,0,0
China,Forest,ForestAEZ02,ForestAEZ02,1990,0,1990,0,0
Middle East,Forest,ForestAEZ02,ForestAEZ02,1990,0,1990,0,0
Africa,Forest,ForestAEZ02,ForestAEZ02,1990,0.0014006,1990,1,1
Latin America,Forest,ForestAEZ02,ForestAEZ02,1990,0.0010594,1990,1,1
Southeast Asia,Forest,ForestAEZ02,ForestAEZ02,1990,0,1990,0,0
Eastern Europe,Forest,ForestAEZ02,ForestAEZ02,1990,0,1990,0,0
Korea,Forest,ForestAEZ02,ForestAEZ02,1990,0,1990,0,0
India,Forest,ForestAEZ02,ForestAEZ02,1990,0.0161868,1990,1,1
USA,Forest,ForestAEZ03,ForestAEZ03,1990,0,1990,0,0
Canada,Forest,ForestAEZ03,ForestAEZ03,1990,0,1990,0,0
Western Europe,Forest,ForestAEZ03,ForestAEZ03,1990,0,1990,0,0
Japan,Forest,ForestAEZ03,ForestAEZ03,1990,0,1990,0,0
Australia_NZ,Forest,ForestAEZ03,ForestAEZ03,1990,0.0001401,1990,1,1
