INPUT_TABLE
Variable ID
LN1_UnmgdCarbon

region,LandAllocatorRoot,LandNode1,UnmanagedLandLeaf1,hist.veg.carbon.density,hist.soil.carbon.density,veg.carbon.density,soil.carbon.density,mature.age,min.veg.carbon.density,min.soil.carbon.density,Land_Type,AEZ,Cdensity_LT
USA,root,RockIceDesertAEZ01,RockIceDesertAEZ01,0,0,0,0,0,0,0,RockIceDesert,AEZ01,RockIceDesert
Canada,root,RockIceDesertAEZ01,RockIceDesertAEZ01,0,0,0,0,0,0,0,RockIceDesert,AEZ01,RockIceDesert
Western Europe,root,RockIceDesertAEZ01,RockIceDesertAEZ01,0,0,0,0,0,0,0,RockIceDesert,AEZ01,RockIceDesert
Japan,root,RockIceDesertAEZ01,RockIceDesertAEZ01,0,0,0,0,0,0,0,RockIceDesert,AEZ01,RockIceDesert
Australia_NZ,root,RockIceDesertAEZ01,RockIceDesertAEZ01,0.1,3.8,0.1,3.8,50,0,0,RockIceDesert,AEZ01,RockIceDesert
Former Soviet Union,root,RockIceDesertAEZ01,RockIceDesertAEZ01,0,0,0,0,0,0,0,RockIceDesert,AEZ01,RockIceDesert
China,root,RockIceDesertAEZ01,RockIceDesertAEZ01,0,0,0,0,0,0,0,RockIceDesert,AEZ01,RockIceDesert
Middle East,root,RockIceDesertAEZ01,RockIceDesertAEZ01,0.1,3.8,0.1,3.8,50,0,0,RockIceDesert,AEZ01,RockIceDesert
Africa,root,RockIceDesertAEZ01,RockIceDesertAEZ01,0.1,3.8,0.1,3.8,50,0,0,RockIceDesert,AEZ01,RockIceDesert
Latin America,root,RockIceDesertAEZ01,RockIceDesertAEZ01,0.1,3.8,0.1,3.8,50,0,0,RockIceDesert,AEZ01,RockIceDesert
Southeast Asia,root,RockIceDesertAEZ01,RockIceDesertAEZ01,0.1,3.8,0.1,3.8,50,0,0,RockIceDesert,AEZ01,RockIceDesert
Eastern Europe,root,RockIceDesertAEZ01,RockIceDesertAEZ01,0,0,0,0,0,0,0,RockIceDesert,AEZ01,RockIceDesert
Korea,root,RockIceDesertAEZ01,RockIceDesertAEZ01,0,0,0,0,0,0,0,RockIceDesert,AEZ01,RockIceDesert
India,root,RockIceDesertAEZ01,RockIceDesertAEZ01,0.1,3.8,0.1,3.8,50,0,0,RockIceDesert,AEZ01,RockIceDesert
USA,root,TundraAEZ01,TundraAEZ01,0,0,0,0,0,0,0,Tundra,AEZ01,Tundra
Canada,root,TundraAEZ01,TundraAEZ01,0,0,0,0,0,0,0,Tundra,AEZ01,Tundra
Western Europe,root,TundraAEZ01,TundraAEZ01,0,0,0,0,0,0,0,Tundra,AEZ01,Tundra
Japan,root,TundraAEZ01,TundraAEZ01,0,0,0,0,0,0,0,Tundra,AEZ01,Tundra
Australia_NZ,root,TundraAEZ01,TundraAEZ01,0,0,0,0,0,0,0,Tundra,AEZ01,Tundra
Former Soviet Union,root,TundraAEZ01,TundraAEZ01,0,0,0,0,0,0,0,Tundra,AEZ01,Tundra
China,root,TundraAEZ01,TundraAEZ01,0,0,0,0,0,0,0,Tundra,AEZ01,Tundra
Middle East,root,TundraAEZ01,TundraAEZ01,0,0,0,0,0,0,0,Tundra,AEZ01,Tundra
Africa,root,TundraAEZ01,TundraAEZ01,0,0,0,0,0,0,0,Tundra,AEZ01,Tundra
Latin America,root,TundraAEZ01,TundraAEZ01,0.9,10,0.9,10,50,0,0,Tundra,AEZ01,Tundra
Southeast Asia,root,TundraAEZ01,TundraAEZ01,0,0,0,0,0,0,0,Tundra,AEZ01,Tundra
Eastern Europe,root,TundraAEZ01,TundraAEZ01,0,0,0,0,0,0,0,Tundra,AEZ01,Tundra
Korea,root,TundraAEZ01,TundraAEZ01,0,0,0,0,0,0,0,Tundra,AEZ01,Tundra
India,root,TundraAEZ01,TundraAEZ01,0,0,0,0,0,0,0,Tundra,AEZ01,Tundra
USA,root,UrbanLandAEZ01,UrbanLandAEZ01,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ01,Urbanland
Canada,root,UrbanLandAEZ01,UrbanLandAEZ01,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ01,Urbanland
Western Europe,root,UrbanLandAEZ01,UrbanLandAEZ01,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ01,Urbanland
Japan,root,UrbanLandAEZ01,UrbanLandAEZ01,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ01,Urbanland
Australia_NZ,root,UrbanLandAEZ01,UrbanLandAEZ01,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ01,Urbanland
Former Soviet Union,root,UrbanLandAEZ01,UrbanLandAEZ01,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ01,Urbanland
China,root,UrbanLandAEZ01,UrbanLandAEZ01,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ01,Urbanland
Middle East,root,UrbanLandAEZ01,UrbanLandAEZ01,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ01,Urbanland
Africa,root,UrbanLandAEZ01,UrbanLandAEZ01,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ01,Urbanland
Latin America,root,UrbanLandAEZ01,UrbanLandAEZ01,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ01,Urbanland
Southeast Asia,root,UrbanLandAEZ01,UrbanLandAEZ01,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ01,Urbanland
Eastern Europe,root,UrbanLandAEZ01,UrbanLandAEZ01,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ01,Urbanland
Korea,root,UrbanLandAEZ01,UrbanLandAEZ01,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ01,Urbanland
India,root,UrbanLandAEZ01,UrbanLandAEZ01,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ01,Urbanland
USA,root,RockIceDesertAEZ02,RockIceDesertAEZ02,0,0,0,0,0,0,0,RockIceDesert,AEZ02,RockIceDesert
Canada,root,RockIceDesertAEZ02,RockIceDesertAEZ02,0,0,0,0,0,0,0,RockIceDesert,AEZ02,RockIceDesert
Western Europe,root,RockIceDesertAEZ02,RockIceDesertAEZ02,0,0,0,0,0,0,0,RockIceDesert,AEZ02,RockIceDesert
