INPUT_TABLE
Variable ID
FixedOutput

region,supplysector,subsector,technology,year,fixedOutput
Africa,Beef,Imports,Imports,1990,0.281328
Africa,Dairy,Imports,Imports,1990,4.774932
Africa,Pork,Imports,Imports,1990,0.021788
Africa,Poultry,Imports,Imports,1990,0.130494
Africa,SheepGoat,Imports,Imports,1990,0.01675
Australia_NZ,Beef,Imports,Imports,1990,0
Australia_NZ,Dairy,Imports,Imports,1990,0
Australia_NZ,Pork,Imports,Imports,1990,0
Australia_NZ,Poultry,Imports,Imports,1990,0
Australia_NZ,SheepGoat,Imports,Imports,1990,0
Canada,Beef,Imports,Imports,1990,0.089351
Canada,Dairy,Imports,Imports,1990,0
Canada,Pork,Imports,Imports,1990,0
Canada,Poultry,Imports,Imports,1990,0.048366
Canada,SheepGoat,Imports,Imports,1990,0.012615
China,Beef,Imports,Imports,1990,0
China,Dairy,Imports,Imports,1990,1.564872
China,Pork,Imports,Imports,1990,0
China,Poultry,Imports,Imports,1990,0.172021
China,SheepGoat,Imports,Imports,1990,0.004001
Eastern Europe,Beef,Imports,Imports,1990,0
Eastern Europe,Dairy,Imports,Imports,1990,0
Eastern Europe,Pork,Imports,Imports,1990,0
Eastern Europe,Poultry,Imports,Imports,1990,0
Eastern Europe,SheepGoat,Imports,Imports,1990,0
Former Soviet Union,Beef,Imports,Imports,1990,0.443072
Former Soviet Union,Dairy,Imports,Imports,1990,0.665127
Former Soviet Union,Pork,Imports,Imports,1990,0.277415
Former Soviet Union,Poultry,Imports,Imports,1990,0.163459
Former Soviet Union,SheepGoat,Imports,Imports,1990,0.073742
India,Beef,Imports,Imports,1990,0
India,Dairy,Imports,Imports,1990,0.13159
India,Pork,Imports,Imports,1990,0
India,Poultry,Imports,Imports,1990,0
India,SheepGoat,Imports,Imports,1990,0
Japan,Beef,Imports,Imports,1990,0.474079
Japan,Dairy,Imports,Imports,1990,2.702702
Japan,Pork,Imports,Imports,1990,0.410887
Japan,Poultry,Imports,Imports,1990,0.36647
Japan,SheepGoat,Imports,Imports,1990,0.068568
Korea,Beef,Imports,Imports,1990,0.12204
Korea,Dairy,Imports,Imports,1990,0.312154
Korea,Pork,Imports,Imports,1990,0.003162
Korea,Poultry,Imports,Imports,1990,0.010897
Korea,SheepGoat,Imports,Imports,1990,0.011493
Latin America,Beef,Imports,Imports,1990,0
Latin America,Dairy,Imports,Imports,1990,5.551704
Latin America,Pork,Imports,Imports,1990,0.094387
Latin America,Poultry,Imports,Imports,1990,0
Latin America,SheepGoat,Imports,Imports,1990,0.001561
Middle East,Beef,Imports,Imports,1990,0.231884
Middle East,Dairy,Imports,Imports,1990,3.142212
Middle East,Pork,Imports,Imports,1990,0.003601
Middle East,Poultry,Imports,Imports,1990,0.312955
Middle East,SheepGoat,Imports,Imports,1990,0.115708
Southeast Asia,Beef,Imports,Imports,1990,0.076666
Southeast Asia,Dairy,Imports,Imports,1990,4.328622
Southeast Asia,Pork,Imports,Imports,1990,0.015077
Southeast Asia,Poultry,Imports,Imports,1990,0
Southeast Asia,SheepGoat,Imports,Imports,1990,0.021963
USA,Beef,Imports,Imports,1990,0.675147
USA,Dairy,Imports,Imports,1990,2.043384
USA,Pork,Imports,Imports,1990,0.284954
USA,Poultry,Imports,Imports,1990,0
USA,SheepGoat,Imports,Imports,1990,0.01801
Western Europe,Beef,Imports,Imports,1990,0
Western Europe,Dairy,Imports,Imports,1990,0
Western Europe,Pork,Imports,Imports,1990,0
Western Europe,Poultry,Imports,Imports,1990,0
Western Europe,SheepGoat,Imports,Imports,1990,0.213803
Africa,Beef,Imports,Imports,2005,0.403557
Africa,Dairy,Imports,Imports,2005,6.203385
Africa,Pork,Imports,Imports,2005,0.099683
Africa,Poultry,Imports,Imports,2005,0.65929
Africa,SheepGoat,Imports,Imports,2005,0.042606
Australia_NZ,Beef,Imports,Imports,2005,0
Australia_NZ,Dairy,Imports,Imports,2005,0
Australia_NZ,Pork,Imports,Imports,2005,0.084974
Australia_NZ,Poultry,Imports,Imports,2005,0
Australia_NZ,SheepGoat,Imports,Imports,2005,0
Canada,Beef,Imports,Imports,2005,0
Canada,Dairy,Imports,Imports,2005,0.64306
Canada,Pork,Imports,Imports,2005,0
Canada,Poultry,Imports,Imports,2005,0.058632
Canada,SheepGoat,Imports,Imports,2005,0.019769
China,Beef,Imports,Imports,2005,0.098602
China,Dairy,Imports,Imports,2005,5.323304
China,Pork,Imports,Imports,2005,0
China,Poultry,Imports,Imports,2005,0.617902
China,SheepGoat,Imports,Imports,2005,0.05091
Eastern Europe,Beef,Imports,Imports,2005,0.012006
Eastern Europe,Dairy,Imports,Imports,2005,0
Eastern Europe,Pork,Imports,Imports,2005,0.348133
Eastern Europe,Poultry,Imports,Imports,2005,0.069057
Eastern Europe,SheepGoat,Imports,Imports,2005,0
Former Soviet Union,Beef,Imports,Imports,2005,0.667412
Former Soviet Union,Dairy,Imports,Imports,2005,0
Former Soviet Union,Pork,Imports,Imports,2005,0.741795
Former Soviet Union,Poultry,Imports,Imports,2005,1.661985
Former Soviet Union,SheepGoat,Imports,Imports,2005,0.007762
India,Beef,Imports,Imports,2005,0
India,Dairy,Imports,Imports,2005,0
India,Pork,Imports,Imports,2005,0
India,Poultry,Imports,Imports,2005,0
India,SheepGoat,Imports,Imports,2005,0
Japan,Beef,Imports,Imports,2005,0.631108
Japan,Dairy,Imports,Imports,2005,2.800887
Japan,Pork,Imports,Imports,2005,1.332647
Japan,Poultry,Imports,Imports,2005,0.875543
Japan,SheepGoat,Imports,Imports,2005,0.027722
Korea,Beef,Imports,Imports,2005,0.332979
Korea,Dairy,Imports,Imports,2005,1.060089
Korea,Pork,Imports,Imports,2005,0.313228
Korea,Poultry,Imports,Imports,2005,0.068216
Korea,SheepGoat,Imports,Imports,2005,0.003049
Latin America,Beef,Imports,Imports,2005,0
Latin America,Dairy,Imports,Imports,2005,4.207475
Latin America,Pork,Imports,Imports,2005,0
Latin America,Poultry,Imports,Imports,2005,0
Latin America,SheepGoat,Imports,Imports,2005,0.036576
Middle East,Beef,Imports,Imports,2005,0.327611
Middle East,Dairy,Imports,Imports,2005,3.466803
Middle East,Pork,Imports,Imports,2005,0.016612
Middle East,Poultry,Imports,Imports,2005,0.816333
Middle East,SheepGoat,Imports,Imports,2005,0.10403
Southeast Asia,Beef,Imports,Imports,2005,0.259383
Southeast Asia,Dairy,Imports,Imports,2005,8.701642
Southeast Asia,Pork,Imports,Imports,2005,0.04897
Southeast Asia,Poultry,Imports,Imports,2005,0
Southeast Asia,SheepGoat,Imports,Imports,2005,0.027357
USA,Beef,Imports,Imports,2005,1.039132
USA,Dairy,Imports,Imports,2005,0
USA,Pork,Imports,Imports,2005,0
USA,Poultry,Imports,Imports,2005,0
USA,SheepGoat,Imports,Imports,2005,0.078755
Western Europe,Beef,Imports,Imports,2005,0.600074
Western Europe,Dairy,Imports,Imports,2005,0
Western Europe,Pork,Imports,Imports,2005,0
Western Europe,Poultry,Imports,Imports,2005,0.006656
Western Europe,SheepGoat,Imports,Imports,2005,0.232293
Africa,Beef,Imports,Imports,2020,0.403557
Africa,Dairy,Imports,Imports,2020,6.203385
Africa,Pork,Imports,Imports,2020,0.099683
Africa,Poultry,Imports,Imports,2020,0.65929
Africa,SheepGoat,Imports,Imports,2020,0.042606
Australia_NZ,Beef,Imports,Imports,2020,0
Australia_NZ,Dairy,Imports,Imports,2020,0
Australia_NZ,Pork,Imports,Imports,2020,0.084974
Australia_NZ,Poultry,Imports,Imports,2020,0
Australia_NZ,SheepGoat,Imports,Imports,2020,0
Canada,Beef,Imports,Imports,2020,0
Canada,Dairy,Imports,Imports,2020,0.64306
Canada,Pork,Imports,Imports,2020,0
Canada,Poultry,Imports,Imports,2020,0.058632
Canada,SheepGoat,Imports,Imports,2020,0.019769
China,Beef,Imports,Imports,2020,0.098602
China,Dairy,Imports,Imports,2020,5.323304
China,Pork,Imports,Imports,2020,0
China,Poultry,Imports,Imports,2020,0.617902
China,SheepGoat,Imports,Imports,2020,0.05091
Eastern Europe,Beef,Imports,Imports,2020,0.012006
Eastern Europe,Dairy,Imports,Imports,2020,0
Eastern Europe,Pork,Imports,Imports,2020,0.348133
Eastern Europe,Poultry,Imports,Imports,2020,0.069057
Eastern Europe,SheepGoat,Imports,Imports,2020,0
