INPUT_TABLE
Variable ID
LN2_MgdCarbon

region,LandAllocatorRoot,LandNode1,LandNode2,LandLeaf2,hist.veg.carbon.density,hist.soil.carbon.density,veg.carbon.density,soil.carbon.density,mature.age,min.veg.carbon.density,min.soil.carbon.density,Land_Type,AEZ,Cdensity_LT
USA,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,0.2,4.5,0.2,4.5,10,0,0,Pasture,AEZ01,Pasture
Canada,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,0.2,4.5,0.2,4.5,10,0,0,Pasture,AEZ01,Pasture
Western Europe,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,0.2,4.5,0.2,4.5,10,0,0,Pasture,AEZ01,Pasture
Japan,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,0.2,4.5,0.2,4.5,10,0,0,Pasture,AEZ01,Pasture
Australia_NZ,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,0.2,5.4,0.2,5.4,10,0,0,Pasture,AEZ01,Pasture
Former Soviet Union,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,0.2,4.5,0.2,4.5,10,0,0,Pasture,AEZ01,Pasture
China,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,0.2,4.5,0.2,4.5,10,0,0,Pasture,AEZ01,Pasture
Middle East,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,0.2,4.65,0.2,4.65,10,0,0,Pasture,AEZ01,Pasture
Africa,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,0.2,5.325,0.2,5.325,10,0,0,Pasture,AEZ01,Pasture
Latin America,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,0.2,4.65,0.2,4.65,10,0,0,Pasture,AEZ01,Pasture
Southeast Asia,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,0.2,4.5,0.2,4.5,10,0,0,Pasture,AEZ01,Pasture
Eastern Europe,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,0.2,4.5,0.2,4.5,10,0,0,Pasture,AEZ01,Pasture
Korea,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,0.2,4.5,0.2,4.5,10,0,0,Pasture,AEZ01,Pasture
India,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,0.2,4.5,0.2,4.5,10,0,0,Pasture,AEZ01,Pasture
USA,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,0.35,5.625,0.35,5.625,10,0,0,Pasture,AEZ02,Pasture
Canada,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,0.35,5.625,0.35,5.625,10,0,0,Pasture,AEZ02,Pasture
Western Europe,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,0.35,5.625,0.35,5.625,10,0,0,Pasture,AEZ02,Pasture
Japan,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,0.35,5.625,0.35,5.625,10,0,0,Pasture,AEZ02,Pasture
Australia_NZ,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,0.35,6.9,0.35,6.9,10,0,0,Pasture,AEZ02,Pasture
Former Soviet Union,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,0.35,5.625,0.35,5.625,10,0,0,Pasture,AEZ02,Pasture
China,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,0.35,5.625,0.35,5.625,10,0,0,Pasture,AEZ02,Pasture
Middle East,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,0.35,7.125,0.35,7.125,10,0,0,Pasture,AEZ02,Pasture
Africa,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,0.35,6.75,0.35,6.75,10,0,0,Pasture,AEZ02,Pasture
Latin America,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,0.35,6.675,0.35,6.675,10,0,0,Pasture,AEZ02,Pasture
Southeast Asia,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,0.35,5.625,0.35,5.625,10,0,0,Pasture,AEZ02,Pasture
Eastern Europe,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,0.35,5.625,0.35,5.625,10,0,0,Pasture,AEZ02,Pasture
Korea,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,0.35,5.625,0.35,5.625,10,0,0,Pasture,AEZ02,Pasture
India,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,0.35,7.125,0.35,7.125,10,0,0,Pasture,AEZ02,Pasture
USA,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,0.35,6.75,0.35,6.75,10,0,0,Pasture,AEZ03,Pasture
Canada,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,0.35,6.75,0.35,6.75,10,0,0,Pasture,AEZ03,Pasture
Western Europe,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,0.35,6.75,0.35,6.75,10,0,0,Pasture,AEZ03,Pasture
Japan,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,0.35,6.75,0.35,6.75,10,0,0,Pasture,AEZ03,Pasture
Australia_NZ,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,0.35,7.125,0.35,7.125,10,0,0,Pasture,AEZ03,Pasture
Former Soviet Union,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,0.35,6.75,0.35,6.75,10,0,0,Pasture,AEZ03,Pasture
China,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,0.35,6.75,0.35,6.75,10,0,0,Pasture,AEZ03,Pasture
Middle East,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,0.35,7.125,0.35,7.125,10,0,0,Pasture,AEZ03,Pasture
Africa,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,0.35,7.125,0.35,7.125,10,0,0,Pasture,AEZ03,Pasture
Latin America,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,0.35,7.05,0.35,7.05,10,0,0,Pasture,AEZ03,Pasture
Southeast Asia,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,0.35,7.125,0.35,7.125,10,0,0,Pasture,AEZ03,Pasture
Eastern Europe,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,0.35,6.75,0.35,6.75,10,0,0,Pasture,AEZ03,Pasture
Korea,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,0.35,6.75,0.35,6.75,10,0,0,Pasture,AEZ03,Pasture
India,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,0.35,7.125,0.35,7.125,10,0,0,Pasture,AEZ03,Pasture
USA,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,0.35,7.875,0.35,7.875,10,0,0,Pasture,AEZ04,Pasture
Canada,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,0.35,7.875,0.35,7.875,10,0,0,Pasture,AEZ04,Pasture
Western Europe,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,0.35,7.125,0.35,7.125,10,0,0,Pasture,AEZ04,Pasture
Japan,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,0.35,7.875,0.35,7.875,10,0,0,Pasture,AEZ04,Pasture
Australia_NZ,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,0.35,7.125,0.35,7.125,10,0,0,Pasture,AEZ04,Pasture
Former Soviet Union,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,0.35,7.875,0.35,7.875,10,0,0,Pasture,AEZ04,Pasture
China,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,0.35,7.125,0.35,7.125,10,0,0,Pasture,AEZ04,Pasture
Middle East,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,0.35,7.875,0.35,7.875,10,0,0,Pasture,AEZ04,Pasture
Africa,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,0.35,7.125,0.35,7.125,10,0,0,Pasture,AEZ04,Pasture
Latin America,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,0.35,7.2,0.35,7.2,10,0,0,Pasture,AEZ04,Pasture
Southeast Asia,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,0.35,7.125,0.35,7.125,10,0,0,Pasture,AEZ04,Pasture
Eastern Europe,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,0.35,7.875,0.35,7.875,10,0,0,Pasture,AEZ04,Pasture
Korea,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,0.35,7.875,0.35,7.875,10,0,0,Pasture,AEZ04,Pasture
India,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,0.35,7.125,0.35,7.125,10,0,0,Pasture,AEZ04,Pasture
USA,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,0.4,9,0.4,9,10,0,0,Pasture,AEZ05,Pasture
Canada,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,0.4,9,0.4,9,10,0,0,Pasture,AEZ05,Pasture
Western Europe,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,0.4,9,0.4,9,10,0,0,Pasture,AEZ05,Pasture
Japan,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,0.4,9,0.4,9,10,0,0,Pasture,AEZ05,Pasture
Australia_NZ,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,0.4,7.125,0.4,7.125,10,0,0,Pasture,AEZ05,Pasture
Former Soviet Union,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,0.4,9,0.4,9,10,0,0,Pasture,AEZ05,Pasture
China,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,0.4,7.125,0.4,7.125,10,0,0,Pasture,AEZ05,Pasture
Middle East,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,0.4,9,0.4,9,10,0,0,Pasture,AEZ05,Pasture
Africa,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,0.4,7.125,0.4,7.125,10,0,0,Pasture,AEZ05,Pasture
Latin America,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,0.4,7.275,0.4,7.275,10,0,0,Pasture,AEZ05,Pasture
Southeast Asia,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,0.4,7.125,0.4,7.125,10,0,0,Pasture,AEZ05,Pasture
Eastern Europe,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,0.4,9,0.4,9,10,0,0,Pasture,AEZ05,Pasture
Korea,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,0.4,9,0.4,9,10,0,0,Pasture,AEZ05,Pasture
India,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,0.4,7.425,0.4,7.425,10,0,0,Pasture,AEZ05,Pasture
USA,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,0.5,10.125,0.5,10.125,10,0,0,Pasture,AEZ06,Pasture
