INPUT_TABLE
Variable ID
CalorieContent

region,supplysector,subsector,technology,year,minicam.energy.input,efficiency
Africa,FoodDemand_Meat,Beef,Beef,1990,Beef,1.5
Africa,FoodDemand_Meat,Dairy,Dairy,1990,Dairy,0.48
Africa,FoodDemand_Meat,Pork,Pork,1990,Pork,3.26
Africa,FoodDemand_Meat,Poultry,Poultry,1990,Poultry,1.2862942
Africa,FoodDemand_Meat,SheepGoat,SheepGoat,1990,SheepGoat,2.63
Africa,FoodDemand_Meat,OtherMeat_Fish,OtherMeat_Fish,1990,OtherMeat_Fish,1.1581798
Australia_NZ,FoodDemand_Meat,Beef,Beef,1990,Beef,1.5
Australia_NZ,FoodDemand_Meat,Dairy,Dairy,1990,Dairy,0.48
Australia_NZ,FoodDemand_Meat,Pork,Pork,1990,Pork,3.26
Australia_NZ,FoodDemand_Meat,Poultry,Poultry,1990,Poultry,1.271407
Australia_NZ,FoodDemand_Meat,SheepGoat,SheepGoat,1990,SheepGoat,2.63
Australia_NZ,FoodDemand_Meat,OtherMeat_Fish,OtherMeat_Fish,1990,OtherMeat_Fish,1.9052756
Canada,FoodDemand_Meat,Beef,Beef,1990,Beef,1.5
Canada,FoodDemand_Meat,Dairy,Dairy,1990,Dairy,0.48
Canada,FoodDemand_Meat,Pork,Pork,1990,Pork,3.26
Canada,FoodDemand_Meat,Poultry,Poultry,1990,Poultry,1.2676087
Canada,FoodDemand_Meat,SheepGoat,SheepGoat,1990,SheepGoat,2.63
Canada,FoodDemand_Meat,OtherMeat_Fish,OtherMeat_Fish,1990,OtherMeat_Fish,2.384466
China,FoodDemand_Meat,Beef,Beef,1990,Beef,1.5
China,FoodDemand_Meat,Dairy,Dairy,1990,Dairy,0.48
China,FoodDemand_Meat,Pork,Pork,1990,Pork,3.26
China,FoodDemand_Meat,Poultry,Poultry,1990,Poultry,1.3302342
China,FoodDemand_Meat,SheepGoat,SheepGoat,1990,SheepGoat,2.63
China,FoodDemand_Meat,OtherMeat_Fish,OtherMeat_Fish,1990,OtherMeat_Fish,1.2868976
Eastern Europe,FoodDemand_Meat,Beef,Beef,1990,Beef,1.5
Eastern Europe,FoodDemand_Meat,Dairy,Dairy,1990,Dairy,0.48
Eastern Europe,FoodDemand_Meat,Pork,Pork,1990,Pork,3.26
Eastern Europe,FoodDemand_Meat,Poultry,Poultry,1990,Poultry,1.3075688
Eastern Europe,FoodDemand_Meat,SheepGoat,SheepGoat,1990,SheepGoat,2.63
Eastern Europe,FoodDemand_Meat,OtherMeat_Fish,OtherMeat_Fish,1990,OtherMeat_Fish,4.3678799
Former Soviet Union,FoodDemand_Meat,Beef,Beef,1990,Beef,1.5
Former Soviet Union,FoodDemand_Meat,Dairy,Dairy,1990,Dairy,0.48
Former Soviet Union,FoodDemand_Meat,Pork,Pork,1990,Pork,3.26
Former Soviet Union,FoodDemand_Meat,Poultry,Poultry,1990,Poultry,1.3156149
Former Soviet Union,FoodDemand_Meat,SheepGoat,SheepGoat,1990,SheepGoat,2.63
Former Soviet Union,FoodDemand_Meat,OtherMeat_Fish,OtherMeat_Fish,1990,OtherMeat_Fish,1.0624501
India,FoodDemand_Meat,Beef,Beef,1990,Beef,1.5
India,FoodDemand_Meat,Dairy,Dairy,1990,Dairy,0.48
India,FoodDemand_Meat,Pork,Pork,1990,Pork,3.26
India,FoodDemand_Meat,Poultry,Poultry,1990,Poultry,1.3486041
India,FoodDemand_Meat,SheepGoat,SheepGoat,1990,SheepGoat,2.63
India,FoodDemand_Meat,OtherMeat_Fish,OtherMeat_Fish,1990,OtherMeat_Fish,0.8225261
Japan,FoodDemand_Meat,Beef,Beef,1990,Beef,1.5
Japan,FoodDemand_Meat,Dairy,Dairy,1990,Dairy,0.48
Japan,FoodDemand_Meat,Pork,Pork,1990,Pork,3.26
Japan,FoodDemand_Meat,Poultry,Poultry,1990,Poultry,1.3188871
Japan,FoodDemand_Meat,SheepGoat,SheepGoat,1990,SheepGoat,2.63
Japan,FoodDemand_Meat,OtherMeat_Fish,OtherMeat_Fish,1990,OtherMeat_Fish,0.7902419
Korea,FoodDemand_Meat,Beef,Beef,1990,Beef,1.5
Korea,FoodDemand_Meat,Dairy,Dairy,1990,Dairy,0.48
Korea,FoodDemand_Meat,Pork,Pork,1990,Pork,3.26
Korea,FoodDemand_Meat,Poultry,Poultry,1990,Poultry,1.3149228
Korea,FoodDemand_Meat,SheepGoat,SheepGoat,1990,SheepGoat,2.63
Korea,FoodDemand_Meat,OtherMeat_Fish,OtherMeat_Fish,1990,OtherMeat_Fish,0.7003604
Latin America,FoodDemand_Meat,Beef,Beef,1990,Beef,1.5
Latin America,FoodDemand_Meat,Dairy,Dairy,1990,Dairy,0.48
Latin America,FoodDemand_Meat,Pork,Pork,1990,Pork,3.26
Latin America,FoodDemand_Meat,Poultry,Poultry,1990,Poultry,1.2859501
Latin America,FoodDemand_Meat,SheepGoat,SheepGoat,1990,SheepGoat,2.63
