The model gui starts reading 3 rows below the table number. The two rows in between are for notation purposes only.,,,,,,,,,,,,
These tables have the actual tag names as the column headers but this is not necessary,,,,,,,,,,,,
"When finished with input data, save this sheet as a csv. Re-save the sheet as an excel workbook as csv's are expendible and you don't want to be working directly on one.",,,,,,,,,,,,
"Open the model interface. Open csv file, header file, and save the resulting file.",,,,,,,,,,,,
,,,,,,,,,,,,
Primary Consumption,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
10,,,,,,,,,,,,
,,,,keyword primary-consumption,keyword primary-consumption,keyword primary-consumption,keyword primary-consumption,keyword primary-consumption,keyword primary-consumption,keyword primary-consumption,keyword primary-consumption,keyword primary-consumption
region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095
ALL,regional coal,regional coal,regional coal,coal,coal,coal,coal,coal,coal,coal,coal,coal
ALL,regional natural gas,regional natural gas,regional natural gas,natural gas,natural gas,natural gas,natural gas,natural gas,natural gas,natural gas,natural gas,natural gas
ALL,regional oil,crude oil,crude oil,oil,oil,oil,oil,oil,oil,oil,oil,oil
ALL,regional biomass,regional biomass,regional biomass,biomass,biomass,biomass,biomass,biomass,biomass,biomass,biomass,biomass
ALL,regional oil,unconventional oil,unconventional oil,oil,oil,oil,oil,oil,oil,oil,oil,oil
,,,,,,,,,,,,
Renewable Tags (no USA),,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
24,,,,,,,,,,,,
,,,,keyword primary-renewable,keyword primary-renewable,keyword primary-renewable,keyword primary-renewable,keyword primary-renewable,keyword primary-renewable,keyword primary-renewable,keyword primary-renewable,keyword primary-renewable
region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095
ALL_MINUS_USA,electricity,exotics,exotic,exotic-elect,exotic-elect,exotic-elect,exotic-elect,exotic-elect,exotic-elect,exotic-elect,exotic-elect,exotic-elect
ALL_MINUS_USA,electricity,hydro,hydro,hydro-elect,hydro-elect,hydro-elect,hydro-elect,hydro-elect,hydro-elect,hydro-elect,hydro-elect,hydro-elect
ALL_MINUS_USA,electricity,nuclear,Gen_II_LWR,nuclear-elect,nuclear-elect,nuclear-elect,nuclear-elect,nuclear-elect,nuclear-elect,nuclear-elect,nuclear-elect,nuclear-elect
ALL_MINUS_USA,electricity,nuclear,Gen_III,nuclear-elect,nuclear-elect,nuclear-elect,nuclear-elect,nuclear-elect,nuclear-elect,nuclear-elect,nuclear-elect,nuclear-elect
ALL_MINUS_USA,electricity,solar,PV,solar-elect,solar-elect,solar-elect,solar-elect,solar-elect,solar-elect,solar-elect,solar-elect,solar-elect
ALL_MINUS_USA,electricity,solar,PV_storage,solar-elect,solar-elect,solar-elect,solar-elect,solar-elect,solar-elect,solar-elect,solar-elect,solar-elect
ALL_MINUS_USA,electricity,solar,CSP,solar-elect,solar-elect,solar-elect,solar-elect,solar-elect,solar-elect,solar-elect,solar-elect,solar-elect
ALL_MINUS_USA,electricity,solar,CSP_storage,solar-elect,solar-elect,solar-elect,solar-elect,solar-elect,solar-elect,solar-elect,solar-elect,solar-elect
ALL_MINUS_USA,electricity,wind,wind,wind-elect,wind-elect,wind-elect,wind-elect,wind-elect,wind-elect,wind-elect,wind-elect,wind-elect
ALL_MINUS_USA,electricity,wind,wind_storage,wind-elect,wind-elect,wind-elect,wind-elect,wind-elect,wind-elect,wind-elect,wind-elect,wind-elect
ALL_MINUS_USA,elect_td_bld,rooftop_pv,rooftop_pv,solar-elect,solar-elect,solar-elect,solar-elect,solar-elect,solar-elect,solar-elect,solar-elect,solar-elect
ALL_MINUS_USA,H2 Central Production,solar,electrolysis,solar-H2,solar-H2,solar-H2,solar-H2,solar-H2,solar-H2,solar-H2,solar-H2,solar-H2
ALL_MINUS_USA,H2 Central Production,wind,electrolysis,wind-H2,wind-H2,wind-H2,wind-H2,wind-H2,wind-H2,wind-H2,wind-H2,wind-H2
ALL_MINUS_USA,H2 Central Production,nuclear,thermal splitting,nuclear-H2,nuclear-H2,nuclear-H2,nuclear-H2,nuclear-H2,nuclear-H2,nuclear-H2,nuclear-H2,nuclear-H2
,,,,,,,,,,,,
Renewable Tags,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
20,,,,,,,,,,,,
,,,,keyword primary-renewable,keyword primary-renewable,keyword primary-renewable,keyword primary-renewable,keyword primary-renewable,keyword primary-renewable,keyword primary-renewable,keyword primary-renewable,keyword primary-renewable
region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095
ALL,elect_td_bld,rooftop_pv,rooftop_pv,solar-elect,solar-elect,solar-elect,solar-elect,solar-elect,solar-elect,solar-elect,solar-elect,solar-elect
ALL,H2 Central Production,solar,electrolysis,solar-H2,solar-H2,solar-H2,solar-H2,solar-H2,solar-H2,solar-H2,solar-H2,solar-H2
ALL,H2 Central Production,wind,electrolysis,wind-H2,wind-H2,wind-H2,wind-H2,wind-H2,wind-H2,wind-H2,wind-H2,wind-H2
ALL,H2 Central Production,nuclear,thermal splitting,nuclear-H2,nuclear-H2,nuclear-H2,nuclear-H2,nuclear-H2,nuclear-H2,nuclear-H2,nuclear-H2,nuclear-H2
,,,,,,,,,,,,
"Renewable Tags (no Korea for geothermal, to get rid of error message)",,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
23,,,,,,,,,,,,
,,,,keyword primary-renewable,keyword primary-renewable,keyword primary-renewable,keyword primary-renewable,keyword primary-renewable,keyword primary-renewable,keyword primary-renewable,keyword primary-renewable,keyword primary-renewable
region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095
ALL_MINUS_KOREA,electricity,geothermal,geothermal,geothermal-elect,geothermal-elect,geothermal-elect,geothermal-elect,geothermal-elect,geothermal-elect,geothermal-elect,geothermal-elect,geothermal-elect
,,,,,,,,,,,,
Renewable Tags (USA),,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
22,,,,,,,,,,,,
,,,,keyword primary-renewable,keyword primary-renewable,keyword primary-renewable,keyword primary-renewable,keyword primary-renewable,keyword primary-renewable,keyword primary-renewable,keyword primary-renewable,keyword primary-renewable
region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095
JUST_USA,base load generation,geothermal,geo_base,geothermal-elect,geothermal-elect,geothermal-elect,geothermal-elect,geothermal-elect,geothermal-elect,geothermal-elect,geothermal-elect,geothermal-elect
JUST_USA,base load generation,hydro,hydro_base,hydro-elect,hydro-elect,hydro-elect,hydro-elect,hydro-elect,hydro-elect,hydro-elect,hydro-elect,hydro-elect
JUST_USA,base load generation,nuclear,nuc_base_gen2,nuclear-elect,nuclear-elect,nuclear-elect,nuclear-elect,nuclear-elect,nuclear-elect,nuclear-elect,nuclear-elect,nuclear-elect
