Black Carbon input adjustements for transportation,,,,,,,,,,,



INPUT_TABLE,,,,,,,,,,,
Variable ID,,Transport oil emissions correction,,,,,,,,,
803,,Correction for mode shifts (particularly shift to aircraft) using methodology of Shaffer,,,,,,,,,
Source Inputs,,,,,,,,,,,
gas,src,,,,,,,,,,
7,13,,,,,,,,,,
Region,1990,2005,2020,2035,2050,2065,2080,2095,,,
1, -   , 0.0913 , 0.1950 , 0.1694 , 0.1476 , 0.1198 , 0.0875 , 0.0627 ,US,Formula:,0.431818182
2, -   , (0.0095), 0.1114 , 0.0934 , 0.0908 , 0.0819 , 0.0681 , 0.0619 ,CANADA,,
3, -   , 0.1277 , 0.2174 , 0.2144 , 0.2288 , 0.2270 , 0.2158 , 0.2072 ,WEUR,,
4, -   , (0.0126), (0.0374), (0.0735), (0.1104), (0.1123), (0.1309), (0.1495),JAPAN,,
5, -   , 0.1156 , 0.1177 , 0.1305 , 0.1362 , 0.1262 , 0.1038 , 0.0853 ,AUS&NZ,,
6, -   , (0.1470), (0.0464), (0.0179), 0.0062 , 0.0479 , 0.0564 , 0.0542 ,FSU
7, -   , 0.3651 , 0.4124 , 0.4928 , 0.5109 , 0.5106 , 0.5125 , 0.5098 ,ACENP
8, -   , 0.1471 , (0.0760), (0.4522), (0.4739), (0.5072), (0.4681), (0.5020),MIDEAST
9, -   , 0.0127 , 0.0417 , 0.0542 , 0.0648 , 0.0689 , 0.0663 , 0.0604 ,AFRICA
10, -   , 0.0020 , 0.0241 , 0.0013 , 0.0125 , 0.1345 , 0.1538 , 0.1317 ,L AMER
11, -   , 0.1665 , 0.3672 , 0.3649 , 0.4343 , 0.4843 , 0.4951 , 0.4902 ,S&E ASIA
12, -   , (0.2686), (0.7895), (0.7623), (0.2696), (0.1409), (0.1799), (0.2611),EEUR
13, -   , 0.2842 , 0.5544 , 0.5663 , 0.5675 , 0.4788 , 0.3735 , 0.2685 ,KOR
14, -   , 0.1775 , 0.3537 , 0.3704 , 0.4374 , 0.4902 , 0.5033 , 0.5075 ,INDIA



EoF,,,,,,,,,
