Black Carbon input adjustements for transportation,,,,,,,,,,,



INPUT_TABLE,,,,,,,,,,,
Variable ID,,Transport oil emissions correction,,,,,,,,,
803,,Correction for mode shifts (particularly shift to aircraft) using methodology of Shaffer,,,,,,,,,
Source Inputs,,,,,,,,,,,
gas,src,,,,,,,,,,
7,13,,,,,,,,,,
Region,1990,2005,2020,2035,2050,2065,2080,2095,,,
1,0.000,0.281,0.432,0.458,0.470,0.449,0.419,0.406,US,Formula:,0.431818182
2,0.000,0.159,0.331,0.367,0.393,0.381,0.360,0.358,CANADA,,
3,0.000,-0.104,-0.183,-0.231,-0.135,0.040,0.128,0.185,WEUR,,
4,0.000,0.132,0.300,0.330,0.370,0.361,0.340,0.331,JAPAN,,
5,0.000,-0.139,0.045,0.002,0.013,0.052,0.081,0.103,AUS&NZ,,
6,0.000,-0.241,-0.625,-0.669,-0.303,-0.121,-0.055,-0.028,FSU
7,0.000,0.141,0.146,0.095,0.066,0.041,-0.026,0.002,ACENP
8,0.000,-0.011,-0.022,0.000,0.001,-0.002,0.001,0.016,MIDEAST
9,0.000,0.366,0.485,0.483,0.512,0.551,0.603,0.673,AFRICA
10,0.000,0.166,0.272,0.346,0.436,0.533,0.587,0.641,L AMER
11,0.000,0.177,0.245,0.353,0.437,0.530,0.588,0.655,S&E ASIA
12,0.000,0.283,0.491,0.583,0.635,0.624,0.592,0.560,EEUR
13,0.000,-0.007,0.129,0.116,0.171,0.177,0.165,0.173,KOR
14,0.000,0.103,0.220,0.256,0.282,0.257,0.213,0.187,INDIA



EoF,,,,,,,,,
